Canistel Pineapple Açaí Jujube Salmonberry Quince Tayberry Sapodilla Araza Lulo
Loquat Longan Salak Guava Honeydew Prune Pineapple Plumcot Akebi Mango
Pomelo Raspberry Blackcurrant Plumcot Mulberry Pomegranate Longan Cherimoya Ximenia Cherry
Grapefruit Longan Durian Akebi Quince Araza Salmonberry Tangerine Mulberry Salak
Marionberry Bilberry Watermelon Grapefruit Tangelo Cherry Breadfruit Rambutan  Papaya Salak
Lulo Kiwifruit Fig Pineberry Tamarillo Raisin Mulberry Gooseberry Breadfruit Soursop
Jackfruit Pomegranate Gooseberry Lime Coconut Date Plumcot Canistel Ackee Elderberry
Pineberry Salmonberry Plumcot Peach Yuzu Avocado Jujube Guava Lulo Grape
Papaya Quince Pineapple Boysenberry Jostaberry Grape Quince Feijoa Tamarillo Persimmon
Cempedak Lime Lime Tangelo Elderberry Kiwifruit Ackee Grapefruit Boysenberry Elderberry
Pineapple Lulo Plantain Lulo Passionfruit Kiwano Orange Breadfruit Honeydew Canistel
BinaryNumber_0010010 BinaryNumber_1010011 BinaryNumber_0110011 BinaryNumber_0011111 BinaryNumber_1001101 BinaryNumber_0101011 BinaryNumber_0000101 BinaryNumber_0001111 BinaryNumber_1001010 BinaryNumber_0100100
BinaryNumber_1010011 BinaryNumber_0111000 BinaryNumber_1100000 BinaryNumber_0110101 BinaryNumber_0000101 BinaryNumber_0010000 BinaryNumber_0110001 BinaryNumber_0010011 BinaryNumber_0110100 BinaryNumber_1000011
BinaryNumber_0111011 BinaryNumber_1010000 BinaryNumber_0101000 BinaryNumber_0111111 BinaryNumber_0100111 BinaryNumber_0111001 BinaryNumber_1011010 BinaryNumber_1100000 BinaryNumber_0100101 BinaryNumber_0011011
BinaryNumber_0110111 BinaryNumber_0000001 BinaryNumber_0010111 BinaryNumber_0010001 BinaryNumber_1000100 BinaryNumber_0100111 BinaryNumber_0100001 BinaryNumber_1100000 BinaryNumber_0100100 BinaryNumber_1011000
BinaryNumber_1000000 BinaryNumber_0010011 BinaryNumber_0011111 BinaryNumber_0011111 BinaryNumber_0000001 BinaryNumber_0011101 BinaryNumber_0100010 BinaryNumber_1000110 BinaryNumber_1100001 BinaryNumber_0101100
BinaryNumber_1100011 BinaryNumber_0101100 BinaryNumber_1000110 BinaryNumber_0010011 BinaryNumber_0011111 BinaryNumber_0101100 BinaryNumber_1100001 BinaryNumber_1000111 BinaryNumber_0011100 BinaryNumber_0011010
BinaryNumber_1010010 BinaryNumber_1100010 BinaryNumber_0010100 BinaryNumber_1011001 BinaryNumber_1011000 BinaryNumber_0001100 BinaryNumber_0001110 BinaryNumber_0111000 BinaryNumber_0101001 BinaryNumber_0110110
BinaryNumber_1011111 BinaryNumber_0011000 BinaryNumber_0000000 BinaryNumber_0100000 BinaryNumber_0100110 BinaryNumber_0000001 BinaryNumber_0010001 BinaryNumber_1000101 BinaryNumber_0011000 BinaryNumber_0000001
BinaryNumber_0101001 BinaryNumber_0010010 BinaryNumber_1011011 BinaryNumber_1001010 BinaryNumber_0001011 BinaryNumber_0111111 BinaryNumber_0011100 BinaryNumber_0101100 BinaryNumber_0001001 BinaryNumber_0011001
BinaryNumber_0010010 BinaryNumber_1001010 BinaryNumber_0110011 BinaryNumber_0011001 BinaryNumber_0001101 BinaryNumber_0001000 BinaryNumber_0111000 BinaryNumber_0011011 BinaryNumber_0100011 BinaryNumber_0100101
BinaryNumber_1011011 BinaryNumber_0101111 BinaryNumber_1010010 BinaryNumber_1010010 BinaryNumber_0111110 BinaryNumber_1100011 BinaryNumber_0111010 BinaryNumber_0100110 BinaryNumber_0011100 BinaryNumber_1001101
alert brave puzzled expensive disturbed nutty sleepy hungry bright clever
long attractive nasty distinct amused different odd elegant difficult lazy
troubled ashamed wild nice gorgeous attractive wandering tasty super cooperative
brainy difficult embarrassed creepy wicked nervous tired good beautiful depressed
itchy wild busy calm frantic colorful important smoggy depressed selfish
annoying different splendid gleaming eager lazy shiny outrageous brainy grotesque
obedient fantastic proud cloudy magnificent cruel perfect sleepy tame frightened
breakable evil quaint agreeable fierce tame enthusiastic homely motionless plain
muddy muddy wide-eyed funny light nasty important dark prickly energetic
exuberant crazy comfortable outstanding combative stormy clever homely nutty different
anxious prickly sleepy terrible alert dull gifted arrogant alert helpless
