DarkRed MediumTurquoise Honeydew LightCoral DarkCyan Linen DarkBlue LightGreen AliceBlue Sienna
MediumPurple PaleVioletRed Orange CornflowerBlue PaleGreen Snow Gold Pink Purple Cyan
MediumVioletRed DarkBlue Khaki DarkBlue BlanchedAlmond SlateGray Firebrick Green LemonChiffon LightPink
MediumTurquoise DarkGreen Turquoise PeachPuff VioletRed DarkOrange OrangeRed Blue MistyRose Indigo
DarkSlateBlue Orange LightCoral SteelBlue Fuchsia DarkBlue DarkSlateBlue LightPink DarkTurquoise Wheat
Silver OrangeRed DarkOrchid DarkTurquoise RosyBrown Pink IndianRed PaleVioletRed MintCream DarkGoldenrod
OldLace PowderBlue Linen Chocolate White SteelBlue DarkRed LightCoral Ivory Teal
PaleGreen Fuchsia LawnGreen LightGoldenrodYellow DodgerBlue Plum LightPink PaleTurquoise SteelBlue Cyan
Burlywood Wheat LightBlue Crimson RosyBrown MediumVioletRed Gainsboro Red Plum LightSteelBlue
MediumSeaGreen Blue AntiqueWhite MediumSeaGreen Gold Goldenrod Cornsilk DarkCyan Lavender MidnightBlue
LightGreen LightSalmon Tan DeepPink DarkTurquoise PaleGreen MediumTurquoise DarkSlateBlue WhiteSmoke DarkRed
CubeNumber_50653 CubeNumber_512000 CubeNumber_405224 CubeNumber_493039 CubeNumber_17576 CubeNumber_729 CubeNumber_5832 CubeNumber_405224 CubeNumber_54872 CubeNumber_1000
CubeNumber_438976 CubeNumber_35937 CubeNumber_64 CubeNumber_74088 CubeNumber_753571 CubeNumber_166375 CubeNumber_140608 CubeNumber_729 CubeNumber_300763 CubeNumber_8000
CubeNumber_9261 CubeNumber_4913 CubeNumber_636056 CubeNumber_140608 CubeNumber_1728 CubeNumber_50653 CubeNumber_8 CubeNumber_91125 CubeNumber_125000 CubeNumber_140608
CubeNumber_658503 CubeNumber_68921 CubeNumber_262144 CubeNumber_91125 CubeNumber_438976 CubeNumber_195112 CubeNumber_658503 CubeNumber_421875 CubeNumber_729000 CubeNumber_24389
CubeNumber_97336 CubeNumber_250047 CubeNumber_262144 CubeNumber_729 CubeNumber_140608 CubeNumber_636056 CubeNumber_300763 CubeNumber_551368 CubeNumber_64000 CubeNumber_941192
CubeNumber_614125 CubeNumber_6859 CubeNumber_79507 CubeNumber_343 CubeNumber_85184 CubeNumber_250047 CubeNumber_2197 CubeNumber_216000 CubeNumber_328509 CubeNumber_125
CubeNumber_512 CubeNumber_27 CubeNumber_110592 CubeNumber_2744 CubeNumber_753571 CubeNumber_117649 CubeNumber_9261 CubeNumber_729 CubeNumber_29791 CubeNumber_8
CubeNumber_175616 CubeNumber_226981 CubeNumber_1000 CubeNumber_729000 CubeNumber_421875 CubeNumber_216 CubeNumber_13824 CubeNumber_175616 CubeNumber_729000 CubeNumber_64
CubeNumber_42875 CubeNumber_438976 CubeNumber_474552 CubeNumber_636056 CubeNumber_421875 CubeNumber_551368 CubeNumber_68921 CubeNumber_110592 CubeNumber_778688 CubeNumber_857375
CubeNumber_571787 CubeNumber_287496 CubeNumber_29791 CubeNumber_195112 CubeNumber_343000 CubeNumber_117649 CubeNumber_85184 CubeNumber_226981 CubeNumber_24389 CubeNumber_103823
CubeNumber_91125 CubeNumber_328509 CubeNumber_1000 CubeNumber_117649 CubeNumber_46656 CubeNumber_21952 CubeNumber_753571 CubeNumber_35937 CubeNumber_238328 CubeNumber_1728
PrimeNumber_439 PrimeNumber_223 PrimeNumber_83 PrimeNumber_367 PrimeNumber_229 PrimeNumber_277 PrimeNumber_223 PrimeNumber_131 PrimeNumber_373 PrimeNumber_59
