long annoying magnificent graceful pleasant difficult cooperative jolly elegant joyous
breakable brainy victorious magnificent obnoxious famous thoughtless joyous frightened frightened
zealous mushy faithful unusual brave obedient powerful tame strange cloudy
innocent old-fashioned nervous careful annoying enthusiastic cheerful troubled puzzled friendly
easy grotesque lonely clumsy panicky adventurous uptight witty homeless light
uptight comfortable comfortable depressed condemned itchy bored clean old-fashioned awful
elegant tough real dizzy fair poor courageous witty fantastic plain
horrible fair clumsy light colorful zany wandering cooperative fancy expensive
disturbed powerful sparkling alive plain handsome cheerful obedient defiant victorious
angry depressed dead worrisome hilarious important disturbed awful dangerous motionless
lively courageous alive annoying delightful angry attractive thoughtful tired evil
BinaryNumber_0101111 BinaryNumber_1010111 BinaryNumber_0111000 BinaryNumber_1011000 BinaryNumber_0000100 BinaryNumber_0111000 BinaryNumber_0001000 BinaryNumber_0101110 BinaryNumber_0010001 BinaryNumber_0111001
BinaryNumber_1010011 BinaryNumber_0001111 BinaryNumber_0101100 BinaryNumber_0000111 BinaryNumber_0011010 BinaryNumber_1001110 BinaryNumber_0000010 BinaryNumber_0001111 BinaryNumber_0100100 BinaryNumber_0010110
BinaryNumber_1100001 BinaryNumber_0111001 BinaryNumber_1000000 BinaryNumber_0110001 BinaryNumber_0101111 BinaryNumber_0100110 BinaryNumber_0110001 BinaryNumber_0110010 BinaryNumber_1100000 BinaryNumber_1010110
BinaryNumber_1001100 BinaryNumber_0101011 BinaryNumber_0110101 BinaryNumber_1001110 BinaryNumber_1011111 BinaryNumber_0100100 BinaryNumber_0101001 BinaryNumber_0000100 BinaryNumber_1010000 BinaryNumber_0001111
BinaryNumber_0001100 BinaryNumber_0010010 BinaryNumber_0000111 BinaryNumber_0001000 BinaryNumber_0011110 BinaryNumber_0001111 BinaryNumber_0000000 BinaryNumber_1000101 BinaryNumber_0100101 BinaryNumber_1100011
BinaryNumber_1010001 BinaryNumber_0100101 BinaryNumber_0110110 BinaryNumber_0010111 BinaryNumber_0000111 BinaryNumber_0100010 BinaryNumber_1010110 BinaryNumber_1001010 BinaryNumber_0101011 BinaryNumber_0111010
BinaryNumber_0001111 BinaryNumber_0001110 BinaryNumber_0001011 BinaryNumber_0100110 BinaryNumber_0101100 BinaryNumber_0001101 BinaryNumber_1010110 BinaryNumber_0110010 BinaryNumber_0001101 BinaryNumber_0101101
