Gainsboro MediumSlateBlue PapayaWhip Fuchsia LightYellow SaddleBrown Coral LemonChiffon MediumTurquoise Tomato
MidnightBlue MediumSpringGreen Orchid FloralWhite Aquamarine DarkFuchsia MediumVioletRed Goldenrod LimeGreen Blue
AntiqueWhite Teal VioletRed Gold Firebrick AntiqueWhite Brown Chocolate Snow Salmon
Cyan Moccasin LightSkyBlue Gold DarkSalmon DeepSkyBlue Seashell PowderBlue Chartreuse LimeGreen
Gold Teal LavenderBlush DarkViolet Gold MediumSeaGreen LightCoral Sienna LightGoldenrod SkyBlue
Ivory Bisque SlateGray SandyBrown SteelBlue Orange MediumAquamarine IndianRed PowderBlue GhostWhite
Tomato Chocolate LemonChiffon MediumTurquoise ForestGreen Black PeachPuff DeepSkyBlue Maroon Beige
CornflowerBlue Red OliveDrab SlateGray Lime DarkSlateGray Aquamarine PaleGoldenrod LightSlateBlue Navy
Blue IndianRed WhiteSmoke DarkGoldenrod LightSkyBlue Blue MistyRose MediumSlateBlue Olive RoyalBlue
LightGoldenrod Plum Thistle Cornsilk MediumAquamarine CadetBlue Thistle PaleVioletRed DarkSlateGray MintCream
LightSlateGray DeepPink Brown DarkSalmon OrangeRed Firebrick LightGreen Cyan MediumSlateBlue LightSkyBlue
temperature__23c temperature__12c temperature__3c temperature__79c temperature__98c temperature__146c temperature__91c temperature__93c temperature__63c temperature__8c
temperature__88c temperature__120c temperature__112c temperature__84c temperature__0c temperature__12c temperature__79c temperature__71c temperature__5c temperature__10c
temperature__120c temperature__65c temperature__24c temperature__146c temperature__105c temperature__28c temperature__64c temperature__82c temperature__86c temperature__144c
temperature__27c temperature__132c temperature__141c temperature__58c temperature__105c temperature__5c temperature__63c temperature__140c temperature__50c temperature__35c
temperature__57c temperature__132c temperature__57c temperature__42c temperature__68c temperature__111c temperature__78c temperature__147c temperature__105c temperature__123c
temperature__118c temperature__14c temperature__84c temperature__92c temperature__63c temperature__56c temperature__42c temperature__91c temperature__68c temperature__79c
temperature__8c temperature__140c temperature__98c temperature__44c temperature__98c temperature__106c temperature__12c temperature__144c temperature__61c temperature__108c
temperature__57c temperature__106c temperature__52c temperature__130c temperature__8c temperature__88c temperature__116c temperature__90c temperature__54c temperature__92c
temperature__92c temperature__65c temperature__142c temperature__24c temperature__138c temperature__119c temperature__53c temperature__131c temperature__86c temperature__87c
temperature__16c temperature__90c temperature__35c temperature__28c temperature__120c temperature__145c temperature__130c temperature__53c temperature__138c temperature__116c
temperature__59c temperature__35c temperature__69c temperature__70c temperature__21c temperature__105c temperature__82c temperature__5c temperature__56c temperature__144c
