Orange FloralWhite LightGoldenrodYellow DarkTurquoise LightYellow CadetBlue MediumAquamarine DarkKhaki Burlywood Navy
RosyBrown AntiqueWhite Feldspar SkyBlue LightSkyBlue DarkSlateBlue SeaGreen DarkBlue Brown LawnGreen
GhostWhite WhiteSmoke Lavender Sienna Salmon DarkRed AliceBlue MediumBlue Plum LightSlateBlue
Salmon MistyRose PeachPuff CadetBlue Red DeepSkyBlue AliceBlue MediumAquamarine WhiteSmoke Snow
MediumPurple Linen PaleGreen RosyBrown DarkKhaki Feldspar OldLace Honeydew Salmon LightBlue
Orchid Cyan Moccasin LightSkyBlue Feldspar RoyalBlue Gainsboro ForestGreen Snow Red
MediumOrchid Sienna Violet LightGoldenrod Chocolate Olive Cornsilk Black Cyan Ivory
Chocolate AntiqueWhite DeepPink Crimson RosyBrown SeaGreen DarkSlateBlue Azure LightSlateBlue LavenderBlush
Tan GreenYellow Indigo SpringGreen LightSteelBlue MediumTurquoise Indigo Salmon MediumBlue DarkSlateBlue
White SandyBrown SkyBlue LawnGreen DodgerBlue Salmon MediumTurquoise LightCyan LightSeaGreen DarkGreen
Lavender SaddleBrown MediumTurquoise LightCoral Cornsilk DeepSkyBlue Lavender LightSteelBlue LightSeaGreen LimeGreen
Cochlea Lips Lymphaticvessel Hypothalamus Ovaries Lips Uterus Thymus Mouth Pharynx
Pancreas Veins Cerebrum Uterus Mesentery Mouth Ossicles Cranialnerves Ossicles Eye
Ligaments Jejunum Arteries Thalamus Interstitium Bladder Lens Mesentery Ganglia Ureter
Stomach Lungs Lungs Jejunum Spleen Thalamus Placenta Iris Ganglia Pancreas
Clitoris Urethra Largeintestine Vagina Esophagus Clitoris Lymphaticvessel Ileum Tongue Cerebellum
Spinalnerves Midbrain Ligaments Stomach Mouth Clitoris Smallintestine Stomach Largeintestine Scrotum
Cervix Pons Ureter Earlobe Ossicles Thymus Esophagus Vulva Innerear Eye
Kidneys Tonsils Tongue Ureter Rectum Trachea Bladder Tendons Retina Lens
Analcanal Largeintestine Bone  Stomach Ciliarybody Lymphaticvessel Arteries Mouth Bone  Largeintestine
Kidneys Urethra Cerebrum Brain Cerebrum Largeintestine Iris Pons Larynx Smallintestine
Gallbladder Scrotum Cerebrum Joints Nerves Ossicles Pharynx Gallbladder Mesentery Eye
BinaryNumber_0100011 BinaryNumber_0011111 BinaryNumber_1001000 BinaryNumber_0101110 BinaryNumber_0100101 BinaryNumber_0010000 BinaryNumber_1000101 BinaryNumber_0100000 BinaryNumber_0001011 BinaryNumber_0001000
BinaryNumber_1001001 BinaryNumber_0010101 BinaryNumber_1010000 BinaryNumber_1011001 BinaryNumber_0011101 BinaryNumber_1000000 BinaryNumber_1000000 BinaryNumber_0010000 BinaryNumber_1000001 BinaryNumber_0111011
BinaryNumber_1100000 BinaryNumber_0010111 BinaryNumber_0011110 BinaryNumber_1010101 BinaryNumber_0010111 BinaryNumber_1010101 BinaryNumber_0111001 BinaryNumber_0101111 BinaryNumber_0100000 BinaryNumber_1001011
BinaryNumber_0011110 BinaryNumber_0010110 BinaryNumber_0100110 BinaryNumber_1010111 BinaryNumber_0111010 BinaryNumber_0000010 BinaryNumber_0010100 BinaryNumber_0010100 BinaryNumber_1001110 BinaryNumber_0101010
BinaryNumber_0010110 BinaryNumber_0010101 BinaryNumber_0100000 BinaryNumber_0101000 BinaryNumber_0001011 BinaryNumber_0010101 BinaryNumber_0001000 BinaryNumber_1010110 BinaryNumber_1000010 BinaryNumber_1011111
BinaryNumber_0000101 BinaryNumber_0010101 BinaryNumber_1011110 BinaryNumber_0001001 BinaryNumber_0111100 BinaryNumber_1100001 BinaryNumber_1000101 BinaryNumber_1000110 BinaryNumber_0101000 BinaryNumber_0010001
BinaryNumber_0111000 BinaryNumber_1001011 BinaryNumber_0000110 BinaryNumber_0110100 BinaryNumber_1010100 BinaryNumber_0000010 BinaryNumber_0101011 BinaryNumber_0000011 BinaryNumber_1010001 BinaryNumber_1001010
BinaryNumber_0000011 BinaryNumber_1001001 BinaryNumber_1100010 BinaryNumber_0001111 BinaryNumber_0111101 BinaryNumber_0100010 BinaryNumber_0010000 BinaryNumber_0101111 BinaryNumber_0101000 BinaryNumber_1011000
