blue thoughtless outstanding shiny frightened cruel obnoxious excited putrid cloudy
cute filthy easy concerned cloudy dizzy difficult dizzy cute splendid
obnoxious odd lovely cloudy putrid splendid grieving hungry inexpensive bad
quaint strange brainy condemned uptight upset agreeable bright glamorous mysterious
fine quaint faithful different wandering outrageous cruel outstanding tough angry
cute amused blue fine successful fair busy ugliest evil sore
brave gentle bloody busy outrageous average fierce annoying difficult successful
bad crowded prickly terrible nice lovely uptight brave fancy fierce
disturbed shiny frail clumsy crowded thankful famous cloudy bored thoughtless
sleepy sore victorious fair hilarious inquisitive ashamed glorious real gleaming
lonely expensive relieved jittery glamorous selfish selfish crazy modern odd
obscure persecution authoritarian assail coercion deficit recrimination tarnish unethical influence
expose ignorant solicit reputation retaliation assail onerous mercurial privilege obscure
scapegoat prestidigitation allegation extortion sloth malfeasance proxy defamation conceal scandalous
parry demagogue opportunist rebut deception extortion collaboration debacle authoritarian massive
debacle lobby defamation tarnish massive corruption career patriarchy ignorant retaliation
integrity solicit infringement retaliation patriarchy alliance patronage manipulate debacle plagiarism
allegation tainted deny cadre unjust claim fiasco plagiarism intimidation beleaguer
fray subterfuge benefit authoritarian mendacity empire refute career endorsement scapegoat
claim influence endorsement rebut plutocracy mendacity engagement sloth infringement scapegoat
rebut tarnish fray massive illegal prestidigitation ignorant denigrate intimidation regime
integrity onerous coercion empire integrity parry fiasco resignation intimidation alliance
BinaryNumber_1000000 BinaryNumber_0011001 BinaryNumber_1011101 BinaryNumber_1010000 BinaryNumber_0010110 BinaryNumber_1000101 BinaryNumber_1001100 BinaryNumber_1000000 BinaryNumber_1100000 BinaryNumber_1010101
BinaryNumber_0011001 BinaryNumber_0010000 BinaryNumber_0010111 BinaryNumber_0000110 BinaryNumber_1010111 BinaryNumber_0100011 BinaryNumber_0110000 BinaryNumber_0110110 BinaryNumber_0010010 BinaryNumber_0101110
BinaryNumber_0101001 BinaryNumber_1000100 BinaryNumber_0110110 BinaryNumber_0101110 BinaryNumber_0111010 BinaryNumber_0010001 BinaryNumber_1000011 BinaryNumber_1011110 BinaryNumber_0100010 BinaryNumber_1000011
BinaryNumber_0011001 BinaryNumber_0111101 BinaryNumber_1001010 BinaryNumber_0101101 BinaryNumber_0100110 BinaryNumber_0101010 BinaryNumber_1011110 BinaryNumber_0101000 BinaryNumber_0000100 BinaryNumber_0000010
BinaryNumber_1100010 BinaryNumber_0110001 BinaryNumber_0011010 BinaryNumber_0001110 BinaryNumber_0100010 BinaryNumber_0011111 BinaryNumber_1000110 BinaryNumber_1100001 BinaryNumber_0110001 BinaryNumber_0100101
BinaryNumber_0101000 BinaryNumber_0000101 BinaryNumber_0000010 BinaryNumber_0111111 BinaryNumber_1010010 BinaryNumber_1010101 BinaryNumber_0000000 BinaryNumber_0000001 BinaryNumber_0100011 BinaryNumber_1010101
BinaryNumber_0011100 BinaryNumber_0110101 BinaryNumber_1000001 BinaryNumber_1011110 BinaryNumber_0000000 BinaryNumber_1011011 BinaryNumber_0010110 BinaryNumber_1011011 BinaryNumber_0111110 BinaryNumber_0101001
BinaryNumber_0011101 BinaryNumber_0000001 BinaryNumber_0000010 BinaryNumber_0010100 BinaryNumber_0100110 BinaryNumber_1010101 BinaryNumber_0010100 BinaryNumber_1011000 BinaryNumber_1010011 BinaryNumber_0100011
BinaryNumber_0000001 BinaryNumber_1001110 BinaryNumber_0100001 BinaryNumber_1000111 BinaryNumber_0100011 BinaryNumber_0000100 BinaryNumber_0110011 BinaryNumber_1000001 BinaryNumber_1000100 BinaryNumber_1011101
BinaryNumber_1001001 BinaryNumber_0001111 BinaryNumber_0000000 BinaryNumber_0100111 BinaryNumber_1100011 BinaryNumber_1011110 BinaryNumber_1001001 BinaryNumber_0111001 BinaryNumber_1010010 BinaryNumber_0010100
BinaryNumber_0001111 BinaryNumber_0000001 BinaryNumber_0010111 BinaryNumber_0100100 BinaryNumber_0100111 BinaryNumber_1011010 BinaryNumber_1001100 BinaryNumber_0000011 BinaryNumber_0110000 BinaryNumber_1100001
temperature__98c temperature__73c temperature__17c temperature__105c temperature__70c temperature__116c temperature__77c temperature__50c temperature__22c temperature__56c
temperature__14c temperature__92c temperature__137c temperature__91c temperature__142c temperature__4c temperature__126c temperature__92c temperature__77c temperature__88c
temperature__53c temperature__122c temperature__23c temperature__7c temperature__82c temperature__40c temperature__39c temperature__22c temperature__112c temperature__51c
temperature__93c temperature__7c temperature__109c temperature__138c temperature__85c temperature__112c temperature__52c temperature__123c temperature__105c temperature__57c
temperature__47c temperature__2c temperature__50c temperature__90c temperature__132c temperature__123c temperature__139c temperature__2c temperature__106c temperature__3c
