Burlywood Gray Beige SteelBlue Sienna PaleGoldenrod RoyalBlue DarkSalmon Aquamarine Green
Blue Cyan DarkSlateBlue Wheat PeachPuff Crimson PowderBlue Snow LightSalmon BlanchedAlmond
Cornsilk Teal DarkBlue LightGoldenrod RosyBrown Cornsilk Cornsilk LightPink LightCoral RosyBrown
Red DarkFuchsia Teal SkyBlue Gainsboro MediumSpringGreen DarkFuchsia LightGray LightSlateGray LightGoldenrodYellow
DarkFuchsia DarkKhaki DarkGray MintCream Chocolate VioletRed MediumSeaGreen Red LightBlue MediumSlateBlue
Ivory WhiteSmoke PaleGoldenrod Blue OliveDrab DarkOrchid White MistyRose HotPink LightPink
SteelBlue Teal DarkOrange Brown PapayaWhip Red Pink SkyBlue Seashell Indigo
DarkFuchsia AntiqueWhite SandyBrown MediumTurquoise MediumSpringGreen CornflowerBlue Salmon LightGray Gainsboro Maroon
DarkSeaGreen DarkCyan Feldspar DeepSkyBlue MediumVioletRed Turquoise DarkSlateGray LightGoldenrodYellow GreenYellow MediumSeaGreen
MistyRose LightGoldenrod Indigo DarkFuchsia LightSkyBlue DarkOrchid IndianRed HotPink DarkOrange Khaki
SteelBlue Crimson DarkSalmon OrangeRed NavajoWhite AliceBlue Aquamarine Lavender Azure DimGray
temperature__118c temperature__27c temperature__126c temperature__106c temperature__119c temperature__14c temperature__105c temperature__33c temperature__42c temperature__42c
temperature__116c temperature__132c temperature__106c temperature__109c temperature__69c temperature__14c temperature__116c temperature__35c temperature__119c temperature__118c
temperature__106c temperature__42c temperature__61c temperature__50c temperature__92c temperature__77c temperature__27c temperature__108c temperature__30c temperature__61c
temperature__142c temperature__39c temperature__28c temperature__77c temperature__68c temperature__87c temperature__74c temperature__146c temperature__71c temperature__3c
temperature__56c temperature__50c temperature__74c temperature__46c temperature__33c temperature__122c temperature__28c temperature__93c temperature__95c temperature__36c
temperature__39c temperature__61c temperature__7c temperature__2c temperature__142c temperature__52c temperature__119c temperature__148c temperature__16c temperature__124c
