Jostaberry Salak Jambul Peach Plantain Cempedak Mango Loganberry Pomelo Feijoa
Nance Quince Tamarillo Pawpaw Elderberry Blackcurrant Banana Apricot Mango Cherry
Sapodilla Honeyberry Nance Cranberry Clementine Tamarind Clementine Mulberry Soursop Breadfruit
Grapefruit Açaí Bilberry Pomelo Huckleberry Elderberry Bilberry Jujube Bilberry Redcurrant
Date Pomelo Mangosteen Jujube Redcurrant Acerola Lemon Peach Passionfruit Canistel
Loquat Fig Feijoa Apple Bilberry Melon Blackcurrant Damson Lychee Gooseberry
Araza Nance Tamarillo Watermelon Soursop Guava Bilberry Tamarind Redcurrant Jambul
Pawpaw Avocado Tamarind Breadfruit Canistel Fig Açaí Lychee Tamarillo Quince
Kiwano Canistel Cantaloupe Honeyberry Tangerine Sapodilla Longan Kiwano Pawpaw Date
Papaya Banana Avocado Grapefruit Honeydew Honeyberry Plum Tangerine Orange Blackcurrant
Boysenberry Plum Grapefruit Akebi Persimmon Grapefruit Lime Yuzu Lemon Rambutan 
BinaryNumber_0001001 BinaryNumber_1011001 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_0001001 BinaryNumber_0000101 BinaryNumber_1010111 BinaryNumber_0101101 BinaryNumber_1010001 BinaryNumber_0011100
BinaryNumber_0000010 BinaryNumber_1010010 BinaryNumber_0001110 BinaryNumber_1000101 BinaryNumber_1011100 BinaryNumber_0001110 BinaryNumber_0101111 BinaryNumber_1001100 BinaryNumber_0111001 BinaryNumber_0010000
BinaryNumber_0000100 BinaryNumber_0101111 BinaryNumber_1001011 BinaryNumber_0101101 BinaryNumber_1011101 BinaryNumber_0110001 BinaryNumber_1001000 BinaryNumber_0001010 BinaryNumber_1001111 BinaryNumber_0100001
BinaryNumber_0010110 BinaryNumber_1001000 BinaryNumber_0001001 BinaryNumber_1010000 BinaryNumber_1100010 BinaryNumber_0110101 BinaryNumber_1001101 BinaryNumber_1011010 BinaryNumber_0110100 BinaryNumber_1000100
BinaryNumber_0010100 BinaryNumber_1011110 BinaryNumber_0000101 BinaryNumber_0110111 BinaryNumber_1001111 BinaryNumber_1011101 BinaryNumber_0100010 BinaryNumber_0110111 BinaryNumber_0010100 BinaryNumber_1001001
BinaryNumber_1011000 BinaryNumber_1011010 BinaryNumber_0100000 BinaryNumber_0001010 BinaryNumber_1000000 BinaryNumber_0111101 BinaryNumber_0111010 BinaryNumber_1011000 BinaryNumber_1011101 BinaryNumber_1000101
BinaryNumber_0001000 BinaryNumber_0000011 BinaryNumber_0110000 BinaryNumber_0011011 BinaryNumber_0000001 BinaryNumber_0000100 BinaryNumber_1001100 BinaryNumber_0001000 BinaryNumber_0010011 BinaryNumber_1100000
BinaryNumber_1100010 BinaryNumber_0110010 BinaryNumber_1001001 BinaryNumber_1010001 BinaryNumber_1011010 BinaryNumber_0111100 BinaryNumber_0000011 BinaryNumber_0000111 BinaryNumber_0101111 BinaryNumber_1011010
BinaryNumber_1010001 BinaryNumber_0011001 BinaryNumber_1000011 BinaryNumber_0000101 BinaryNumber_1000101 BinaryNumber_0000101 BinaryNumber_0111111 BinaryNumber_0000000 BinaryNumber_0101101 BinaryNumber_1001010
BinaryNumber_1011101 BinaryNumber_0101111 BinaryNumber_1000001 BinaryNumber_1000011 BinaryNumber_1011010 BinaryNumber_1010111 BinaryNumber_0101100 BinaryNumber_1011111 BinaryNumber_1011011 BinaryNumber_0010110
