Melon Boysenberry Satsuma Huckleberry Currant Cherimoya Watermelon Feijoa Sapodilla Guava
Araza Clementine Date Mandarine Breadfruit Jackfruit Tamarind Fig Yuzu Avocado
Orange Loquat Araza Pomelo Ximenia Grape Apple Mandarine Jambul Ackee
Pomelo Jostaberry Prune Longan Tayberry Apricot Cherry Peach Blackberry Kumquat
Salmonberry Fig Mandarine Peach Fig Apple Soursop Jostaberry Honeyberry Apple
Quince Jujube Blackberry Tamarind Tamarillo Kiwano Pawpaw Blackberry Huckleberry Quince
Abiu Huckleberry Loquat Cantaloupe Cherimoya Ackee Guava Mango Breadfruit Lychee
Mandarine Jambul Salmonberry Cherry Mandarine Elderberry Akebi Tamarind Sapote Nance
Kumquat Apple Canistel Pomelo Kiwifruit Ackee Quince Quince Prune Blackberry
Guava Bilberry Rambutan  Breadfruit Ackee Guava Blueberry Avocado Satsuma Coconut
Jackfruit Pear Yuzu Apricot Açaí Jambul Bilberry Huckleberry Kiwano Salak
nervous pleasant repulsive good good obedient black eager wrong easy
cautious blushing jittery agreeable itchy elegant tame frail wide-eyed bad
cruel cheerful gorgeous poor vast combative dark putrid worrisome clear
clumsy old-fashioned thoughtful busy witty cloudy homely thoughtless thoughtful stormy
healthy ashamed puzzled alert wandering unusual jealous easy determined fine
lazy modern disturbed grumpy distinct difficult obnoxious important troubled tired
wild depressed ugliest breakable adventurous anxious bloody prickly fancy defiant
selfish distinct stormy angry gorgeous precious unusual breakable delightful sparkling
ugly frightened graceful gifted defiant rich tense gentle cooperative mushy
innocent outstanding troubled bored thoughtful relieved rich itchy joyous tired
lively sore distinct courageous handsome awful ugly busy annoyed amused
Tomato Coral MidnightBlue LawnGreen DeepPink DarkOrchid LightSlateBlue Aquamarine Feldspar LightGoldenrod
Wheat MintCream Chocolate SaddleBrown LightSeaGreen SpringGreen DarkSeaGreen Azure LightSlateGray LightCyan
SandyBrown PapayaWhip Purple DeepSkyBlue Silver DarkViolet DarkKhaki PaleGoldenrod Cyan Cyan
LightCoral DarkViolet Plum DeepSkyBlue Crimson BlueViolet LawnGreen PeachPuff MediumSeaGreen Peru
Gold SeaGreen Honeydew Tomato DarkSalmon WhiteSmoke LightGray DarkViolet MintCream Plum
MediumBlue DodgerBlue Orchid Maroon LightSeaGreen DarkOliveGreen MediumOrchid Ivory SandyBrown Silver
DarkSalmon Indigo Blue Black LightGray Purple Pink DarkSlateBlue Blue Maroon
DeepSkyBlue SlateBlue VioletRed LightGray MediumVioletRed SteelBlue LightGoldenrod DarkOrchid SkyBlue Yellow
MediumSpringGreen CadetBlue Tomato OrangeRed NavajoWhite Silver LimeGreen AliceBlue LightSlateBlue PaleGoldenrod
DarkOrange LightCyan RosyBrown MidnightBlue DarkKhaki GreenYellow LightYellow Lavender SteelBlue Feldspar
Gray CornflowerBlue PaleVioletRed Navy Silver Snow Purple DarkOliveGreen LightGreen LightCoral
