Gold DarkGreen LightGoldenrodYellow SaddleBrown DarkSlateGray DarkSeaGreen OliveDrab Ivory MediumOrchid Lavender
Blue Aquamarine Khaki Snow DarkTurquoise LightBlue DarkGreen MistyRose DarkGoldenrod Silver
DarkSlateBlue Black Linen SandyBrown Silver MediumTurquoise Olive NavajoWhite HotPink Maroon
SteelBlue SaddleBrown AntiqueWhite LightSlateGray DarkGreen Firebrick HotPink MistyRose SandyBrown Aquamarine
MediumSeaGreen LightCoral Olive Tan Navy DeepPink PeachPuff MediumVioletRed Olive SeaGreen
Orchid DarkSlateBlue LawnGreen Fuchsia Khaki Blue Tan LemonChiffon Indigo DarkSlateGray
OrangeRed PowderBlue OldLace PaleGoldenrod Goldenrod Honeydew DarkGray Wheat Lavender DarkGoldenrod
DarkTurquoise DarkKhaki LightCyan SeaGreen DarkSeaGreen PaleTurquoise LightSkyBlue PaleGreen DarkSeaGreen CadetBlue
LimeGreen Plum LightGoldenrod DarkRed OrangeRed OldLace LightSalmon Thistle LightSkyBlue LightSeaGreen
LightSteelBlue Turquoise AliceBlue DarkSlateBlue Pink LawnGreen Sienna VioletRed AliceBlue LightSteelBlue
DarkBlue Pink OrangeRed MidnightBlue DarkSeaGreen Seashell MediumVioletRed SlateGray Indigo DarkSalmon
CubeNumber_175616 CubeNumber_1000 CubeNumber_35937 CubeNumber_405224 CubeNumber_262144 CubeNumber_157464 CubeNumber_216000 CubeNumber_4096 CubeNumber_456533 CubeNumber_175616
CubeNumber_140608 CubeNumber_59319 CubeNumber_571787 CubeNumber_39304 CubeNumber_195112 CubeNumber_166375 CubeNumber_32768 CubeNumber_64 CubeNumber_2197 CubeNumber_729
CubeNumber_97336 CubeNumber_6859 CubeNumber_343 CubeNumber_571787 CubeNumber_343000 CubeNumber_2744 CubeNumber_8000 CubeNumber_405224 CubeNumber_103823 CubeNumber_1331
CubeNumber_614125 CubeNumber_238328 CubeNumber_512 CubeNumber_46656 CubeNumber_238328 CubeNumber_456533 CubeNumber_531441 CubeNumber_830584 CubeNumber_205379 CubeNumber_195112
CubeNumber_238328 CubeNumber_658503 CubeNumber_4913 CubeNumber_132651 CubeNumber_274625 CubeNumber_216 CubeNumber_97336 CubeNumber_551368 CubeNumber_531441 CubeNumber_287496
CubeNumber_405224 CubeNumber_97336 CubeNumber_68921 CubeNumber_216000 CubeNumber_103823 CubeNumber_1331 CubeNumber_97336 CubeNumber_681472 CubeNumber_216000 CubeNumber_8
CubeNumber_117649 CubeNumber_438976 CubeNumber_357911 CubeNumber_704969 CubeNumber_857375 CubeNumber_571787 CubeNumber_5832 CubeNumber_2744 CubeNumber_8 CubeNumber_438976
CubeNumber_512000 CubeNumber_9261 CubeNumber_166375 CubeNumber_226981 CubeNumber_373248 CubeNumber_27000 CubeNumber_778688 CubeNumber_205379 CubeNumber_125 CubeNumber_6859
CubeNumber_15625 CubeNumber_571787 CubeNumber_4913 CubeNumber_27000 CubeNumber_15625 CubeNumber_421875 CubeNumber_79507 CubeNumber_8 CubeNumber_226981 CubeNumber_79507
CubeNumber_804357 CubeNumber_175616 CubeNumber_753571 CubeNumber_216000 CubeNumber_157464 CubeNumber_110592 CubeNumber_8000 CubeNumber_8000 CubeNumber_29791 CubeNumber_8000
CubeNumber_42875 CubeNumber_12167 CubeNumber_27 CubeNumber_912673 CubeNumber_226981 CubeNumber_8000 CubeNumber_4096 CubeNumber_27 CubeNumber_74088 CubeNumber_314432
