bored alert proud uptight friendly disturbed sore nasty old-fashioned gentle
misty weary elated bloody determined dangerous elated cheerful itchy talented
strange better disgusted embarrassed odd jittery fine thoughtful healthy careful
clean exuberant amused graceful homeless zany successful wrong worrisome wicked
elated friendly modern inexpensive powerful cooperative glamorous tender mushy poised
condemned clever good obedient embarrassed defiant grieving annoyed adventurous smoggy
relieved breakable strange selfish puzzled fierce uninterested naughty tender modern
better disgusted fine wandering defiant proud bewildered victorious doubtful adorable
terrible busy gleaming amused open combative homely talented eager confused
fancy creepy precious innocent blue-eyed arrogant cloudy smiling hurt better
filthy worried handsome terrible agreeable successful scary beautiful cloudy wrong
Turquoise Olive DarkGreen LightCoral LemonChiffon Violet PaleVioletRed GhostWhite LightGoldenrodYellow LightPink
Olive MediumSpringGreen DeepSkyBlue LightSlateGray LightBlue WhiteSmoke GreenYellow FloralWhite SlateGray SteelBlue
Olive DarkGray GhostWhite PowderBlue Gainsboro PeachPuff DeepSkyBlue Gainsboro LawnGreen Khaki
Honeydew Tomato Brown MidnightBlue IndianRed Feldspar SaddleBrown DarkTurquoise Turquoise SeaGreen
LightPink Thistle Silver GhostWhite Teal AliceBlue LightCoral Wheat PowderBlue Fuchsia
AliceBlue Salmon LightGreen LightGoldenrodYellow Firebrick Navy Blue Aquamarine Indigo RoyalBlue
DarkOliveGreen DarkBlue LightGoldenrod MediumAquamarine DarkGray PaleVioletRed PaleGreen DarkOliveGreen DarkGray LightCyan
MediumSeaGreen Brown Chartreuse LightGoldenrodYellow Crimson DarkOrange NavajoWhite Moccasin DarkViolet Cornsilk
Aquamarine DeepSkyBlue PaleGoldenrod Aquamarine LightSkyBlue Black CadetBlue MediumSeaGreen Plum LightSeaGreen
RoyalBlue Feldspar NavajoWhite DarkSalmon MediumAquamarine DarkGreen Green PaleGreen Firebrick RoyalBlue
Linen ForestGreen Purple AntiqueWhite SlateGray Navy LightSalmon Beige MediumSeaGreen DarkBlue
