MediumSlateBlue LawnGreen Moccasin Sienna Coral GhostWhite PaleGoldenrod PaleVioletRed MediumAquamarine MediumVioletRed
BlueViolet DarkSlateBlue SaddleBrown Firebrick LightCyan Snow Blue Azure PapayaWhip Ivory
Goldenrod ForestGreen Coral DarkGoldenrod Firebrick PaleGreen Gray DarkGray DarkRed Linen
Green LightCyan MidnightBlue Plum Black MediumVioletRed LightGray MistyRose Gainsboro Red
PapayaWhip BlanchedAlmond DarkOrange DarkOrange MintCream DarkOrange LightSeaGreen DarkSlateGray SpringGreen MediumSlateBlue
Blue LightSlateGray LightYellow Moccasin LightSeaGreen Thistle PaleTurquoise PaleGoldenrod DarkKhaki CornflowerBlue
Olive DarkViolet Lime DeepPink SandyBrown MediumSlateBlue Chocolate Crimson Thistle LightCyan
DodgerBlue Yellow Purple Tomato Indigo LavenderBlush SteelBlue Salmon Pink RosyBrown
Cyan DarkBlue LightPink DarkOrchid Yellow BlanchedAlmond Silver DodgerBlue DarkFuchsia DarkFuchsia
Sienna MediumSlateBlue MediumSeaGreen Goldenrod MediumSeaGreen LawnGreen SandyBrown DimGray LightBlue Goldenrod
Orange LightSteelBlue LightSkyBlue MediumSeaGreen Brown Wheat MediumSeaGreen VioletRed DarkRed DarkBlue
Fallopiantubes Ear Tastebuds Arteries Pharynx Teeth Scrotum Penis Largeintestine Tongue
Urethra Cornea Spinalnerves Pons Fallopiantubes Sensoryorgans skeleton Capillaries Ovaries Bladder
Pons Lymphaticvessel skeleton Penis Cecum Joints Fallopiantubes Cecum Teeth Spinalnerves
Kidneys Cornea Fallopiantubes Thalamus Eye Largeintestine Teeth Ileum Cecum Cranialnerves
Esophagus Lips Fallopiantubes Spinalnerves Uterus Thalamus Pharynx Pharynx Capillaries Clitoris
Cochlea Scrotum Sensoryorgans Earlobe Cornea Thalamus Eye Uterus Smallintestine Liver
Ileum Smallintestine Bronchi Veins skeleton Tendons Ciliarybody Lens Ear Ciliarybody
