DarkViolet PaleGreen Violet SpringGreen MidnightBlue GhostWhite Fuchsia DarkOrange Red PaleGoldenrod
LemonChiffon Burlywood DarkCyan LawnGreen Orange Indigo MidnightBlue Orchid OrangeRed DimGray
LightBlue Lavender Aquamarine Brown DarkKhaki DarkSlateBlue SkyBlue Indigo LightCyan MediumSlateBlue
LightSalmon MintCream Chocolate HotPink HotPink PaleGreen LimeGreen Pink HotPink DarkOrchid
MediumAquamarine Feldspar AliceBlue Sienna Maroon Blue Pink DarkSlateBlue DarkCyan DarkRed
NavajoWhite Chartreuse OliveDrab Lime SandyBrown LightGreen LemonChiffon DarkSlateBlue MediumBlue Blue
Seashell CornflowerBlue DarkRed BlueViolet Cornsilk LightSkyBlue Orange LightSeaGreen DarkTurquoise SkyBlue
DarkOrange Firebrick LightSlateGray SandyBrown Honeydew Maroon BlanchedAlmond DarkOrchid Peru Plum
Peru LavenderBlush Olive MediumSlateBlue LightGray Lime BlanchedAlmond DarkGoldenrod DarkOrange PaleGreen
DeepPink MidnightBlue DarkCyan Salmon Honeydew MediumSlateBlue DarkOliveGreen Plum Snow CadetBlue
MintCream Burlywood Navy Indigo AliceBlue Navy Purple MediumSpringGreen MediumTurquoise LemonChiffon
offenses psychological massacre accident slayings assault illegal imprisonment offenses thrillers
gangs offenders murders misdemeanour conspiracy mob government cop noir massacre
bloodshed safety thrillers supernatural guilt bloodshed transgression serial legislature homicides
brutality evidence crime homicide gangster gang transgression government noir bloodshed
statutory evidence war thriller offenses serial punitive felony law story
massacre illegal cop gangs thrillers imprisonment offenders transgression noir homicides
terrorism offenders rape arsons kill gang highjack evidence mutilation story
muggings gang action criminals mutilation criminality mystery shootings highjack offence
skyjack bloodshed gangs racism offenses trafficking revenge offenses investigation imprisonment
spy trafficking dark homicide rape evidence liberty war theft criminal
threats trafficking highjack conspiracy racism unsolved offenders prostitution liberty drugs
Plumcot Banana Lemon Redcurrant Quince Passionfruit Tangerine Boysenberry Apple Pear
Plumcot Banana Jostaberry Canistel Blackcurrant Tamarind Canistel Cashew Apple Loquat
Honeyberry Jujube Mango Apricot Avocado Yuzu Akebi Prune Cashew Papaya
