IndianRed PaleGreen DarkOliveGreen LightCoral DodgerBlue LightBlue PaleVioletRed SaddleBrown Thistle Wheat
DarkGray MediumSpringGreen Wheat OrangeRed LightBlue OldLace DarkSlateBlue Tomato DarkKhaki DarkGoldenrod
LightBlue DarkSlateGray Goldenrod Brown Sienna Burlywood LightGray LavenderBlush LavenderBlush Feldspar
DeepSkyBlue LightCyan Silver Seashell Teal MediumSlateBlue Gold DarkOliveGreen SlateGray Black
Cornsilk Plum Red Orchid PaleTurquoise MediumBlue PowderBlue Crimson DodgerBlue PapayaWhip
Chartreuse Firebrick Crimson Turquoise DarkFuchsia Feldspar ForestGreen DeepPink White Olive
DarkRed SlateGray Chartreuse Orchid Lime SlateGray LemonChiffon Honeydew CadetBlue Salmon
BlueViolet DarkViolet Snow LightBlue BlanchedAlmond Bisque Linen DarkKhaki Tan Lavender
DarkOrange LightSlateGray LightGoldenrodYellow DarkKhaki LightCoral LightSalmon White DarkCyan CadetBlue DarkBlue
PapayaWhip Red Aquamarine Indigo IndianRed GreenYellow Tomato Purple OrangeRed SandyBrown
CadetBlue Plum LightSkyBlue Yellow MediumSlateBlue MediumTurquoise DarkCyan LightSkyBlue OldLace DimGray
BinaryNumber_0000001 BinaryNumber_0100000 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0010111 BinaryNumber_1001101 BinaryNumber_1001111 BinaryNumber_0101010 BinaryNumber_1011010 BinaryNumber_0001000
BinaryNumber_0101101 BinaryNumber_0100001 BinaryNumber_0110001 BinaryNumber_0100111 BinaryNumber_0011011 BinaryNumber_0110000 BinaryNumber_0010001 BinaryNumber_1000110 BinaryNumber_0001011 BinaryNumber_0110101
BinaryNumber_1000111 BinaryNumber_0011000 BinaryNumber_1011000 BinaryNumber_0001011 BinaryNumber_0010100 BinaryNumber_0010011 BinaryNumber_0001111 BinaryNumber_1010011 BinaryNumber_0001111 BinaryNumber_0101000
BinaryNumber_0100011 BinaryNumber_0001101 BinaryNumber_0010110 BinaryNumber_0010000 BinaryNumber_0101010 BinaryNumber_0100011 BinaryNumber_1001110 BinaryNumber_1001100 BinaryNumber_0110101 BinaryNumber_1010100
BinaryNumber_1100001 BinaryNumber_0011000 BinaryNumber_0101110 BinaryNumber_0110000 BinaryNumber_0101000 BinaryNumber_0000010 BinaryNumber_1001000 BinaryNumber_0110111 BinaryNumber_0101110 BinaryNumber_0010111
