GreenYellow DarkFuchsia Orange LightGoldenrodYellow Feldspar Crimson LightBlue DarkGoldenrod DarkOrange Khaki
Fuchsia Red Gainsboro Teal DarkOrange SpringGreen GreenYellow BlueViolet SteelBlue PaleTurquoise
LavenderBlush DeepPink MediumSpringGreen MediumVioletRed WhiteSmoke Azure Lime PaleGreen VioletRed Lavender
Linen DarkBlue DarkOrange Silver LightGray Ivory GreenYellow MediumPurple PaleVioletRed DarkGray
Cornsilk LavenderBlush PeachPuff Firebrick SandyBrown MediumAquamarine DodgerBlue Ivory Teal LightBlue
DarkRed Beige Firebrick GreenYellow Plum MediumTurquoise Fuchsia Snow LightSeaGreen Peru
Ivory DarkGoldenrod DarkGoldenrod Azure Snow IndianRed DimGray LawnGreen DodgerBlue LightSlateBlue
Blue DarkOrchid Gainsboro Olive DeepSkyBlue Chocolate DarkGreen MintCream OliveDrab DarkViolet
DarkOrchid Orange OrangeRed DodgerBlue LightCoral SaddleBrown SlateBlue DeepSkyBlue PaleGreen LightGoldenrodYellow
NavajoWhite SlateGray AntiqueWhite Plum Orchid Purple Teal MediumSpringGreen SeaGreen Linen
PaleTurquoise DodgerBlue NavajoWhite DarkOrchid SkyBlue GhostWhite DarkRed Crimson OliveDrab VioletRed
old-fashioned talented real elated stupid dead beautiful famous stupid light
fragile busy uninterested blue-eyed spotless tender perfect amused ugliest selfish
enthusiastic troubled dull embarrassed foolish magnificent blue worried upset lucky
envious eager thoughtless weary dead kind glorious agreeable clever healthy
bloody depressed difficult cooperative old-fashioned fierce grumpy healthy brainy prickly
outrageous helpful nice defiant fragile cooperative clever distinct proud breakable
bad uninterested blue bored wide-eyed tired thankful defiant prickly kind
annoying impossible glamorous condemned fine real victorious drab disgusted horrible
successful gleaming frail helpful strange hungry mysterious grumpy cheerful bewildered
super fragile weary adventurous frightened combative fierce sore poor arrogant
good depressed talented spotless nutty thoughtful lively tense fantastic angry
11:31 19:42 15:39 13:23 20:21 13:50 23:31 12:37 11:17 10:52
21:25 13:10 16:38 11:48 19:25 15:14 19:45 13:10 14:52 10:16
