Jujube Redcurrant Bilberry Clementine Huckleberry Marionberry Currant Tangerine Grape Nance
Salak Raspberry Abiu Marionberry Sapodilla Cloudberry Tamarind Kumquat Plumcot Cherimoya
Persimmon Orange Persimmon Boysenberry Kumquat Lychee Cranberry Tangelo Blueberry Lychee
Persimmon Jostaberry Grapefruit Longan Cherry Peach Marionberry Lulo Lime Grapefruit
Mangosteen Tamarind Breadfruit Loquat Nance Acerola Plantain Apricot Yuzu Rambutan 
Cantaloupe Jujube Prune Ackee Clementine Sapodilla Quince Lime Longan Papaya
Raspberry Abiu Boysenberry Damson Satsuma Pawpaw Mango Satsuma Cranberry Loganberry
Cloudberry Cempedak Pineberry Honeydew Melon Melon Tamarillo Gooseberry Honeydew Cashew
Strawberry Grapefruit Pawpaw Banana Cempedak Banana Plumcot Mulberry Araza Strawberry
Tayberry Blackcurrant Lemon Plantain Jostaberry Cranberry Tangerine Banana Strawberry Strawberry
Acerola Canistel Cloudberry Loganberry Damson Tamarind Satsuma Acerola Ackee Açaí
BinaryNumber_1011001 BinaryNumber_0001110 BinaryNumber_1001111 BinaryNumber_1010101 BinaryNumber_0111110 BinaryNumber_0011111 BinaryNumber_0101110 BinaryNumber_0111010 BinaryNumber_1011000 BinaryNumber_1100000
BinaryNumber_1011000 BinaryNumber_1100000 BinaryNumber_0000010 BinaryNumber_0000010 BinaryNumber_1001100 BinaryNumber_0100101 BinaryNumber_0111101 BinaryNumber_1000110 BinaryNumber_1000110 BinaryNumber_1010001
BinaryNumber_0011000 BinaryNumber_0110001 BinaryNumber_1010101 BinaryNumber_0110100 BinaryNumber_0001111 BinaryNumber_1001011 BinaryNumber_0000101 BinaryNumber_0111001 BinaryNumber_0111111 BinaryNumber_1000101
BinaryNumber_0111010 BinaryNumber_0011001 BinaryNumber_1001000 BinaryNumber_1100001 BinaryNumber_1000010 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0111001 BinaryNumber_0001110 BinaryNumber_0101110
