LightGoldenrod DarkBlue Orchid Azure NavajoWhite Indigo SpringGreen SlateGray AliceBlue LightYellow
FloralWhite DarkGreen Tomato MediumSpringGreen PeachPuff MistyRose Lime DarkGreen AntiqueWhite Linen
LightSkyBlue Wheat Gold Orange Khaki Beige LightBlue Beige IndianRed WhiteSmoke
SlateGray Chocolate Bisque DarkViolet PowderBlue Burlywood Teal LightSeaGreen LightGreen DarkGoldenrod
OliveDrab IndianRed Turquoise DarkGreen Peru Ivory Orchid Navy LavenderBlush DarkSeaGreen
LightGray Indigo VioletRed MediumOrchid ForestGreen LightCyan OliveDrab LightSlateBlue Seashell Violet
Gold Burlywood Maroon Sienna Orchid MediumTurquoise Orchid RoyalBlue Tomato Black
NavajoWhite DeepPink LightCoral LightCyan DarkOrchid PaleVioletRed Cyan Black Lavender Lavender
OldLace Indigo SkyBlue Violet Chartreuse DarkCyan Red Tan NavajoWhite RosyBrown
SaddleBrown LightGoldenrodYellow Azure DarkViolet CornflowerBlue Beige DarkViolet Blue DarkViolet DarkBlue
White PaleGoldenrod DarkFuchsia White IndianRed DarkViolet MintCream RoyalBlue Violet MediumSlateBlue
CubeNumber_8000 CubeNumber_216 CubeNumber_4913 CubeNumber_614125 CubeNumber_343 CubeNumber_148877 CubeNumber_50653 CubeNumber_531441 CubeNumber_250047 CubeNumber_405224
CubeNumber_1000 CubeNumber_32768 CubeNumber_103823 CubeNumber_68921 CubeNumber_912673 CubeNumber_125 CubeNumber_389017 CubeNumber_250047 CubeNumber_3375 CubeNumber_238328
CubeNumber_27000 CubeNumber_681472 CubeNumber_166375 CubeNumber_74088 CubeNumber_35937 CubeNumber_39304 CubeNumber_614125 CubeNumber_185193 CubeNumber_27000 CubeNumber_64
CubeNumber_343000 CubeNumber_226981 CubeNumber_103823 CubeNumber_658503 CubeNumber_571787 CubeNumber_103823 CubeNumber_46656 CubeNumber_21952 CubeNumber_24389 CubeNumber_17576
CubeNumber_512000 CubeNumber_27000 CubeNumber_1000 CubeNumber_148877 CubeNumber_175616 CubeNumber_1728 CubeNumber_74088 CubeNumber_68921 CubeNumber_287496 CubeNumber_8000
CubeNumber_17576 CubeNumber_110592 CubeNumber_39304 CubeNumber_125 CubeNumber_551368 CubeNumber_343000 CubeNumber_753571 CubeNumber_125 CubeNumber_357911 CubeNumber_175616
CubeNumber_857375 CubeNumber_19683 CubeNumber_421875 CubeNumber_571787 CubeNumber_21952 CubeNumber_185193 CubeNumber_8 CubeNumber_29791 CubeNumber_132651 CubeNumber_389017
CubeNumber_493039 CubeNumber_46656 CubeNumber_157464 CubeNumber_157464 CubeNumber_357911 CubeNumber_157464 CubeNumber_216 CubeNumber_314432 CubeNumber_79507 CubeNumber_46656
CubeNumber_804357 CubeNumber_148877 CubeNumber_512000 CubeNumber_3375 CubeNumber_357911 CubeNumber_343000 CubeNumber_941192 CubeNumber_85184 CubeNumber_110592 CubeNumber_551368
CubeNumber_474552 CubeNumber_512 CubeNumber_8 CubeNumber_343000 CubeNumber_300763 CubeNumber_50653 CubeNumber_91125 CubeNumber_79507 CubeNumber_79507 CubeNumber_421875
CubeNumber_125000 CubeNumber_35937 CubeNumber_5832 CubeNumber_274625 CubeNumber_21952 CubeNumber_421875 CubeNumber_250047 CubeNumber_1331 CubeNumber_357911 CubeNumber_614125
SquareNumber_225 SquareNumber_484 SquareNumber_4900 SquareNumber_9216 SquareNumber_16 SquareNumber_5625 SquareNumber_7225 SquareNumber_361 SquareNumber_1936 SquareNumber_7056
SquareNumber_9216 SquareNumber_5476 SquareNumber_9801 SquareNumber_8464 SquareNumber_841 SquareNumber_5184 SquareNumber_1225 SquareNumber_6084 SquareNumber_5476 SquareNumber_49
SquareNumber_9409 SquareNumber_2916 SquareNumber_5776 SquareNumber_2500 SquareNumber_900 SquareNumber_4900 SquareNumber_169 SquareNumber_484 SquareNumber_2025 SquareNumber_81
