DarkRed VioletRed RosyBrown MediumSlateBlue Fuchsia Sienna CadetBlue Burlywood Olive FloralWhite
Honeydew Green MediumBlue DarkGray Pink Moccasin Chocolate LightPink Fuchsia LawnGreen
PaleGreen Orchid LightSalmon Crimson SlateBlue Bisque Snow SandyBrown Turquoise DarkSlateGray
DarkGoldenrod PaleTurquoise Linen Yellow DeepPink IndianRed DarkGreen LightSteelBlue DarkSlateGray Fuchsia
Pink DarkRed LightSlateBlue DarkKhaki MediumSeaGreen DarkOrchid Chocolate SlateBlue LightSalmon Gainsboro
LightSalmon LightSteelBlue Teal DarkOrange Orange BlueViolet DarkKhaki RoyalBlue Sienna MediumSpringGreen
BlanchedAlmond Ivory DeepSkyBlue Snow LightGray Pink PapayaWhip Salmon Orange LightSalmon
RoyalBlue Snow CadetBlue Black DeepSkyBlue Green Feldspar FloralWhite PeachPuff GreenYellow
Peru Blue DarkKhaki LawnGreen CornflowerBlue DarkSeaGreen Khaki Turquoise Cornsilk Orchid
OliveDrab MediumBlue LimeGreen VioletRed Green Brown DarkSlateGray DarkFuchsia OliveDrab NavajoWhite
LightGray SteelBlue Cyan Honeydew Aquamarine MediumTurquoise DarkGray Turquoise Pink Moccasin
BinaryNumber_1000000 BinaryNumber_0011100 BinaryNumber_0101011 BinaryNumber_1001010 BinaryNumber_0011101 BinaryNumber_1011111 BinaryNumber_1100001 BinaryNumber_0100001 BinaryNumber_0000101 BinaryNumber_0000000
BinaryNumber_0110100 BinaryNumber_1001011 BinaryNumber_0111111 BinaryNumber_0000100 BinaryNumber_1100001 BinaryNumber_0110000 BinaryNumber_1011001 BinaryNumber_1000000 BinaryNumber_1001110 BinaryNumber_0001000
BinaryNumber_1011111 BinaryNumber_0110111 BinaryNumber_0101100 BinaryNumber_0100011 BinaryNumber_1010101 BinaryNumber_1000110 BinaryNumber_0101001 BinaryNumber_0000101 BinaryNumber_0000011 BinaryNumber_1010111
BinaryNumber_0000101 BinaryNumber_0001011 BinaryNumber_0100100 BinaryNumber_0101010 BinaryNumber_1000110 BinaryNumber_0101101 BinaryNumber_0000101 BinaryNumber_0100000 BinaryNumber_0011100 BinaryNumber_0010111
BinaryNumber_1011111 BinaryNumber_0100110 BinaryNumber_0001110 BinaryNumber_0111101 BinaryNumber_1011011 BinaryNumber_1001100 BinaryNumber_0111111 BinaryNumber_1011010 BinaryNumber_0111001 BinaryNumber_1010011
BinaryNumber_0000000 BinaryNumber_1000001 BinaryNumber_0001100 BinaryNumber_1010101 BinaryNumber_0011010 BinaryNumber_0110011 BinaryNumber_1011100 BinaryNumber_1001100 BinaryNumber_1000110 BinaryNumber_1001011
BinaryNumber_1100001 BinaryNumber_0010001 BinaryNumber_0100111 BinaryNumber_1100011 BinaryNumber_0011111 BinaryNumber_1011101 BinaryNumber_0111011 BinaryNumber_0011101 BinaryNumber_0100101 BinaryNumber_1001100
