MediumTurquoise Linen GhostWhite Beige ForestGreen DeepSkyBlue Gainsboro OldLace DarkCyan PaleGreen
Pink DimGray DarkGoldenrod LightBlue Tomato MediumAquamarine DarkKhaki SlateBlue CornflowerBlue Sienna
DeepSkyBlue Black DarkRed LightSeaGreen OldLace GreenYellow LightPink LightBlue LavenderBlush FloralWhite
ForestGreen Silver Fuchsia Navy DimGray DarkGreen Firebrick DimGray DimGray DarkOrange
HotPink Thistle DarkSeaGreen MediumSpringGreen MintCream MediumPurple DeepSkyBlue OrangeRed Teal Wheat
RoyalBlue SandyBrown Purple CornflowerBlue BlueViolet RoyalBlue Purple SkyBlue Lavender Tomato
Coral Teal LightBlue Tomato DarkCyan Indigo DarkOrchid GhostWhite LimeGreen Linen
RosyBrown Feldspar SeaGreen MediumPurple SpringGreen PaleTurquoise PapayaWhip Tomato Feldspar Black
Gold WhiteSmoke Aquamarine Plum Pink DarkOrange Peru Wheat LightBlue DarkOrange
Honeydew LightGoldenrod Chocolate Cornsilk DarkGoldenrod Wheat DarkKhaki Brown Maroon LightBlue
Teal Gray DarkGreen VioletRed Firebrick LightBlue DarkKhaki SkyBlue DarkSlateGray LightSeaGreen
lively adventurous eager gorgeous troubled weary uninterested nutty puzzled friendly
combative spotless tense charming clean disgusted lucky wrong worrisome uptight
shiny cooperative old-fashioned envious ashamed graceful worried easy victorious spotless
jolly enthusiastic jealous elegant thankful delightful better victorious worrisome frantic
sleepy sparkling homely depressed homely sleepy worried anxious drab inexpensive
distinct confused poised fantastic super brave tame embarrassed putrid adventurous
tough smoggy bewildered hilarious tasty combative jittery cooperative motionless frightened
gentle plain jealous sore smiling smiling annoyed handsome bewildered successful
disgusted terrible kind clean vivacious putrid hilarious helpless nice expensive
clever smoggy unusual lively crazy comfortable disturbed weary anxious frightened
dark shiny brave light cautious filthy agreeable drab thoughtless poised
temperature__33c temperature__98c temperature__87c temperature__98c temperature__7c temperature__131c temperature__86c temperature__65c temperature__17c temperature__53c
temperature__130c temperature__47c temperature__98c temperature__23c temperature__10c temperature__14c temperature__82c temperature__27c temperature__53c temperature__59c
temperature__138c temperature__49c temperature__3c temperature__82c temperature__11c temperature__106c temperature__35c temperature__138c temperature__44c temperature__124c
temperature__54c temperature__79c temperature__122c temperature__108c temperature__82c temperature__49c temperature__123c temperature__14c temperature__4c temperature__109c
temperature__0c temperature__24c temperature__141c temperature__46c temperature__12c temperature__109c temperature__36c temperature__57c temperature__88c temperature__10c
temperature__116c temperature__46c temperature__4c temperature__41c temperature__79c temperature__44c temperature__35c temperature__90c temperature__124c temperature__61c
temperature__51c temperature__68c temperature__16c temperature__49c temperature__49c temperature__74c temperature__44c temperature__51c temperature__24c temperature__126c
temperature__109c temperature__53c temperature__93c temperature__35c temperature__26c temperature__141c temperature__86c temperature__51c temperature__119c temperature__5c
temperature__74c temperature__148c temperature__120c temperature__49c temperature__54c temperature__12c temperature__28c temperature__31c temperature__84c temperature__86c
temperature__85c temperature__144c temperature__39c temperature__16c temperature__61c temperature__58c temperature__56c temperature__98c temperature__138c temperature__112c
temperature__28c temperature__58c temperature__111c temperature__6c temperature__71c temperature__109c temperature__112c temperature__57c temperature__129c temperature__16c
Grape Coconut Araza Watermelon Canistel Salak Strawberry Clementine Clementine Mango
Acerola Kiwano Damson Kiwifruit Salak Avocado Gooseberry Prune Durian Boysenberry
Watermelon Satsuma Satsuma Marionberry Blackcurrant Huckleberry Elderberry Satsuma Persimmon Avocado
