MediumSlateBlue SlateGray SlateBlue PapayaWhip DarkSlateBlue DarkSlateGray DarkFuchsia Purple Maroon LightGoldenrodYellow
DarkSlateBlue Cyan Wheat Plum MediumTurquoise Turquoise DeepPink Crimson LavenderBlush LightGoldenrod
LightSkyBlue ForestGreen DarkCyan Beige DarkSeaGreen DodgerBlue Tomato PaleVioletRed DarkSlateBlue DarkFuchsia
Teal Salmon Pink Thistle RosyBrown LemonChiffon ForestGreen WhiteSmoke Violet MediumSpringGreen
Ivory Azure PaleGoldenrod Olive CornflowerBlue RosyBrown Orange LightSalmon Lavender DarkOrchid
WhiteSmoke MediumVioletRed VioletRed Azure DarkSalmon Gray LightGreen PapayaWhip DarkBlue Moccasin
MediumOrchid RoyalBlue Azure PeachPuff Khaki BlueViolet Coral DarkSlateBlue LavenderBlush MediumSeaGreen
PeachPuff DarkSeaGreen Burlywood Goldenrod DarkSalmon Burlywood Feldspar PaleTurquoise CadetBlue Red
AntiqueWhite Gainsboro DimGray BlueViolet Brown HotPink DeepPink DarkOrange AntiqueWhite Salmon
Gainsboro Teal CadetBlue PaleTurquoise AntiqueWhite SlateBlue VioletRed Green Violet SandyBrown
Red LightGoldenrodYellow LightBlue Green LightBlue Peru MediumSpringGreen Salmon DarkOliveGreen Purple
Brain Nerves Analcanal Stomach Retina Clitoris Placenta Vulva Cecum Stomach
Gallbladder Larynx Vagina Scrotum Thymus Bladder Ileum Uterus Hypothalamus Thalamus
Tendons Joints Fallopiantubes Ligaments Vagina Cerebrum Middleear Iris Ligaments Cranialnerves
Cecum Cecum Analcanal Liver Stomach Stomach Outerear Spleen Spleen Ureter
Eye Stomach Middleear Kidneys Midbrain Sensoryorgans Fallopiantubes Bronchi Vulva Ligaments
Gallbladder Thymus Vulva Liver Bladder Cerebrum Lens Heart Cerebrum Middleear
Ganglia Ureter Larynx Scrotum Pharynx Cerebrum Fallopiantubes Bone  skeleton Earlobe
Ileum Ureter Lymphaticvessel Bone  Lens Brain Outerear Lens Vulva Capillaries
Midbrain Cochlea Urethra Cranialnerves Ossicles Cranialnerves Liver Stomach Pharynx Mesentery
Ear Pons Esophagus Midbrain Ovaries Cranialnerves Clitoris Innerear Tongue Stomach
Ileum Hypothalamus Cervix Lymphaticvessel Retina Ossicles Spleen Middleear Ovaries Cranialnerves
BinaryNumber_0000110 BinaryNumber_1001011 BinaryNumber_1000110 BinaryNumber_0100011 BinaryNumber_0000000 BinaryNumber_1001110 BinaryNumber_0100111 BinaryNumber_0110000 BinaryNumber_1001001 BinaryNumber_0010011
