MediumSlateBlue PaleGoldenrod DarkRed AntiqueWhite DodgerBlue LightCoral Fuchsia WhiteSmoke Gold FloralWhite
DarkOrange LavenderBlush Salmon Maroon LightSteelBlue Snow Chocolate MidnightBlue Snow Salmon
LightSalmon Fuchsia Teal Coral MediumVioletRed DarkGray Violet Brown Silver Goldenrod
Crimson Snow MediumSlateBlue PaleGreen HotPink DarkCyan DarkGoldenrod Navy Plum DarkGoldenrod
MistyRose DarkSlateBlue IndianRed CadetBlue Brown DarkKhaki FloralWhite Bisque DarkGreen PaleVioletRed
Tomato Thistle Blue CornflowerBlue PaleGoldenrod Crimson LightSkyBlue Crimson Coral LightGoldenrodYellow
DarkSlateBlue Cornsilk Peru LightGreen Sienna DarkSalmon DodgerBlue LightSlateGray MediumSeaGreen SlateBlue
BlueViolet Snow CornflowerBlue LightSalmon Navy MediumOrchid Chartreuse LightCyan LemonChiffon IndianRed
NavajoWhite LightSeaGreen Ivory MediumTurquoise Gray MediumPurple DeepPink Wheat Purple LightGray
SkyBlue DarkOrange Indigo Gold LightGoldenrod OldLace VioletRed Chocolate RosyBrown DarkGoldenrod
LightSlateBlue LightGreen DarkGray LightCyan RoyalBlue LightGoldenrodYellow Gainsboro LightPink PapayaWhip Chartreuse
Tendons Arteries Lips Trachea Ligaments Cornea Thalamus Ovaries Thymus Cecum
Brain Veins Tongue Clitoris Nerves Tastebuds Thymus Scrotum Teeth Tongue
Larynx Heart Lymphaticvessel Gallbladder Arteries Cervix Thalamus Rectum Cochlea Bronchi
Liver Middleear Joints Lungs Gallbladder Clitoris Bladder Ossicles Ileum Bladder
Pharynx Interstitium Ciliarybody Spinalnerves Lips Rectum Vagina Thalamus Cranialnerves Mesentery
Scrotum Tendons Sensoryorgans Iris Vagina Smallintestine Muscle Tendons Pancreas Cochlea
Clitoris Capillaries Midbrain Mouth Iris Ganglia Lymphaticvessel Ureter Gallbladder Spleen
Brain Lungs Urethra Mesentery Ear Iris Capillaries Outerear Nerves Ossicles
Veins Ganglia Stomach Jejunum Eye Eardrum Ligaments Lymphaticvessel Rectum Ligaments
Thalamus Penis Vagina Mesentery Joints Bronchi Gallbladder Interstitium Cerebellum Midbrain
Spinalnerves Cerebrum Larynx Eye Earlobe Largeintestine Thalamus Outerear Middleear Penis
impossible wide-eyed pleasant precious bewildered blue wrong real sparkling clear
witty troubled frightened depressed ugly busy nervous gorgeous nice disturbed
clever depressed old-fashioned outrageous mushy inquisitive careful curious real gifted
blue stormy eager long disgusted proud nutty different bloody creepy
comfortable vivacious blushing handsome open worrisome victorious stupid kind angry
brave black tame determined alive upset jolly anxious kind delightful
foolish innocent zany arrogant gleaming modern uptight obedient repulsive charming
zany ugly frightened glamorous sleepy fragile funny ugly clear kind
envious obedient blue embarrassed putrid anxious grieving nasty modern misty
impossible graceful busy fancy embarrassed uninterested depressed encouraging dark annoyed
curious terrible powerful lucky easy itchy terrible glorious homely glorious
thriller missing cases trial law-breaking slay rape gang human offenders
homeless pirate gun death slayings rape fraud prostitution terrorism muggings
pirate mob mob story tort lift thriller mutilation bloodshed revenge
robbery threats drama revenge forensic missing prison imprisonment terrorism missing
