Teal VioletRed Salmon RosyBrown DarkGray Turquoise Ivory DarkTurquoise Orchid MediumAquamarine
Crimson PapayaWhip DarkRed DarkCyan Navy SaddleBrown Pink LemonChiffon Feldspar Cyan
Feldspar LimeGreen DarkSalmon IndianRed Burlywood LemonChiffon LightBlue VioletRed Maroon BlanchedAlmond
Blue Orchid PaleVioletRed Chocolate Moccasin MediumTurquoise Blue OliveDrab Aquamarine CadetBlue
Wheat Burlywood PaleGoldenrod Cornsilk Turquoise DarkBlue DarkGoldenrod Navy ForestGreen LightGray
SaddleBrown SteelBlue Purple LightSalmon DodgerBlue DarkRed GhostWhite Olive LightCoral PowderBlue
Peru MediumVioletRed MediumTurquoise LawnGreen LawnGreen DarkOrange WhiteSmoke MediumBlue Brown RosyBrown
LightPink Red DarkGray Feldspar Moccasin LightGreen OrangeRed MediumSpringGreen Brown DarkOliveGreen
RosyBrown Aquamarine Cornsilk Coral Navy Teal Orange DarkBlue OrangeRed Gray
Red DeepSkyBlue Lime LightSeaGreen Feldspar Coral Yellow Navy Moccasin DarkOrchid
PeachPuff LightSteelBlue MediumSeaGreen Firebrick Ivory SeaGreen Indigo Lavender WhiteSmoke Feldspar
Tendons Eye Interstitium Earlobe Rectum Hypothalamus Eardrum Eardrum skeleton Cochlea
Ligaments Clitoris Vulva Pharynx Mesentery Thymus Tongue Cerebellum Cranialnerves Tendons
Iris Heart Mouth Lips Vulva Vulva Arteries Ciliarybody Tastebuds Ossicles
Tendons Clitoris Lips skeleton Esophagus Trachea Capillaries Ossicles Teeth Eye
Veins Stomach Pharynx Ovaries Tongue Eye Analcanal Lymphaticvessel Eardrum Larynx
Smallintestine Gallbladder Eye Cerebellum Vulva Pons Pharynx Arteries Arteries Gallbladder
Analcanal Ligaments Ganglia Cranialnerves Cecum Middleear Cerebellum Rectum Nerves Urethra
Outerear Eardrum Ureter Eye Veins Bronchi Cecum Tongue Iris Veins
Bone  Muscle Thalamus Capillaries Ureter Brain Penis Duodenum Urethra Innerear
Stomach Veins Innerear Bone  Fallopiantubes Spleen Pons Eye skeleton Brain
Heart Thymus Middleear Brain Outerear Lymphaticvessel Cerebellum Joints Bladder Esophagus
Lulo Mandarine Gooseberry Raspberry Nectarine Cherry Jujube Salak Clementine Akebi
Cranberry Boysenberry Grape Cantaloupe Loganberry Soursop Cantaloupe Peach Mulberry Blackberry
Blueberry Blackberry Pomegranate Avocado Pear Pomelo Orange Boysenberry Breadfruit Mulberry
Tayberry Durian Tamarillo Pomelo Feijoa Salmonberry Persimmon Kiwifruit Tangelo Kumquat
Nectarine Cashew Apricot Honeyberry Peach Gooseberry Cherry Soursop Açaí Damson
Melon Satsuma Currant Fig Yuzu Plantain Lychee Sapodilla Loquat Guava
Mandarine Loganberry Plum Cantaloupe Plantain Kiwano Raisin Jackfruit Blackcurrant Satsuma
Apple Jostaberry Watermelon Banana Grape Tayberry Guava Tayberry Raspberry Kiwifruit
Canistel Grape Cranberry Gooseberry Cashew Nance Nance Cantaloupe Melon Papaya
Tamarind Araza Pomelo Ximenia Tangerine Araza Tamarillo Elderberry Guava Plumcot
Gooseberry Soursop Araza Avocado Raspberry Pomegranate Honeyberry Breadfruit Tangelo Sapodilla
temperature__39c temperature__70c temperature__53c temperature__71c temperature__10c temperature__51c temperature__120c temperature__141c temperature__3c temperature__124c
temperature__64c temperature__144c temperature__98c temperature__59c temperature__118c temperature__105c temperature__78c temperature__23c temperature__88c temperature__69c
temperature__70c temperature__8c temperature__85c temperature__52c temperature__108c temperature__145c temperature__112c temperature__22c temperature__16c temperature__46c
temperature__112c temperature__56c temperature__79c temperature__44c temperature__145c temperature__68c temperature__86c temperature__12c temperature__85c temperature__47c
temperature__6c temperature__35c temperature__122c temperature__120c temperature__50c temperature__64c temperature__138c temperature__95c temperature__12c temperature__136c
temperature__92c temperature__52c temperature__63c temperature__53c temperature__144c temperature__10c temperature__56c temperature__138c temperature__144c temperature__85c
temperature__120c temperature__4c temperature__87c temperature__87c temperature__119c temperature__138c temperature__77c temperature__69c temperature__116c temperature__126c
temperature__23c temperature__141c temperature__40c temperature__31c temperature__49c temperature__144c temperature__58c temperature__105c temperature__46c temperature__3c
temperature__41c temperature__123c temperature__130c temperature__78c temperature__6c temperature__141c temperature__74c temperature__12c temperature__84c temperature__31c
temperature__52c temperature__2c temperature__111c temperature__124c temperature__16c temperature__82c temperature__2c temperature__106c temperature__12c temperature__49c
