confused drab vast panicky dangerous comfortable itchy bored tasty evil
splendid hilarious nutty beautiful nice real different glorious jealous helpful
evil talented alert dead attractive frantic fancy zealous ugly upset
sleepy poor embarrassed enthusiastic talented lonely defeated smiling powerful ugliest
nervous famous wicked cheerful powerful dizzy careful adventurous worrisome talented
shiny annoying perfect funny tough prickly disturbed odd fantastic blue-eyed
smoggy black cheerful wide-eyed black inquisitive wild bad muddy angry
lively elegant tender doubtful expensive thoughtless old-fashioned sleepy brave cooperative
tense stormy comfortable dizzy grumpy agreeable cloudy tough frantic kind
crazy tough handsome helpless gorgeous courageous gentle old-fashioned energetic exuberant
clever envious annoying innocent weary combative lonely bloody puzzled excited
BinaryNumber_0101001 BinaryNumber_1001111 BinaryNumber_0011111 BinaryNumber_0001011 BinaryNumber_0001010 BinaryNumber_0001010 BinaryNumber_0101101 BinaryNumber_1011001 BinaryNumber_1010110 BinaryNumber_1000111
BinaryNumber_0000010 BinaryNumber_0111111 BinaryNumber_0000010 BinaryNumber_1010100 BinaryNumber_0100010 BinaryNumber_0010101 BinaryNumber_0101001 BinaryNumber_0100110 BinaryNumber_0011101 BinaryNumber_0100111
BinaryNumber_0000100 BinaryNumber_0010111 BinaryNumber_0100111 BinaryNumber_0100101 BinaryNumber_0001101 BinaryNumber_1001111 BinaryNumber_1000001 BinaryNumber_1001110 BinaryNumber_1001100 BinaryNumber_0010100
BinaryNumber_0100111 BinaryNumber_0111011 BinaryNumber_1000010 BinaryNumber_0001010 BinaryNumber_0110101 BinaryNumber_0100101 BinaryNumber_0101000 BinaryNumber_0111100 BinaryNumber_1000011 BinaryNumber_0101001
BinaryNumber_0010110 BinaryNumber_0001101 BinaryNumber_1010100 BinaryNumber_1001011 BinaryNumber_0010101 BinaryNumber_0000010 BinaryNumber_0000011 BinaryNumber_0000010 BinaryNumber_0101011 BinaryNumber_0000100
BinaryNumber_0111101 BinaryNumber_0011110 BinaryNumber_0110110 BinaryNumber_1011000 BinaryNumber_0111101 BinaryNumber_1000111 BinaryNumber_0010111 BinaryNumber_0000101 BinaryNumber_1001101 BinaryNumber_0100001
BinaryNumber_1001111 BinaryNumber_0010101 BinaryNumber_0110011 BinaryNumber_1000111 BinaryNumber_1000010 BinaryNumber_1000100 BinaryNumber_1010100 BinaryNumber_1000100 BinaryNumber_0101011 BinaryNumber_0011110
