Tayberry Lime Apple Damson Nectarine Boysenberry Watermelon Blueberry Jackfruit Raisin
Nectarine Currant Bilberry Nance Apple Prune Araza Quince Satsuma Mangosteen
Persimmon Honeydew Araza Salmonberry Raspberry Mulberry Araza Plumcot Rambutan  Ackee
Cempedak Papaya Fig Peach Bilberry Lulo Sapote Apricot Apple Cempedak
Cashew Loquat Cherry Mulberry Cantaloupe Apricot Kiwano Grapefruit Sapote Pawpaw
Cranberry Honeyberry Pear Cherimoya Blackcurrant Sapote Currant Banana Jujube Coconut
Soursop Mulberry Nectarine Marionberry Araza Strawberry Durian Cantaloupe Apricot Ximenia
Açaí Ackee Nectarine Longan Raisin Acerola Marionberry Jackfruit Apricot Lulo
Sapodilla Mulberry Pear Yuzu Honeydew Sapote Gooseberry Papaya Akebi Yuzu
Loganberry Feijoa Plumcot Loganberry Canistel Kiwifruit Cranberry Acerola Bilberry Yuzu
Raspberry Apricot Kiwifruit Orange Bilberry Honeydew Apricot Tangerine Araza Rambutan 
12:19 15:21 16:47 23:36 13:49 11:11 20:53 13:26 15:12 11:10
21:49 17:59 18:37 10:39 23:22 14:56 14:45 16:16 18:54 19:16
11:56 18:43 23:46 16:11 10:26 16:28 18:29 11:10 18:33 14:38
12:25 10:25 23:17 12:40 23:27 10:32 16:23 11:52 14:24 16:48
18:54 23:58 13:26 15:28 21:33 13:34 11:53 17:36 13:16 13:36
23:40 21:15 22:59 17:41 18:25 20:30 19:56 17:40 12:13 22:27
10:17 13:57 18:23 15:52 23:29 21:55 12:58 18:34 18:28 18:39
23:40 20:16 18:12 13:11 21:36 13:35 13:43 20:56 17:41 18:27
18:19 16:47 18:29 21:42 19:32 12:31 18:11 10:24 15:24 18:38
19:56 17:53 11:12 15:21 16:59 14:34 17:25 20:33 11:52 10:23
23:56 23:34 11:59 14:32 15:19 13:30 21:30 11:12 23:56 21:51
BinaryNumber_1010011 BinaryNumber_0010000 BinaryNumber_1000010 BinaryNumber_1011101 BinaryNumber_0101010 BinaryNumber_1011000 BinaryNumber_1001000 BinaryNumber_0010101 BinaryNumber_0111011 BinaryNumber_1000111
BinaryNumber_1100011 BinaryNumber_1000100 BinaryNumber_1000010 BinaryNumber_1000100 BinaryNumber_0101111 BinaryNumber_0100110 BinaryNumber_1011011 BinaryNumber_0101000 BinaryNumber_1001001 BinaryNumber_0010001
BinaryNumber_1010010 BinaryNumber_1100011 BinaryNumber_1001000 BinaryNumber_1010111 BinaryNumber_1010001 BinaryNumber_0001111 BinaryNumber_1011110 BinaryNumber_0101110 BinaryNumber_1000110 BinaryNumber_1011110
BinaryNumber_1001100 BinaryNumber_0100011 BinaryNumber_1001110 BinaryNumber_0100001 BinaryNumber_1010000 BinaryNumber_0001100 BinaryNumber_0011111 BinaryNumber_0101110 BinaryNumber_1010101 BinaryNumber_0000010
BinaryNumber_0011000 BinaryNumber_0111000 BinaryNumber_0010000 BinaryNumber_0001001 BinaryNumber_0010001 BinaryNumber_1001111 BinaryNumber_0111010 BinaryNumber_0111110 BinaryNumber_0111010 BinaryNumber_0000010
BinaryNumber_1000110 BinaryNumber_0001111 BinaryNumber_0000100 BinaryNumber_0000011 BinaryNumber_0011001 BinaryNumber_1001101 BinaryNumber_0011000 BinaryNumber_0010001 BinaryNumber_1011111 BinaryNumber_1100010
