Pink DarkSalmon BlueViolet Orange SandyBrown Brown Gold SeaGreen LightYellow MintCream
DarkSalmon PapayaWhip Turquoise Teal CadetBlue Chocolate Burlywood Linen Red LightGray
VioletRed WhiteSmoke IndianRed WhiteSmoke AntiqueWhite Crimson Sienna DimGray Purple OliveDrab
LightPink MediumPurple Gray LightSeaGreen DarkGreen Coral SpringGreen DimGray LightPink Pink
Feldspar MediumBlue MediumBlue OldLace WhiteSmoke Pink LightSalmon Red BlueViolet DarkGoldenrod
SkyBlue Seashell GreenYellow Honeydew HotPink DarkGray SandyBrown Turquoise Azure MediumVioletRed
Snow MediumSeaGreen GreenYellow SlateBlue Purple GreenYellow PapayaWhip Goldenrod RoyalBlue Brown
CornflowerBlue VioletRed DarkOrange Gainsboro LightSalmon Orchid Olive Lavender Ivory SkyBlue
White DarkGreen Brown PaleVioletRed LawnGreen Lime LightSeaGreen Blue DarkKhaki Lavender
DimGray Tan Snow Chartreuse MediumPurple LightSlateBlue DarkSlateGray Feldspar GhostWhite Firebrick
LightGoldenrod CadetBlue Lavender NavajoWhite Bisque DarkSeaGreen Pink LightGreen SlateBlue DarkGreen
Tallboy Hammock Rack Hammock Etagère Bookshelf Tallboy Baroque Bergere Settee
Furnishings Furnishings Chandelier Baroque Light Buffet Pew Jardinière Futon Cabriole
Marquetry Wicker Lounger Rattle Castor Hassock Cot Mantle Screen Stool
Vitrine Lounger Couch Tansu Bureau Inlay Seat Sideboard Highchair Rug
Light Valet Baroque Hokey Desk Pillow Cart Bookcase Pantry Vanity
Sofabed Credenza Armoire Daybed Marquetry Lamp Rug Headboard Credenza Volute
Applique Bowfront Vanity Couch Table Console Pantry Desk Lintel Loveseat
Upholstery Bassinet Cushions Futon Cot Television Sofa Vitrine Table Tuffet
Credenza Breakfront Volute Daybed Lamp Sofa Hutch Throne Loveseat Sideboard
Cradle Screen Desk Pillow Breakfront Desk Dresser Wardrobe Highchair Secretary
Cart Mantle Hassock Rug Lounger Secretary Bentwood Bureau Credenza Pantry
temperature__126c temperature__0c temperature__68c temperature__47c temperature__40c temperature__3c temperature__63c temperature__77c temperature__82c temperature__73c
temperature__88c temperature__84c temperature__141c temperature__139c temperature__53c temperature__120c temperature__41c temperature__59c temperature__53c temperature__65c
temperature__3c temperature__17c temperature__2c temperature__111c temperature__122c temperature__30c temperature__82c temperature__57c temperature__84c temperature__120c
temperature__138c temperature__131c temperature__132c temperature__47c temperature__139c temperature__26c temperature__52c temperature__78c temperature__4c temperature__77c
temperature__10c temperature__77c temperature__33c temperature__68c temperature__16c temperature__136c temperature__3c temperature__40c temperature__59c temperature__21c
temperature__59c temperature__31c temperature__0c temperature__24c temperature__17c temperature__28c temperature__7c temperature__4c temperature__7c temperature__7c
