Violet CadetBlue Gray PeachPuff DimGray DarkTurquoise LimeGreen Tan DarkGreen LightSteelBlue
LightGoldenrodYellow Snow MediumSeaGreen LightCyan Teal Aquamarine Cyan Pink LawnGreen Tan
SlateBlue LightYellow MediumSpringGreen LawnGreen DarkSlateBlue MediumTurquoise DarkGoldenrod Cornsilk Pink ForestGreen
NavajoWhite Honeydew Red Thistle Turquoise MediumAquamarine Snow SandyBrown MediumOrchid MintCream
DarkSeaGreen OldLace Burlywood HotPink SlateGray Fuchsia NavajoWhite Purple SeaGreen WhiteSmoke
HotPink SkyBlue Salmon Chartreuse Burlywood Gold PowderBlue Blue DarkFuchsia Bisque
DarkSlateGray LemonChiffon NavajoWhite Purple RosyBrown CornflowerBlue MediumOrchid DarkGreen Gold LimeGreen
LawnGreen MediumOrchid Pink DeepPink LightCoral MidnightBlue Ivory Yellow ForestGreen LemonChiffon
MediumSeaGreen LightGray OrangeRed Silver LightGreen Cyan MediumSeaGreen DimGray Snow MediumSpringGreen
Purple SlateGray SlateBlue Gold DarkCyan MediumOrchid Orchid SlateGray Tomato LightSkyBlue
Pink DarkCyan SeaGreen CadetBlue DarkGray PaleGreen Blue DarkKhaki DarkGoldenrod LightPink
Liver Stomach Lips Tongue Mouth Cranialnerves Thalamus Tongue Largeintestine Muscle
Kidneys Lips Tendons Scrotum Muscle Innerear Interstitium Cochlea Cranialnerves Muscle
Cervix Analcanal Rectum Veins Jejunum Midbrain Clitoris Tongue Nerves Spinalnerves
Bronchi Bone  Ileum Midbrain Scrotum Capillaries Cochlea Mouth Tongue Veins
Outerear Veins Smallintestine Cochlea Innerear Pons Bone  Tongue Bone  Larynx
Bladder Bronchi Spinalnerves Heart Muscle Hypothalamus Trachea Bladder Ovaries Muscle
Tongue Joints Uterus Teeth Bone  Clitoris Ovaries Cranialnerves Pons Cranialnerves
Uterus Largeintestine Vagina Cerebellum Thymus Hypothalamus Bone  Trachea Stomach Smallintestine
Trachea Arteries Retina Cochlea Ureter Vulva Cerebellum Ossicles Cornea Rectum
