Kumquat Blackberry Cranberry Redcurrant Abiu Breadfruit Marionberry Bilberry Blackcurrant Tayberry
Cherimoya Cherimoya Nectarine Elderberry Blueberry Jujube Pineberry Cranberry Cranberry Ximenia
Pineapple Redcurrant Lychee Acerola Cempedak Sapote Avocado Prune Jackfruit Tangelo
Feijoa Honeyberry Redcurrant Acerola Tangelo Passionfruit Cantaloupe Quince Canistel Tamarillo
Pawpaw Pineapple Papaya Lychee Melon Sapodilla Abiu Lime Lemon Araza
Abiu Durian Bilberry Breadfruit Soursop Cherimoya Prune Tayberry Apricot Pawpaw
Clementine Nance Nance Prune Cantaloupe Tangerine Blackcurrant Cherry Nance Pawpaw
Abiu Kiwifruit Cherry Kiwano Akebi Jackfruit Damson Soursop Quince Pineapple
Nance Cantaloupe Nance Raisin Salak Honeydew Tamarillo Cherry Rambutan  Soursop
Bilberry Lulo Date Blueberry Cranberry Persimmon Currant Araza Raspberry Lime
Elderberry Tangerine Loganberry Sapote Lulo Plumcot Melon Damson Cantaloupe Sapodilla
temperature__91c temperature__132c temperature__85c temperature__87c temperature__139c temperature__122c temperature__46c temperature__12c temperature__34c temperature__23c
temperature__65c temperature__59c temperature__4c temperature__21c temperature__98c temperature__126c temperature__147c temperature__108c temperature__57c temperature__4c
temperature__132c temperature__100c temperature__122c temperature__124c temperature__4c temperature__105c temperature__61c temperature__123c temperature__73c temperature__68c
temperature__69c temperature__112c temperature__87c temperature__4c temperature__68c temperature__136c temperature__5c temperature__132c temperature__129c temperature__78c
temperature__95c temperature__73c temperature__52c temperature__65c temperature__92c temperature__5c temperature__63c temperature__111c temperature__11c temperature__71c
temperature__44c temperature__10c temperature__124c temperature__87c temperature__64c temperature__49c temperature__137c temperature__51c temperature__84c temperature__59c
temperature__108c temperature__22c temperature__65c temperature__58c temperature__92c temperature__41c temperature__58c temperature__139c temperature__14c temperature__74c
temperature__141c temperature__142c temperature__59c temperature__68c temperature__16c temperature__88c temperature__85c temperature__130c temperature__40c temperature__119c
temperature__131c temperature__17c temperature__58c temperature__145c temperature__5c temperature__4c temperature__57c temperature__112c temperature__31c temperature__112c
temperature__106c temperature__4c temperature__28c temperature__26c temperature__90c temperature__30c temperature__138c temperature__41c temperature__136c temperature__49c
temperature__64c temperature__68c temperature__53c temperature__137c temperature__140c temperature__58c temperature__59c temperature__91c temperature__30c temperature__5c
BinaryNumber_0010111 BinaryNumber_0011011 BinaryNumber_1011001 BinaryNumber_0001111 BinaryNumber_1000010 BinaryNumber_0010110 BinaryNumber_0110001 BinaryNumber_0110000 BinaryNumber_0000011 BinaryNumber_1010010
BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0101101 BinaryNumber_0001100 BinaryNumber_0001010 BinaryNumber_1010011 BinaryNumber_1001101 BinaryNumber_1011010 BinaryNumber_0000101 BinaryNumber_1000011
BinaryNumber_0100001 BinaryNumber_0100101 BinaryNumber_1010101 BinaryNumber_0010101 BinaryNumber_0110111 BinaryNumber_1010000 BinaryNumber_1000111 BinaryNumber_0001001 BinaryNumber_0010101 BinaryNumber_1011110
BinaryNumber_1100001 BinaryNumber_0001100 BinaryNumber_0001001 BinaryNumber_0111011 BinaryNumber_0111011 BinaryNumber_1010000 BinaryNumber_0101000 BinaryNumber_0010110 BinaryNumber_0101001 BinaryNumber_0111010
BinaryNumber_1011011 BinaryNumber_0010101 BinaryNumber_1000000 BinaryNumber_0100101 BinaryNumber_1010010 BinaryNumber_0001000 BinaryNumber_0001001 BinaryNumber_0110001 BinaryNumber_0101000 BinaryNumber_0010011
BinaryNumber_0100000 BinaryNumber_0101100 BinaryNumber_0100111 BinaryNumber_0101010 BinaryNumber_0000001 BinaryNumber_1000000 BinaryNumber_0000100 BinaryNumber_0011010 BinaryNumber_0101110 BinaryNumber_1000001
