MediumBlue ForestGreen Cyan RosyBrown Violet HotPink Red DeepPink LightCoral DarkCyan
DarkBlue LightSalmon LightGoldenrod DarkGray LightSteelBlue DarkSeaGreen LightSlateGray Wheat Lime LightGoldenrodYellow
CadetBlue Cornsilk CadetBlue Lime PapayaWhip White Teal OrangeRed SlateGray Snow
DarkGoldenrod DarkSalmon DarkGray PeachPuff DarkSlateGray DarkGray MediumSlateBlue Crimson LightSkyBlue DarkSlateGray
DarkSlateGray MediumTurquoise PowderBlue Brown ForestGreen CornflowerBlue LightGoldenrod LightSeaGreen OliveDrab VioletRed
Fuchsia Ivory Navy LemonChiffon HotPink DarkSeaGreen DarkOrchid DarkOrchid WhiteSmoke LightYellow
CadetBlue VioletRed MediumBlue Purple DarkViolet Green DarkKhaki White Linen DarkGoldenrod
SlateGray Plum PaleGreen DarkViolet Azure Snow DarkGoldenrod Indigo Salmon Navy
Honeydew Teal NavajoWhite MediumPurple MediumSeaGreen PaleVioletRed DimGray Linen Green RoyalBlue
Cyan PeachPuff Violet DarkSeaGreen Gray DarkRed DodgerBlue BlanchedAlmond MediumSpringGreen DarkGoldenrod
PowderBlue Bisque Purple Salmon Chartreuse Olive SpringGreen MintCream DarkFuchsia Goldenrod
mafia mystery supernatural offense gang highjack thriller offenses guilty guilt
criminals violence victim rape jurisdiction mystery snitching fraud felony poverty
serial shoplift criminals sin snitching mutilation legal kill felony sin
highjack jurisdiction poverty gangs robbery liberty kill punishment forensic corruption
misdemeanor mob arsons homicides suspense structuralism felony guilty shoplift accident
homicide robbery prostitution criminality action transgression mutilation detective illegal abuse
noir theft muggings psychological legislature murders smuggle heist offenders theft
corruption theft criminality bloodshed gangster gangsterism action drama offenders slay
missing liberty transgression gang offence transgression misdemeanour brutality country law
terrorism criminal gangs gangster punitive cop terrorism thrillers threats guilty
supernatural violence legal legal massacre shootings punishment country murders lift
Drapes Secretary Couch Furnishings Crib Sofa Valet Sconce Console Daybed
Easel Settee Bed Screen Tuffet Shelf Baroque Wheelchair Frieze Vanity
Cushions Breakfront Furniture Wicker Settee Drapes Applique cubbies Inlay Cart
Rug Console Rug Bookshelf Drapes Couch Bookcase Cart Armchair Bureau
Pew Bureau Curtains Footrest Lounger Sofa Sideboard Bench Vanity Inlay
Regency Sideboard Hokey cubbies Bed Chair Daybed Marquetry Breakfront Chest
Jardinière Marquetry Volute Mattress Cart Dresser Vitrine Fluting Divan Wicker
