IndianRed Moccasin PaleTurquoise DarkRed MediumAquamarine Cyan Maroon Honeydew Pink Orange
SlateGray GreenYellow SlateGray LightGoldenrodYellow SandyBrown Violet DarkSlateBlue PaleGoldenrod LightPink MediumBlue
MediumAquamarine MediumOrchid DarkBlue OldLace DarkViolet Purple Snow Aquamarine OliveDrab PeachPuff
SlateGray LightGray LightSeaGreen MediumPurple Blue MediumSeaGreen BlanchedAlmond LightGreen SteelBlue Orchid
RoyalBlue MediumOrchid AntiqueWhite Green Khaki DarkOliveGreen Snow LightBlue DarkSalmon Navy
Linen GhostWhite DarkOrange DarkFuchsia DarkGreen Salmon MediumVioletRed LawnGreen Gainsboro PaleGreen
BlanchedAlmond GreenYellow OldLace SlateBlue Coral MintCream Moccasin BlueViolet DarkGoldenrod GhostWhite
DarkSlateBlue RoyalBlue PaleGoldenrod DarkBlue Azure Chocolate LightSlateGray Maroon WhiteSmoke LightGoldenrod
DarkGoldenrod GhostWhite DarkOrange Lime DeepPink Lavender AntiqueWhite PaleVioletRed OldLace DarkFuchsia
DarkGoldenrod Gainsboro DeepPink Goldenrod NavajoWhite White DarkSeaGreen Lime DarkSeaGreen Chartreuse
Blue Snow LightSeaGreen Black DodgerBlue Feldspar Violet LawnGreen Purple Turquoise
11:13 14:44 20:37 10:40 19:29 15:11 20:58 23:42 23:18 17:31
18:15 20:47 13:29 18:39 20:12 18:56 16:44 17:10 10:58 23:20
12:22 11:33 11:39 11:59 13:49 11:12 13:52 13:39 15:59 15:31
11:16 15:33 17:29 18:41 20:12 12:31 20:43 16:51 14:10 18:42
17:52 20:46 18:43 15:16 22:21 15:45 10:29 14:44 21:49 18:56
16:42 18:57 14:23 20:58 20:46 23:51 14:31 22:46 23:58 13:49
18:24 22:46 12:52 10:37 23:43 10:33 10:15 21:40 11:44 17:31
22:20 19:19 22:22 15:22 10:51 13:15 19:35 22:31 10:54 20:25
15:43 11:43 15:34 15:41 10:14 16:36 13:29 22:16 18:57 15:33
17:12 22:18 12:19 11:38 20:13 16:44 16:14 14:58 18:58 20:44
18:38 22:53 22:29 14:38 17:41 21:35 15:26 18:57 18:59 23:59
Canistel Ximenia Canistel Pear Honeyberry Cherry Watermelon Akebi Yuzu Loquat
Lime Quince Pomelo Lemon Lychee Satsuma Nance Cempedak Peach Pomelo
Sapodilla Apple Ximenia Gooseberry Boysenberry Melon Prune Strawberry Yuzu Grapefruit
Prune Açaí Clementine Cashew Lulo Grapefruit Cantaloupe Strawberry Pawpaw Loquat
Bilberry Jostaberry Clementine Apricot Tamarillo Raisin Loquat Mulberry Prune Blueberry
Lulo Yuzu Pear Sapote Blackberry Açaí Breadfruit Clementine Apricot Pineberry
Rambutan  Acerola Cashew Huckleberry Honeydew Plantain Boysenberry Ximenia Abiu Jackfruit
Nance Rambutan  Sapodilla Mandarine Kiwano Quince Cashew Satsuma Plumcot Plumcot
Pomelo Grapefruit Tangerine Elderberry Mango Canistel Tayberry Date Pomelo Tamarind
Honeyberry Marionberry Mango Damson Nance Loganberry Tamarind Coconut Banana Gooseberry
Bilberry Kumquat Cherimoya Mango Acerola Durian Loquat Kiwifruit Papaya Salak
