wild grieving unsightly funny friendly awful clever aggressive ashamed sore
strange graceful condemned easy mysterious terrible enchanting precious helpless frail
putrid difficult cute annoying arrogant cloudy lovely dull ill alert
expensive fantastic hurt depressed vast tasty shy angry fine plain
dark evil clean long lucky fair modern vivacious charming smiling
nutty wandering fancy easy ashamed smoggy helpful dizzy frightened naughty
fair vast faithful dull upset mushy bright putrid repulsive super
bad smiling energetic frantic obedient grieving crazy ugliest poised unusual
prickly aggressive gleaming obedient homeless wild zany witty funny wide-eyed
unsightly important creepy wild alert putrid hilarious thoughtless open weary
bored graceful wicked grumpy cheerful alive difficult pleasant talented bored
BinaryNumber_0111000 BinaryNumber_1000010 BinaryNumber_0000010 BinaryNumber_1000010 BinaryNumber_0111001 BinaryNumber_1000100 BinaryNumber_0110110 BinaryNumber_0100111 BinaryNumber_0100011 BinaryNumber_1000001
BinaryNumber_0000001 BinaryNumber_0100001 BinaryNumber_0101001 BinaryNumber_1000000 BinaryNumber_0110011 BinaryNumber_0111000 BinaryNumber_0111010 BinaryNumber_1001110 BinaryNumber_1011000 BinaryNumber_1001000
BinaryNumber_0100010 BinaryNumber_1001100 BinaryNumber_0010010 BinaryNumber_0010001 BinaryNumber_0001101 BinaryNumber_0100111 BinaryNumber_0100011 BinaryNumber_0111000 BinaryNumber_0010111 BinaryNumber_1010110
BinaryNumber_0110101 BinaryNumber_1010000 BinaryNumber_1010000 BinaryNumber_0100000 BinaryNumber_1011101 BinaryNumber_0101011 BinaryNumber_1011010 BinaryNumber_0111101 BinaryNumber_0100001 BinaryNumber_1000000
BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_1001110 BinaryNumber_1000001 BinaryNumber_0011001 BinaryNumber_1100010 BinaryNumber_0100001 BinaryNumber_1001100 BinaryNumber_1010010 BinaryNumber_0000000
BinaryNumber_0101001 BinaryNumber_1010000 BinaryNumber_0101101 BinaryNumber_0111111 BinaryNumber_0011101 BinaryNumber_1001001 BinaryNumber_0010011 BinaryNumber_0101101 BinaryNumber_0100110 BinaryNumber_0001011
