Goldenrod ForestGreen LightSkyBlue SkyBlue SpringGreen DarkOrange Blue DarkOliveGreen RoyalBlue MintCream
MediumSlateBlue WhiteSmoke LightSlateGray LightGray LightYellow CadetBlue Crimson RosyBrown BlueViolet DodgerBlue
MistyRose Aquamarine DimGray Gray Crimson Linen SlateBlue Aquamarine DarkOrchid MediumBlue
Salmon PaleVioletRed MediumVioletRed Maroon OrangeRed LightSeaGreen MidnightBlue PeachPuff Green Gainsboro
Aquamarine LemonChiffon DarkOrange AntiqueWhite Indigo LightSlateGray DarkOliveGreen MidnightBlue SteelBlue MediumAquamarine
GreenYellow SlateGray LightBlue MediumSpringGreen DarkViolet Brown DarkOrchid Red IndianRed MediumVioletRed
LavenderBlush DodgerBlue Aquamarine Teal Pink LightGreen PaleTurquoise Teal LightSlateGray CadetBlue
Gold SeaGreen Azure DarkOrange LightSlateGray OldLace Crimson SaddleBrown Green SandyBrown
SlateBlue MintCream Plum Cyan Orchid Lavender Sienna Thistle LightCyan MediumBlue
Ivory LightGoldenrodYellow Coral Silver MediumPurple DarkBlue Green MediumSlateBlue DarkKhaki SlateGray
LavenderBlush Fuchsia MediumSeaGreen Azure Yellow DarkSalmon LightPink CornflowerBlue DarkKhaki LightGray
trial robbery corruption law legal misdemeanor human offenses skyjack gun
guilt serial offenders safety criminal vandalism tort revenge criminal guilt
homeless war war suspense investigation abuse robbery law-breaking hijack evidence
guilt drugs hijack crime offense threats psychological violence blackmail cases
sentence massacre drugs homelessness incarceration political conspiracy punitive drama tort
bloodshed criminal story political conspiracy mafia slayings abuse guilt poison
genocide government murders suspense unsolved revenge barratry gun poverty mystery
drama rape transgression drama psychological barratry cop detective suspense police
drama crisis prison drug highjack structuralism trial guilty spy detective
sin safety homelessness serial legal abuse revenge slay arsons gang
prostitution brutality homelessness revenge law kill action conspiracy human investigation
20:10 21:52 16:16 18:36 11:43 12:53 19:48 13:10 17:25 19:35
14:11 13:50 17:10 22:53 18:21 13:36 10:27 22:50 22:35 23:11
21:50 18:28 20:48 19:42 20:48 15:25 18:36 17:46 11:20 12:28
16:53 17:42 20:28 10:51 14:45 13:37 19:17 18:42 11:20 23:23
21:26 18:18 16:37 22:42 22:12 22:37 18:46 16:39 16:22 23:58
10:54 14:14 12:44 22:39 18:35 22:25 13:34 11:53 15:58 16:18
12:59 11:14 17:13 10:55 16:27 19:10 18:42 19:16 15:29 11:36
14:50 16:44 14:59 23:29 11:36 17:28 21:53 10:38 23:22 11:23
14:56 23:22 18:40 16:45 23:23 10:34 13:18 10:29 10:53 23:42
19:13 20:35 11:31 15:33 19:44 18:15 16:14 11:47 18:40 11:55
12:56 21:35 19:43 22:49 10:26 19:55 14:33 13:51 22:42 12:28
Innerear Tendons Duodenum Liver Thalamus Thymus Earlobe Iris Analcanal Ear
Mouth Ligaments Larynx Smallintestine Penis Retina Cervix Vagina Vagina Ossicles
Ear Pons skeleton Analcanal Mouth Larynx Tongue Cerebrum Joints Middleear
Tongue Cranialnerves Spleen Bladder Smallintestine Largeintestine Eardrum Ear Duodenum Bone 
Larynx Esophagus Ganglia Stomach Tendons Trachea Duodenum Nerves Analcanal Interstitium
Ear Cerebrum Rectum Interstitium Tonsils Stomach Ligaments Spleen Stomach Cochlea
Pons Middleear Uterus Liver Larynx Penis Tonsils Outerear Stomach Smallintestine
Jejunum Innerear Cecum Bronchi Largeintestine Tongue Lungs Lungs Fallopiantubes Vulva
Cochlea Ligaments Cochlea Joints Midbrain Eye Interstitium Hypothalamus Penis Fallopiantubes
Eardrum Mesentery Hypothalamus Tonsils Outerear Lymphaticvessel Bone  Ear Joints Capillaries
Tastebuds Ligaments Ovaries Kidneys Rectum Ear Fallopiantubes Eye Placenta Brain
computerprogram screen data compatible vacuumtube algorithm microprocessor automation processor android
game data software electronics turingmachine mainframe proprietary antivirus algorithm mobile
console programming calculator software computerhardware monitor software digitalcomputer diskette imac
software supercomputer incompatible mainframe virtualreality desktoppcs electromechanical computercide camera browser
social laptopcomputer server mobiledevice dataconverter personalcomputer chip von neumann machine digital daw
hardware calculator electromechanical proprietary router xbox personalcomputer laptopcomputer router computerprogramming
