Strawberry Sapodilla Date Prune Rambutan  Kiwano Huckleberry Orange Lychee Canistel
Jostaberry Redcurrant Honeyberry Orange Kumquat Lime Orange Nectarine Acerola Strawberry
Soursop Currant Pear Salmonberry Pear Currant Akebi Feijoa Marionberry Cherry
Pear Sapote Passionfruit Peach Honeyberry Currant Sapote Blackcurrant Mangosteen Acerola
Cherimoya Prune Honeyberry Sapote Mango Salak Breadfruit Clementine Quince Passionfruit
Quince Pomelo Jackfruit Breadfruit Plum Strawberry Lime Prune Jostaberry Damson
Jackfruit Abiu Grape Salak Cherry Salmonberry Redcurrant Tamarillo Melon Araza
Açaí Tamarind Apple Orange Loquat Jackfruit Gooseberry Strawberry Sapote Jambul
Breadfruit Banana Blackcurrant Boysenberry Sapote Lychee Plantain Jujube Ximenia Cherry
Cranberry Grapefruit Kiwano Kumquat Raspberry Blackcurrant Peach Mandarine Currant Jostaberry
Currant Apple Boysenberry Mango Mangosteen Peach Sapote Rambutan  Cherry Ximenia
BinaryNumber_0111010 BinaryNumber_0111111 BinaryNumber_1100011 BinaryNumber_0111000 BinaryNumber_0000011 BinaryNumber_0101110 BinaryNumber_0111101 BinaryNumber_0010110 BinaryNumber_0110101 BinaryNumber_0001110
BinaryNumber_1001110 BinaryNumber_0110010 BinaryNumber_0000111 BinaryNumber_0100100 BinaryNumber_0101001 BinaryNumber_0111111 BinaryNumber_1000110 BinaryNumber_1001110 BinaryNumber_0000101 BinaryNumber_1010110
BinaryNumber_0011010 BinaryNumber_1010001 BinaryNumber_1010000 BinaryNumber_0101100 BinaryNumber_1001100 BinaryNumber_1000001 BinaryNumber_0010011 BinaryNumber_0101100 BinaryNumber_0110100 BinaryNumber_1001100
BinaryNumber_1010000 BinaryNumber_0000100 BinaryNumber_0001101 BinaryNumber_0011001 BinaryNumber_1010000 BinaryNumber_0100111 BinaryNumber_1000111 BinaryNumber_0000110 BinaryNumber_1100010 BinaryNumber_0010001
BinaryNumber_0101000 BinaryNumber_0001111 BinaryNumber_1001011 BinaryNumber_0011010 BinaryNumber_0001110 BinaryNumber_1001101 BinaryNumber_0001111 BinaryNumber_1001000 BinaryNumber_0101100 BinaryNumber_0101011
