LightCyan Goldenrod Green Honeydew PaleTurquoise CornflowerBlue Sienna Gold Chartreuse Fuchsia
Honeydew Ivory MediumTurquoise Seashell Tomato SlateGray Moccasin Chocolate LightGoldenrod DarkBlue
Red Coral LawnGreen RoyalBlue CornflowerBlue SpringGreen Red MediumTurquoise LightGoldenrod Tomato
LimeGreen LightCoral Tan PaleGreen BlanchedAlmond LightSteelBlue MediumPurple Khaki MediumAquamarine Khaki
SlateGray SandyBrown Linen Maroon DimGray LightGoldenrod Chocolate RosyBrown LavenderBlush Ivory
LimeGreen BlueViolet SeaGreen MediumPurple Tan Gainsboro LightYellow Orange AliceBlue LemonChiffon
OliveDrab SpringGreen Chocolate Lavender Feldspar LightSteelBlue RosyBrown LightSlateBlue LimeGreen Beige
Olive GhostWhite MediumVioletRed AntiqueWhite Lime DarkCyan LimeGreen OrangeRed Sienna LightBlue
Plum LightPink MintCream Burlywood SeaGreen OldLace DarkOrchid Tomato DarkOrchid Maroon
DarkRed Ivory Gold LightCoral SlateBlue NavajoWhite PowderBlue DarkRed GreenYellow Coral
Lavender CadetBlue Chocolate ForestGreen Beige DarkTurquoise Gray GreenYellow DarkOrange DarkGoldenrod
BinaryNumber_0000100 BinaryNumber_0110101 BinaryNumber_1000010 BinaryNumber_1011101 BinaryNumber_0000010 BinaryNumber_0001101 BinaryNumber_0110101 BinaryNumber_1011010 BinaryNumber_0111000 BinaryNumber_0010000
BinaryNumber_1001100 BinaryNumber_1000111 BinaryNumber_1010000 BinaryNumber_0100001 BinaryNumber_1000011 BinaryNumber_0111011 BinaryNumber_1010110 BinaryNumber_0101101 BinaryNumber_1000110 BinaryNumber_0001001
BinaryNumber_0010001 BinaryNumber_0010011 BinaryNumber_0110101 BinaryNumber_0001101 BinaryNumber_1100000 BinaryNumber_1011000 BinaryNumber_0100011 BinaryNumber_1000011 BinaryNumber_0010110 BinaryNumber_1000011
BinaryNumber_1001111 BinaryNumber_0000010 BinaryNumber_0011111 BinaryNumber_0110011 BinaryNumber_1100010 BinaryNumber_1011001 BinaryNumber_0011110 BinaryNumber_0111011 BinaryNumber_0001100 BinaryNumber_0000010
BinaryNumber_0011011 BinaryNumber_1001011 BinaryNumber_1010011 BinaryNumber_0110000 BinaryNumber_1001010 BinaryNumber_0101110 BinaryNumber_0011000 BinaryNumber_0001011 BinaryNumber_0110101 BinaryNumber_1011011
BinaryNumber_0000111 BinaryNumber_0100001 BinaryNumber_0010001 BinaryNumber_0101100 BinaryNumber_0010001 BinaryNumber_0000111 BinaryNumber_1010100 BinaryNumber_0001011 BinaryNumber_1001100 BinaryNumber_1010100
BinaryNumber_0010001 BinaryNumber_0011010 BinaryNumber_1000011 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_0001110 BinaryNumber_1010111 BinaryNumber_0100110 BinaryNumber_0010000 BinaryNumber_1000100
BinaryNumber_0111101 BinaryNumber_0010000 BinaryNumber_0111011 BinaryNumber_0011101 BinaryNumber_0110100 BinaryNumber_0011000 BinaryNumber_0111101 BinaryNumber_0111110 BinaryNumber_1000010 BinaryNumber_1001011
BinaryNumber_1010011 BinaryNumber_0000110 BinaryNumber_0000110 BinaryNumber_1000010 BinaryNumber_0010100 BinaryNumber_0011010 BinaryNumber_1000100 BinaryNumber_0001100 BinaryNumber_0010001 BinaryNumber_0000001
