Olive Orange Firebrick LightGoldenrod PeachPuff DarkTurquoise SlateGray AliceBlue DimGray Gray
IndianRed LightGreen Peru BlueViolet LightGreen SteelBlue LightYellow WhiteSmoke Navy OliveDrab
DarkSlateGray GreenYellow MediumSpringGreen GreenYellow LawnGreen MediumTurquoise SteelBlue DarkBlue SpringGreen Crimson
Feldspar LemonChiffon Peru CornflowerBlue LightSkyBlue DeepPink BlueViolet Coral OliveDrab OrangeRed
DarkViolet Olive Silver SandyBrown DarkViolet LightSteelBlue LightSlateBlue SandyBrown FloralWhite Orchid
CornflowerBlue Goldenrod Blue MediumSlateBlue Ivory LightGoldenrod Thistle Khaki Moccasin OrangeRed
Chartreuse Brown LawnGreen SlateBlue OliveDrab DarkGray GreenYellow Honeydew Burlywood PapayaWhip
VioletRed LightSalmon Snow OldLace LightSkyBlue Purple PaleVioletRed Cornsilk AntiqueWhite Crimson
HotPink White SandyBrown IndianRed MintCream SteelBlue Gold DarkOliveGreen Navy Goldenrod
Gainsboro FloralWhite LightPink Turquoise RoyalBlue Teal LightPink Orchid Purple Snow
DeepPink OldLace LightYellow MistyRose Lime Green Fuchsia Salmon Orchid LightSlateBlue
BinaryNumber_0011100 BinaryNumber_0111000 BinaryNumber_0110110 BinaryNumber_1000111 BinaryNumber_0100001 BinaryNumber_1001001 BinaryNumber_1000101 BinaryNumber_1001111 BinaryNumber_1100011 BinaryNumber_0011110
BinaryNumber_0110011 BinaryNumber_0111000 BinaryNumber_0000101 BinaryNumber_1000001 BinaryNumber_1010101 BinaryNumber_1010110 BinaryNumber_0011000 BinaryNumber_1001010 BinaryNumber_0010111 BinaryNumber_1010111
BinaryNumber_1010110 BinaryNumber_1010100 BinaryNumber_0110101 BinaryNumber_0011011 BinaryNumber_0001001 BinaryNumber_0110110 BinaryNumber_0011111 BinaryNumber_0001010 BinaryNumber_0001100 BinaryNumber_1000111
BinaryNumber_1001001 BinaryNumber_0110001 BinaryNumber_0100101 BinaryNumber_0000010 BinaryNumber_0111001 BinaryNumber_0110101 BinaryNumber_0111100 BinaryNumber_1000110 BinaryNumber_1011111 BinaryNumber_0110001
BinaryNumber_1010011 BinaryNumber_1100010 BinaryNumber_0011111 BinaryNumber_0001011 BinaryNumber_0110010 BinaryNumber_0011011 BinaryNumber_0011001 BinaryNumber_0001101 BinaryNumber_0011000 BinaryNumber_1001001
BinaryNumber_0110110 BinaryNumber_0100111 BinaryNumber_0011110 BinaryNumber_1010110 BinaryNumber_1100001 BinaryNumber_1001011 BinaryNumber_1011000 BinaryNumber_0110101 BinaryNumber_0111001 BinaryNumber_1000000
BinaryNumber_0001110 BinaryNumber_0010100 BinaryNumber_0101101 BinaryNumber_0101100 BinaryNumber_0101110 BinaryNumber_0101100 BinaryNumber_0000011 BinaryNumber_1001110 BinaryNumber_0001111 BinaryNumber_1001001
BinaryNumber_1010101 BinaryNumber_1010110 BinaryNumber_0010011 BinaryNumber_0000100 BinaryNumber_0001100 BinaryNumber_0010110 BinaryNumber_1000100 BinaryNumber_0110111 BinaryNumber_1011011 BinaryNumber_0101001
