uptight old-fashioned annoying jittery obedient brave fine careful angry sleepy
putrid cute doubtful fierce defiant rich witty dangerous glamorous difficult
crowded annoying wicked shy combative inquisitive defeated ugliest condemned homeless
dull thankful jealous splendid calm lucky inquisitive awful poised scary
amused joyous comfortable thoughtful blue-eyed silly motionless grotesque successful selfish
mysterious beautiful elated zany condemned relieved annoyed innocent beautiful long
graceful cooperative agreeable light cute grumpy alert thankful foolish comfortable
creepy open scary dull wide-eyed bright stormy proud doubtful concerned
terrible tender ill dizzy old-fashioned long victorious innocent dizzy sparkling
naughty gorgeous super wandering easy tense glorious outstanding modern distinct
crazy tense selfish breakable excited plain worried cooperative jolly pleasant
temperature__31c temperature__69c temperature__27c temperature__26c temperature__69c temperature__35c temperature__3c temperature__108c temperature__23c temperature__39c
temperature__52c temperature__28c temperature__52c temperature__39c temperature__88c temperature__118c temperature__61c temperature__28c temperature__95c temperature__92c
temperature__12c temperature__119c temperature__42c temperature__61c temperature__30c temperature__84c temperature__116c temperature__28c temperature__93c temperature__131c
temperature__69c temperature__145c temperature__84c temperature__120c temperature__63c temperature__111c temperature__33c temperature__26c temperature__16c temperature__22c
temperature__50c temperature__148c temperature__64c temperature__30c temperature__146c temperature__21c temperature__123c temperature__57c temperature__57c temperature__145c
temperature__22c temperature__69c temperature__50c temperature__147c temperature__30c temperature__23c temperature__10c temperature__41c temperature__146c temperature__93c
temperature__14c temperature__84c temperature__23c temperature__36c temperature__40c temperature__2c temperature__5c temperature__73c temperature__50c temperature__141c
temperature__82c temperature__111c temperature__16c temperature__140c temperature__124c temperature__87c temperature__7c temperature__33c temperature__142c temperature__84c
temperature__21c temperature__148c temperature__10c temperature__136c temperature__69c temperature__109c temperature__111c temperature__36c temperature__147c temperature__132c
temperature__12c temperature__24c temperature__23c temperature__63c temperature__36c temperature__131c temperature__65c temperature__69c temperature__71c temperature__46c
temperature__63c temperature__79c temperature__73c temperature__8c temperature__12c temperature__52c temperature__10c temperature__132c temperature__58c temperature__69c
IndianRed PaleVioletRed Crimson Snow DarkCyan DodgerBlue Black Lavender White WhiteSmoke
PaleGreen DarkViolet Blue Purple IndianRed SeaGreen Turquoise Azure LightGoldenrodYellow Burlywood
Tomato Orange PaleTurquoise DarkCyan AntiqueWhite Coral RoyalBlue DarkSlateGray VioletRed DarkTurquoise
Blue DodgerBlue Indigo SkyBlue PaleVioletRed Azure SpringGreen PaleGoldenrod CadetBlue Crimson
HotPink Green LightGray DarkGoldenrod AntiqueWhite DarkKhaki DeepPink CornflowerBlue Lime MintCream
LightYellow Azure IndianRed DarkTurquoise SlateBlue Ivory Aquamarine MediumAquamarine RosyBrown DimGray
DarkCyan Firebrick Burlywood MintCream PeachPuff Orchid LightCyan MediumSeaGreen SlateBlue MediumSlateBlue
LightGray Coral White DarkGray Tan LightYellow SteelBlue MidnightBlue FloralWhite Azure
Crimson Indigo LightSlateGray MediumAquamarine MistyRose DeepPink Tomato OliveDrab Teal IndianRed
IndianRed Lime Red Chocolate CornflowerBlue DarkOrchid LimeGreen VioletRed SlateBlue Sienna
MediumOrchid LightSteelBlue PapayaWhip SeaGreen LightSteelBlue DarkOrchid Firebrick LightYellow AntiqueWhite LimeGreen
BinaryNumber_0011110 BinaryNumber_1011000 BinaryNumber_0010100 BinaryNumber_1010000 BinaryNumber_0010111 BinaryNumber_0111011 BinaryNumber_0010110 BinaryNumber_1001010 BinaryNumber_0001010 BinaryNumber_0101100
BinaryNumber_0011101 BinaryNumber_0001110 BinaryNumber_1011011 BinaryNumber_1000001 BinaryNumber_0100010 BinaryNumber_0010111 BinaryNumber_1010010 BinaryNumber_0001011 BinaryNumber_0111000 BinaryNumber_0010110
BinaryNumber_0001101 BinaryNumber_0100000 BinaryNumber_0011000 BinaryNumber_0000000 BinaryNumber_0001001 BinaryNumber_0111111 BinaryNumber_1100001 BinaryNumber_0000010 BinaryNumber_0010010 BinaryNumber_0000011
BinaryNumber_0111110 BinaryNumber_1001110 BinaryNumber_1011001 BinaryNumber_0000101 BinaryNumber_1011010 BinaryNumber_0110100 BinaryNumber_1001110 BinaryNumber_0011000 BinaryNumber_0000100 BinaryNumber_1000110
BinaryNumber_1000110 BinaryNumber_1001111 BinaryNumber_1011101 BinaryNumber_0110010 BinaryNumber_0101010 BinaryNumber_0100110 BinaryNumber_0110011 BinaryNumber_1010110 BinaryNumber_0000101 BinaryNumber_0111101
BinaryNumber_0011000 BinaryNumber_0101000 BinaryNumber_1100010 BinaryNumber_0100010 BinaryNumber_1001010 BinaryNumber_1010110 BinaryNumber_0001110 BinaryNumber_0010111 BinaryNumber_1001000 BinaryNumber_0001100
BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_0011100 BinaryNumber_1000100 BinaryNumber_1001010 BinaryNumber_0011101 BinaryNumber_1010010 BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_1010101
