DarkViolet LemonChiffon DarkGoldenrod Firebrick MediumVioletRed MediumBlue DarkOliveGreen VioletRed SaddleBrown Pink
SlateGray SeaGreen PaleGreen Beige DodgerBlue SkyBlue WhiteSmoke Sienna DarkViolet Bisque
Chocolate Orchid Chocolate DarkCyan Turquoise DarkSlateBlue AliceBlue Ivory LightYellow Chocolate
Snow DarkSeaGreen MediumVioletRed LightSlateBlue Moccasin SaddleBrown IndianRed Yellow PaleGreen Moccasin
DarkSlateGray SkyBlue DimGray White LightGray DarkSalmon AliceBlue LightSeaGreen MediumAquamarine LightCyan
LightSlateBlue LightSlateGray Peru PapayaWhip Green Sienna BlueViolet Gold PowderBlue DarkOliveGreen
LightPink DarkSlateGray LightGreen MediumTurquoise LightGoldenrodYellow LightGoldenrod SaddleBrown LawnGreen Honeydew MediumSeaGreen
FloralWhite PaleVioletRed Black LightYellow DarkSeaGreen LightYellow Thistle Chartreuse Teal Red
LightSteelBlue NavajoWhite BlueViolet Gainsboro LawnGreen Red Olive LavenderBlush DarkTurquoise DeepPink
MintCream Bisque DarkOrange PowderBlue PeachPuff Green PeachPuff Bisque Silver PapayaWhip
LightSlateBlue Tomato LightCyan Honeydew BlueViolet MistyRose Beige LightCoral Gainsboro LightSlateBlue
temperature__56c temperature__116c temperature__51c temperature__92c temperature__5c temperature__140c temperature__130c temperature__63c temperature__82c temperature__31c
temperature__73c temperature__129c temperature__78c temperature__79c temperature__35c temperature__120c temperature__69c temperature__34c temperature__39c temperature__82c
temperature__142c temperature__52c temperature__21c temperature__71c temperature__49c temperature__17c temperature__10c temperature__82c temperature__5c temperature__47c
temperature__2c temperature__53c temperature__40c temperature__123c temperature__91c temperature__111c temperature__84c temperature__64c temperature__51c temperature__95c
temperature__54c temperature__12c temperature__22c temperature__91c temperature__98c temperature__34c temperature__123c temperature__64c temperature__106c temperature__74c
temperature__40c temperature__63c temperature__100c temperature__61c temperature__58c temperature__146c temperature__70c temperature__132c temperature__122c temperature__139c
temperature__68c temperature__27c temperature__69c temperature__144c temperature__142c temperature__40c temperature__138c temperature__3c temperature__7c temperature__50c
temperature__21c temperature__124c temperature__56c temperature__26c temperature__87c temperature__24c temperature__61c temperature__14c temperature__130c temperature__63c
temperature__26c temperature__12c temperature__50c temperature__141c temperature__144c temperature__71c temperature__141c temperature__139c temperature__44c temperature__119c
temperature__10c temperature__93c temperature__148c temperature__42c temperature__40c temperature__23c temperature__41c temperature__87c temperature__77c temperature__91c
temperature__105c temperature__5c temperature__87c temperature__88c temperature__116c temperature__73c temperature__16c temperature__77c temperature__41c temperature__59c
CubeNumber_29791 CubeNumber_216000 CubeNumber_857375 CubeNumber_571787 CubeNumber_614125 CubeNumber_50653 CubeNumber_8000 CubeNumber_1000 CubeNumber_300763 CubeNumber_636056
CubeNumber_64000 CubeNumber_166375 CubeNumber_19683 CubeNumber_85184 CubeNumber_226981 CubeNumber_157464 CubeNumber_42875 CubeNumber_1331 CubeNumber_226981 CubeNumber_314432
CubeNumber_512 CubeNumber_32768 CubeNumber_185193 CubeNumber_216 CubeNumber_343000 CubeNumber_117649 CubeNumber_238328 CubeNumber_54872 CubeNumber_729000 CubeNumber_125000
CubeNumber_27 CubeNumber_493039 CubeNumber_729 CubeNumber_3375 CubeNumber_512000 CubeNumber_884736 CubeNumber_274625 CubeNumber_4913 CubeNumber_15625 CubeNumber_5832
CubeNumber_438976 CubeNumber_27 CubeNumber_117649 CubeNumber_729 CubeNumber_216000 CubeNumber_1728 CubeNumber_804357 CubeNumber_5832 CubeNumber_166375 CubeNumber_226981
CubeNumber_729000 CubeNumber_97336 CubeNumber_438976 CubeNumber_238328 CubeNumber_19683 CubeNumber_157464 CubeNumber_729 CubeNumber_941192 CubeNumber_46656 CubeNumber_175616
CubeNumber_185193 CubeNumber_493039 CubeNumber_238328 CubeNumber_117649 CubeNumber_2197 CubeNumber_110592 CubeNumber_125 CubeNumber_636056 CubeNumber_64000 CubeNumber_35937
CubeNumber_4096 CubeNumber_24389 CubeNumber_343 CubeNumber_32768 CubeNumber_636056 CubeNumber_9261 CubeNumber_125000 CubeNumber_1000 CubeNumber_300763 CubeNumber_205379
CubeNumber_592704 CubeNumber_1000 CubeNumber_262144 CubeNumber_262144 CubeNumber_50653 CubeNumber_85184 CubeNumber_912673 CubeNumber_68921 CubeNumber_216000 CubeNumber_166375
CubeNumber_42875 CubeNumber_12167 CubeNumber_1728 CubeNumber_614125 CubeNumber_10648 CubeNumber_405224 CubeNumber_185193 CubeNumber_405224 CubeNumber_551368 CubeNumber_226981
CubeNumber_175616 CubeNumber_729 CubeNumber_804357 CubeNumber_912673 CubeNumber_636056 CubeNumber_110592 CubeNumber_91125 CubeNumber_15625 CubeNumber_238328 CubeNumber_512
23:26 20:25 14:43 12:34 19:57 14:51 15:47 22:42 17:50 15:27
15:43 11:29 13:37 11:50 11:50 13:54 15:56 23:18 16:36 16:29
15:23 13:51 16:26 12:39 14:15 20:46 18:15 21:52 23:57 12:37
22:49 22:27 22:19 22:46 16:11 17:36 19:30 13:11 16:16 16:38
