Fuchsia LightCyan Red White SpringGreen MediumSeaGreen RosyBrown Indigo LightSlateBlue Burlywood
LawnGreen Chocolate DarkFuchsia MediumSpringGreen Seashell MediumOrchid LemonChiffon DarkOliveGreen DarkGray LightYellow
LightYellow Beige MediumBlue MediumOrchid DarkSalmon Maroon Firebrick Gainsboro LightPink SandyBrown
Sienna DeepSkyBlue LightBlue MediumVioletRed PowderBlue Gray MistyRose DeepPink Burlywood GreenYellow
Tomato Silver LightSalmon DarkSlateBlue MediumBlue MediumOrchid SlateBlue Burlywood ForestGreen Chocolate
Feldspar MediumBlue OldLace OliveDrab Aquamarine Ivory Brown DarkSalmon LemonChiffon Honeydew
DarkKhaki IndianRed OrangeRed LightGray NavajoWhite DarkGreen DarkBlue OldLace Violet VioletRed
MediumVioletRed SandyBrown HotPink AliceBlue SaddleBrown DarkKhaki SaddleBrown Peru AliceBlue MediumSpringGreen
Cyan BlueViolet Crimson DarkGreen DodgerBlue Linen DarkFuchsia Tomato DarkBlue Khaki
Sienna DarkOrange Navy Ivory Silver HotPink LightGoldenrodYellow Tomato Honeydew Thistle
SeaGreen PaleGoldenrod Plum Chocolate Thistle DarkTurquoise WhiteSmoke PaleTurquoise PowderBlue CornflowerBlue
BinaryNumber_0101101 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_1100001 BinaryNumber_0000101 BinaryNumber_0110001 BinaryNumber_0010011 BinaryNumber_0001011 BinaryNumber_1011100 BinaryNumber_1000111
BinaryNumber_0111101 BinaryNumber_0000010 BinaryNumber_1011110 BinaryNumber_0101000 BinaryNumber_1001010 BinaryNumber_0100100 BinaryNumber_0111111 BinaryNumber_1000010 BinaryNumber_0100110 BinaryNumber_1100011
BinaryNumber_0010110 BinaryNumber_0010101 BinaryNumber_1100001 BinaryNumber_0101110 BinaryNumber_1010011 BinaryNumber_1001010 BinaryNumber_0101101 BinaryNumber_1010111 BinaryNumber_0000110 BinaryNumber_0110110
BinaryNumber_0000001 BinaryNumber_0000001 BinaryNumber_0101010 BinaryNumber_0011100 BinaryNumber_1000000 BinaryNumber_0011000 BinaryNumber_0001001 BinaryNumber_0111001 BinaryNumber_0111010 BinaryNumber_0000011
BinaryNumber_1001010 BinaryNumber_0110011 BinaryNumber_0100000 BinaryNumber_1001010 BinaryNumber_1010001 BinaryNumber_1001100 BinaryNumber_0101111 BinaryNumber_0011000 BinaryNumber_1000110 BinaryNumber_0111111
BinaryNumber_0011111 BinaryNumber_0101010 BinaryNumber_0111100 BinaryNumber_0111110 BinaryNumber_0100111 BinaryNumber_1010100 BinaryNumber_1010111 BinaryNumber_1001010 BinaryNumber_1011000 BinaryNumber_1010111
BinaryNumber_1001000 BinaryNumber_1011100 BinaryNumber_0001101 BinaryNumber_0110100 BinaryNumber_1011000 BinaryNumber_1011010 BinaryNumber_0010010 BinaryNumber_1010000 BinaryNumber_0111100 BinaryNumber_1001010
BinaryNumber_0111110 BinaryNumber_0001101 BinaryNumber_0111111 BinaryNumber_0000001 BinaryNumber_0101101 BinaryNumber_0100100 BinaryNumber_0011100 BinaryNumber_0011010 BinaryNumber_0011110 BinaryNumber_0010011
BinaryNumber_0101110 BinaryNumber_0111111 BinaryNumber_1001111 BinaryNumber_0000101 BinaryNumber_0101101 BinaryNumber_0000101 BinaryNumber_0010010 BinaryNumber_0111100 BinaryNumber_0001111 BinaryNumber_1100000
BinaryNumber_0011000 BinaryNumber_1011010 BinaryNumber_1001010 BinaryNumber_0001101 BinaryNumber_1001101 BinaryNumber_0011010 BinaryNumber_0000100 BinaryNumber_0001100 BinaryNumber_0101011 BinaryNumber_0100001
BinaryNumber_1000101 BinaryNumber_0110100 BinaryNumber_0100110 BinaryNumber_0001100 BinaryNumber_0111111 BinaryNumber_0000101 BinaryNumber_1100011 BinaryNumber_0011001 BinaryNumber_0111000 BinaryNumber_0110100
temperature__70c temperature__5c temperature__70c temperature__92c temperature__73c temperature__27c temperature__126c temperature__16c temperature__142c temperature__6c
temperature__24c temperature__111c temperature__47c temperature__100c temperature__130c temperature__79c temperature__0c temperature__119c temperature__14c temperature__138c
temperature__146c temperature__138c temperature__126c temperature__108c temperature__0c temperature__58c temperature__73c temperature__53c temperature__139c temperature__36c
temperature__98c temperature__92c temperature__109c temperature__124c temperature__30c temperature__27c temperature__42c temperature__71c temperature__44c temperature__71c
temperature__56c temperature__10c temperature__10c temperature__39c temperature__148c temperature__100c temperature__111c temperature__136c temperature__112c temperature__129c
temperature__42c temperature__47c temperature__6c temperature__52c temperature__44c temperature__148c temperature__23c temperature__111c temperature__44c temperature__65c
temperature__79c temperature__70c temperature__126c temperature__22c temperature__148c temperature__26c temperature__71c temperature__4c temperature__74c temperature__63c
temperature__6c temperature__65c temperature__106c temperature__41c temperature__24c temperature__129c temperature__105c temperature__23c temperature__12c temperature__82c
temperature__8c temperature__28c temperature__34c temperature__44c temperature__5c temperature__91c temperature__105c temperature__139c temperature__111c temperature__126c
temperature__93c temperature__116c temperature__91c temperature__65c temperature__124c temperature__100c temperature__57c temperature__130c temperature__53c temperature__69c
temperature__73c temperature__2c temperature__108c temperature__136c temperature__132c temperature__4c temperature__90c temperature__109c temperature__24c temperature__142c
Guava Raisin Coconut Avocado Currant Apple Tamarillo Apple Feijoa Persimmon
Boysenberry Redcurrant Acerola Acerola Cherry Durian Mangosteen Nance Kiwifruit Ackee
Mangosteen Tangerine Cempedak Pineapple Longan Tamarind Nectarine Pear Blackcurrant Mango
Blackcurrant Salmonberry Sapodilla Cherry Cloudberry Tangerine Akebi Elderberry Jambul Feijoa
Salak Plumcot Huckleberry Banana Raspberry Yuzu Nectarine Pawpaw Persimmon Nectarine
Tamarillo Clementine Orange Mulberry Pineapple Tangelo Pineberry Cherimoya Persimmon Cashew
Longan Pear Mandarine Quince Elderberry Loquat Currant Jostaberry Honeydew Grape
Cantaloupe Pomelo Plum Plantain Acerola Pineberry Papaya Mulberry Pawpaw Cherimoya
Satsuma Loquat Blackberry Satsuma Sapodilla Blueberry Nectarine Cantaloupe Feijoa Acerola
Cherry Sapodilla Cloudberry Fig Passionfruit Passionfruit Jambul Coconut Akebi Lemon
Fig Jambul Kiwano Boysenberry Guava Melon Apple Grape Yuzu Loganberry
Pillow Chair Cabinet Bookcase Mattress Regency Highchair Cupboard Furniture Headboard
Footrest Sofabed Mattress Throne Lintel Wicker Bentwood Stool Frieze Baroque
