Ackee Bilberry Papaya Gooseberry Cherimoya Melon Yuzu Kumquat Salmonberry Jujube
Currant Longan Melon Passionfruit Honeyberry Tamarind Pineberry Watermelon Marionberry Plum
Kiwifruit Date Mango Ackee Plantain Lychee Orange Tangelo Loquat Cranberry
Salmonberry Grape Clementine Loganberry Mandarine Prune Currant Gooseberry Mangosteen Tayberry
Blackberry Grapefruit Plum Quince Cempedak Apple Cashew Passionfruit Cherry Sapodilla
Jambul Salmonberry Cherimoya Persimmon Tayberry Bilberry Date Araza Raisin Marionberry
Passionfruit Pomegranate Plum Satsuma Gooseberry Jackfruit Canistel Canistel Mandarine Sapodilla
Nance Nance Cherimoya Abiu Blackberry Cempedak Strawberry Lemon Jujube Sapote
Prune Salak Clementine Huckleberry Marionberry Lemon Blackcurrant Quince Strawberry Blackberry
Cherimoya Jackfruit Araza Jostaberry Cherry Cantaloupe Currant Honeydew Plantain Lychee
Mandarine Pomelo Peach Mango Coconut Prune Plum Sapodilla Persimmon Tayberry
BinaryNumber_0100110 BinaryNumber_0000101 BinaryNumber_1010100 BinaryNumber_0100100 BinaryNumber_0000000 BinaryNumber_0110110 BinaryNumber_0000110 BinaryNumber_0001111 BinaryNumber_1011110 BinaryNumber_0001010
BinaryNumber_0011100 BinaryNumber_1011000 BinaryNumber_1100001 BinaryNumber_1011111 BinaryNumber_0111001 BinaryNumber_1010110 BinaryNumber_0111111 BinaryNumber_0110011 BinaryNumber_1011111 BinaryNumber_1001110
BinaryNumber_1001101 BinaryNumber_1001100 BinaryNumber_0010011 BinaryNumber_0001011 BinaryNumber_0110010 BinaryNumber_1011101 BinaryNumber_0100001 BinaryNumber_0100010 BinaryNumber_0001111 BinaryNumber_1011110
BinaryNumber_0100011 BinaryNumber_0000010 BinaryNumber_1011100 BinaryNumber_1010100 BinaryNumber_0111111 BinaryNumber_0011011 BinaryNumber_0111111 BinaryNumber_0001010 BinaryNumber_1100000 BinaryNumber_0001100
BinaryNumber_0101000 BinaryNumber_1010000 BinaryNumber_0001100 BinaryNumber_0000011 BinaryNumber_1010001 BinaryNumber_0111010 BinaryNumber_1011111 BinaryNumber_0111001 BinaryNumber_0101010 BinaryNumber_1011111
BinaryNumber_1010011 BinaryNumber_0100101 BinaryNumber_0000000 BinaryNumber_0011010 BinaryNumber_1001001 BinaryNumber_0100001 BinaryNumber_0101001 BinaryNumber_1011100 BinaryNumber_1010111 BinaryNumber_0111010
BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_0111110 BinaryNumber_0111011 BinaryNumber_0111111 BinaryNumber_0110100 BinaryNumber_0011010 BinaryNumber_0101001 BinaryNumber_1000111 BinaryNumber_1000100
BinaryNumber_0111100 BinaryNumber_0011001 BinaryNumber_1100000 BinaryNumber_0001111 BinaryNumber_0001110 BinaryNumber_0101010 BinaryNumber_0110100 BinaryNumber_0111100 BinaryNumber_1011101 BinaryNumber_0111001
BinaryNumber_1001110 BinaryNumber_0010111 BinaryNumber_0000011 BinaryNumber_0010111 BinaryNumber_0101111 BinaryNumber_1011001 BinaryNumber_1011000 BinaryNumber_0010010 BinaryNumber_1011111 BinaryNumber_1010010
BinaryNumber_0110100 BinaryNumber_1001110 BinaryNumber_1000011 BinaryNumber_1011000 BinaryNumber_1011001 BinaryNumber_0000101 BinaryNumber_1000001 BinaryNumber_0010011 BinaryNumber_0000001 BinaryNumber_1010000
BinaryNumber_1000001 BinaryNumber_0000111 BinaryNumber_1011000 BinaryNumber_0101000 BinaryNumber_1011101 BinaryNumber_0101101 BinaryNumber_1001111 BinaryNumber_0100010 BinaryNumber_0001001 BinaryNumber_0111001
temperature__73c temperature__82c temperature__44c temperature__123c temperature__119c temperature__145c temperature__137c temperature__84c temperature__17c temperature__141c
