dull impossible delightful attractive jealous amused annoyed courageous outrageous clean
cooperative courageous frantic poised agreeable glamorous putrid lonely crowded elated
adventurous upset doubtful agreeable alert helpful sore clumsy annoying curious
fine dangerous uptight homeless disgusted calm faithful gorgeous zealous envious
uptight smiling wide-eyed adorable muddy fierce calm brainy dizzy thoughtful
zany frail tense innocent funny vivacious proud defeated thoughtful spotless
repulsive dull brainy determined mushy combative worrisome gorgeous nasty elegant
easy worrisome distinct doubtful dark fragile drab inexpensive defiant nice
bright fragile tasty different smiling better evil better brave crazy
gleaming nice dangerous itchy zealous smoggy grotesque fierce disturbed calm
enchanting sore dizzy inquisitive inexpensive annoying powerful doubtful bored healthy
BinaryNumber_0101011 BinaryNumber_0100010 BinaryNumber_0001011 BinaryNumber_0101111 BinaryNumber_1000010 BinaryNumber_0111111 BinaryNumber_1011001 BinaryNumber_1010111 BinaryNumber_0001101 BinaryNumber_0011110
BinaryNumber_0000011 BinaryNumber_0000001 BinaryNumber_0100001 BinaryNumber_0010010 BinaryNumber_1001101 BinaryNumber_1000101 BinaryNumber_0011100 BinaryNumber_1100000 BinaryNumber_0010010 BinaryNumber_1011011
BinaryNumber_1000100 BinaryNumber_1010100 BinaryNumber_0010010 BinaryNumber_1000100 BinaryNumber_1010110 BinaryNumber_0100110 BinaryNumber_0000011 BinaryNumber_0111010 BinaryNumber_0011001 BinaryNumber_0100101
BinaryNumber_0001000 BinaryNumber_0001111 BinaryNumber_0100111 BinaryNumber_0101100 BinaryNumber_1100010 BinaryNumber_1001001 BinaryNumber_1010000 BinaryNumber_0001011 BinaryNumber_0000000 BinaryNumber_1000000
BinaryNumber_1010111 BinaryNumber_0000101 BinaryNumber_1010001 BinaryNumber_0101001 BinaryNumber_0110010 BinaryNumber_0111111 BinaryNumber_0100111 BinaryNumber_0011010 BinaryNumber_0001101 BinaryNumber_1001011
BinaryNumber_0010110 BinaryNumber_0011010 BinaryNumber_0011101 BinaryNumber_0011110 BinaryNumber_1011101 BinaryNumber_1100010 BinaryNumber_0100101 BinaryNumber_0101010 BinaryNumber_1100000 BinaryNumber_0000111
BinaryNumber_0100010 BinaryNumber_0110101 BinaryNumber_1001111 BinaryNumber_0111110 BinaryNumber_0101011 BinaryNumber_1011010 BinaryNumber_0110110 BinaryNumber_0111110 BinaryNumber_1000111 BinaryNumber_1011101
