long clumsy kind defeated charming perfect confused gentle smiling zany
brainy colorful anxious energetic courageous bored embarrassed energetic ashamed vivacious
light expensive joyous light horrible relieved weary nasty weary determined
drab dark blue shiny fancy troubled blue strange difficult smoggy
nice eager clever ill disgusted sleepy mysterious handsome wrong friendly
bored frantic grumpy creepy clever panicky weary depressed brainy brave
dizzy eager elated perfect encouraging graceful bewildered annoyed clumsy ugly
anxious lonely thoughtless thankful helpless zany delightful fair easy grumpy
obedient frantic cooperative grieving outrageous hungry dizzy concerned jittery attractive
bad plain hurt dead upset outstanding wicked terrible happy fair
curious proud gentle envious spotless fierce ugliest condemned dangerous embarrassed
Cornsilk Teal Olive Yellow Indigo LightSalmon Salmon GhostWhite Tan OrangeRed
Lime Orchid PapayaWhip SteelBlue Coral Firebrick Yellow LightGreen DimGray DarkOliveGreen
Salmon Gold LightCoral LightGoldenrodYellow DimGray LightGoldenrod Sienna LightCyan OldLace FloralWhite
Fuchsia MediumOrchid Tan Gold DarkOliveGreen GhostWhite Silver LawnGreen MediumSpringGreen Maroon
Burlywood GhostWhite Orchid GhostWhite LightSeaGreen GhostWhite SlateBlue Yellow MintCream PowderBlue
BlanchedAlmond LemonChiffon AntiqueWhite Purple MediumOrchid DarkFuchsia DarkGoldenrod Gray Chocolate Feldspar
MediumOrchid DarkSeaGreen MediumVioletRed DarkTurquoise MediumAquamarine Black Lime DimGray DarkCyan Olive
DarkGray LightPink Teal CornflowerBlue Wheat Salmon SeaGreen LightCoral FloralWhite Seashell
Honeydew LightCoral Gainsboro AntiqueWhite Moccasin MediumPurple PaleGreen DeepPink Linen PapayaWhip
Purple SkyBlue Thistle Maroon LightSkyBlue Maroon DarkSeaGreen MediumBlue DarkRed Aquamarine
DarkKhaki DarkCyan LightYellow GreenYellow PaleVioletRed Brown Tomato Yellow PaleVioletRed CadetBlue
centralprocessing unit desktopcomputer programmer computercide browser machines ibook bit digital digital
monitor ibook vacuumtube astrolabe compatible escapekey machines computing transistor hardware
computerprogram desktop xbox programmer algorithm expansionslot browser compatible android cyber
von neumann machine homecomputer social mechanicalcomputer transistor phone xbox microprocessor daw router
automation visualdisplayunit floppydisk integratedcircuit personalcomputer desktopcomputer eniac proprietary computerprogramming computerprogram
antivirus pc game peripheral sliderule diskette calculator transistor electronics expansionslot
