Coral OliveDrab MediumBlue Tomato Linen DarkSeaGreen MediumOrchid GreenYellow PaleVioletRed DarkSlateGray
LavenderBlush SandyBrown WhiteSmoke PowderBlue MediumBlue White SpringGreen CornflowerBlue Snow LightPink
Violet Silver LightSkyBlue DarkSlateGray Black LightPink DarkOrchid DodgerBlue Linen Salmon
LightGoldenrodYellow MediumBlue DarkOliveGreen Navy IndianRed Ivory Beige MistyRose Khaki Khaki
LightSlateGray Khaki Lavender DarkTurquoise SpringGreen GreenYellow Orchid DarkGoldenrod DarkKhaki Sienna
Plum PaleVioletRed CornflowerBlue HotPink PowderBlue RosyBrown BlanchedAlmond LightGoldenrod OliveDrab Silver
AntiqueWhite Plum LightPink CadetBlue PeachPuff DarkOliveGreen Red DarkTurquoise Cyan DarkSalmon
MediumVioletRed PowderBlue Indigo BlanchedAlmond LavenderBlush LightSlateGray IndianRed DeepPink LightYellow Linen
FloralWhite ForestGreen LavenderBlush MediumSlateBlue LightGoldenrodYellow Plum MediumTurquoise Gold Honeydew DodgerBlue
Thistle SeaGreen DarkGoldenrod LightCoral LightCyan Orange Gainsboro Bisque OrangeRed CornflowerBlue
DarkSeaGreen PeachPuff DarkSalmon Wheat LightGoldenrodYellow DodgerBlue IndianRed MediumBlue Blue Feldspar
grotesque nutty curious healthy motionless fair angry tense motionless black
nutty naughty alive unsightly crowded clean envious fancy concerned clumsy
concerned gorgeous delightful panicky clever blue thoughtful grotesque uninterested itchy
real frail helpless gifted charming long impossible upset putrid courageous
outrageous nutty friendly defeated strange arrogant elegant funny careful elated
homeless blue adorable colorful tasty defeated happy better easy bad
worried talented wide-eyed bored difficult hurt fierce condemned elated faithful
cooperative agreeable bad fine hilarious condemned important busy real delightful
misty courageous vivacious wrong amused delightful glamorous attractive cheerful filthy
jittery average lonely energetic kind thoughtful evil dull mysterious gorgeous
zany embarrassed delightful concerned motionless cheerful homeless putrid poor smoggy
console electrical imac desktop xbox microcomputer monitor escapekey phone digitalcomputer
router mainframe downloader machinecode digitalcommunication integratedcircuit sliderule von neumann machine mobile ibook
mainframe keyboard daw diskette eniac browser screen supercomputer data electrical
escapekey electrical watch incompatible computing cybertechnology compatible imac personalcomputer laptop
phone centralprocessing unit downloader processor mechanicalcomputer mainframe programmer computerhardware data machines
