SaddleBrown LightPink Snow Silver Aquamarine DarkCyan Seashell DarkSalmon LawnGreen Khaki
LightCoral GreenYellow LightSlateBlue PowderBlue DarkFuchsia FloralWhite Navy DeepPink SeaGreen SaddleBrown
LightSalmon DimGray SpringGreen MediumAquamarine DarkTurquoise Indigo Navy DarkOrchid LimeGreen LightGoldenrodYellow
SteelBlue Feldspar Honeydew GhostWhite DeepPink LightGray SlateBlue Gray Lavender Aquamarine
Firebrick DodgerBlue Chocolate DarkCyan LemonChiffon SlateBlue SaddleBrown IndianRed Coral LightSkyBlue
Linen SteelBlue LightSalmon DeepSkyBlue Purple DodgerBlue NavajoWhite MediumAquamarine BlueViolet Cornsilk
VioletRed Tomato DarkSlateBlue WhiteSmoke SandyBrown PeachPuff Honeydew DarkCyan LavenderBlush LightSeaGreen
MediumVioletRed LightGoldenrod Moccasin MintCream Teal Fuchsia FloralWhite Burlywood LightCoral CornflowerBlue
Black Black Brown Aquamarine Snow DarkTurquoise Orange SaddleBrown CadetBlue DarkRed
LemonChiffon CadetBlue DarkRed PaleTurquoise LightBlue Chocolate Brown Gray Snow DarkSeaGreen
Azure DarkBlue MistyRose DarkSlateBlue SkyBlue PaleGoldenrod MediumTurquoise LightSlateBlue Snow Yellow
conspiracy assault mutilation fraud brutality thriller sentence mystery robbery thrillers
lift theft story brutality drug drama spy safety investigation corruption
theft genocide homeless trafficking human shootings spy drug suspense police
massacre sentence threats drama violence slay investigation skyjack police corruption
prison legal legislature psychological revenge gun accident drug prostitution corrupt
action misdemeanour government offenders structuralism homicide homelessness slayings blackmail mystery
arsons crime drama terrorism guilty punitive slayings vandalism corruption gangs
suspense detective snitching crisis missing cop poverty imprisonment drugs supernatural
offenses vandalism legislature dark bloodshed investigation gangster law-breaking corruption cop
threats homelessness gangsterism hijack misdemeanor jurisdiction guilty offenders crime hijack
brutality guilty offence highjack gang detective offence trial jurisdiction muggings
