Crimson Orchid OrangeRed LightSkyBlue LightGoldenrodYellow Aquamarine LightGoldenrod MediumAquamarine DarkSlateGray DarkSalmon
LightSlateGray Orange Snow Lavender Aquamarine Moccasin Blue MediumSeaGreen Navy OldLace
NavajoWhite DarkOliveGreen Teal DarkSlateBlue Violet Ivory Cornsilk Salmon SlateBlue CornflowerBlue
Honeydew PaleGreen MediumOrchid LightYellow LightCoral DarkSlateGray OrangeRed Khaki PeachPuff LightBlue
LightGoldenrod Coral MediumVioletRed DarkOrange AntiqueWhite DimGray ForestGreen Goldenrod LimeGreen Thistle
Tomato DarkCyan WhiteSmoke Tan DarkOliveGreen LightSeaGreen DarkSeaGreen MediumOrchid CornflowerBlue LightGoldenrodYellow
LightSeaGreen DarkGreen IndianRed CornflowerBlue Lime LightSlateGray Silver PaleVioletRed SteelBlue Moccasin
Tomato Cornsilk LightSlateBlue LimeGreen White Salmon Orange LightPink SteelBlue MediumSlateBlue
DodgerBlue Moccasin RosyBrown Beige AliceBlue Thistle Coral LightSlateBlue Maroon RosyBrown
GreenYellow SandyBrown RoyalBlue Yellow MediumAquamarine SkyBlue PapayaWhip Firebrick Sienna MistyRose
DodgerBlue MediumSeaGreen Red DimGray Fuchsia LightYellow Cornsilk DarkTurquoise MediumSpringGreen Thistle
disgusted better blue-eyed unsightly angry happy grieving perfect expensive clever
excited plain lucky victorious homeless shy better odd arrogant old-fashioned
obedient clear joyous grumpy real modern homeless graceful hurt different
jittery fair comfortable impossible tired clever average defiant delightful frightened
talented agreeable glorious quaint encouraging gentle smiling perfect adventurous mysterious
clumsy tame determined envious filthy fragile tame obnoxious colorful fine
graceful difficult eager putrid fantastic pleasant mysterious thoughtful modern zany
concerned nervous wicked different mushy relieved selfish different tame grotesque
sleepy clumsy smiling super annoying clever defeated friendly sleepy inquisitive
motionless gorgeous enthusiastic bloody upset grumpy uninterested brave charming modern
determined anxious agreeable blue-eyed crowded dark fierce jealous jealous homely
