PaleGoldenrod Violet DarkBlue MediumTurquoise OrangeRed LavenderBlush Sienna Snow AliceBlue MediumAquamarine
LightCoral DarkFuchsia RosyBrown CadetBlue LightYellow Purple DarkGray Thistle Peru IndianRed
Olive NavajoWhite LightGreen Blue ForestGreen CornflowerBlue NavajoWhite Tomato MediumTurquoise Snow
Green Blue Brown PaleGreen RosyBrown LightGoldenrodYellow Red Honeydew GreenYellow Azure
LightCoral Linen SlateBlue PowderBlue LimeGreen Green DarkTurquoise BlanchedAlmond Feldspar Pink
MediumOrchid Brown DarkRed PaleTurquoise SlateGray MediumPurple Gainsboro BlueViolet Green MintCream
SaddleBrown DeepSkyBlue MediumSpringGreen Chocolate Green Indigo Plum PaleGoldenrod Green Moccasin
DarkCyan SkyBlue SaddleBrown DarkSlateGray LemonChiffon Burlywood Burlywood PaleVioletRed PaleGoldenrod Seashell
DimGray Beige LightBlue MediumSpringGreen SeaGreen RosyBrown AliceBlue Black LemonChiffon Sienna
GreenYellow DimGray Black Olive DodgerBlue Firebrick MediumBlue SpringGreen LightGreen PowderBlue
Chartreuse MediumTurquoise Firebrick SlateGray Fuchsia Tomato Pink Crimson Turquoise RoyalBlue
Mandarine Durian Jambul Kiwano Blueberry Cantaloupe Clementine Gooseberry Satsuma Quince
Pineapple Salak Jackfruit Cempedak Soursop Jambul Longan Tamarillo Honeyberry Longan
Lemon Canistel Loquat Peach Nectarine Kiwano Tangerine Quince Damson Breadfruit
Raisin Blueberry Cantaloupe Blueberry Cashew Nectarine Cherimoya Plantain Honeyberry Huckleberry
Mango Persimmon Apple Elderberry Kumquat Breadfruit Grapefruit Feijoa Lulo Kumquat
Tayberry Raisin Coconut Plumcot Lemon Date Gooseberry Kumquat Guava Redcurrant
Jackfruit Tayberry Nectarine Pomegranate Rambutan  Avocado Coconut Blackcurrant Papaya Tamarind
Apricot Canistel Tamarind Longan Jostaberry Guava Tamarind Loganberry Loquat Açaí
Blueberry Coconut Lychee Ackee Coconut Nance Lime Cranberry Elderberry Sapote
