vivacious homely graceful obnoxious unsightly crazy brainy ill gorgeous tired
puzzled cooperative shiny exuberant graceful faithful wild tasty ill adventurous
lovely gifted jealous drab weary thoughtful putrid inexpensive gleaming annoying
ugly bright nervous joyous helpless cheerful angry graceful adventurous itchy
quaint cautious combative prickly bewildered weary creepy splendid black determined
successful panicky adorable tasty silly alive lively horrible dark grieving
blue-eyed perfect wide-eyed clean doubtful energetic anxious friendly shiny hilarious
clean fragile ill alert tough shiny precious vast troubled brainy
good relieved amused upset odd attractive old-fashioned repulsive vivacious blue-eyed
real bloody worrisome worried creepy nice spotless wild famous faithful
embarrassed weary relieved grieving combative amused precious ugliest inexpensive determined
BinaryNumber_0100001 BinaryNumber_1011110 BinaryNumber_1000010 BinaryNumber_0100100 BinaryNumber_1000110 BinaryNumber_1011010 BinaryNumber_0110111 BinaryNumber_0101110 BinaryNumber_0110101 BinaryNumber_0111011
BinaryNumber_0010001 BinaryNumber_0011101 BinaryNumber_1000001 BinaryNumber_0000010 BinaryNumber_1000110 BinaryNumber_0111011 BinaryNumber_0010110 BinaryNumber_0011110 BinaryNumber_1010111 BinaryNumber_1011000
BinaryNumber_0001001 BinaryNumber_0001011 BinaryNumber_0001100 BinaryNumber_0010110 BinaryNumber_0001110 BinaryNumber_0000010 BinaryNumber_1100001 BinaryNumber_1001010 BinaryNumber_0000101 BinaryNumber_0111111
BinaryNumber_0100010 BinaryNumber_0011000 BinaryNumber_0110001 BinaryNumber_0100100 BinaryNumber_0111001 BinaryNumber_1011110 BinaryNumber_0000001 BinaryNumber_1010111 BinaryNumber_1100001 BinaryNumber_0010101
BinaryNumber_0100101 BinaryNumber_1001101 BinaryNumber_1011001 BinaryNumber_1011001 BinaryNumber_1011101 BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_0100110 BinaryNumber_1011001 BinaryNumber_1000101
BinaryNumber_0101001 BinaryNumber_0111011 BinaryNumber_0000001 BinaryNumber_0011010 BinaryNumber_1100011 BinaryNumber_1011110 BinaryNumber_0010001 BinaryNumber_0101000 BinaryNumber_0110010 BinaryNumber_1010000
