dead fancy tame cheerful comfortable good dangerous distinct magnificent eager
thoughtless envious quaint clear blue-eyed kind joyous homely sparkling perfect
odd helpful tender energetic mysterious tough busy crowded excited wide-eyed
drab annoying depressed spotless enchanting annoyed homeless blue tense relieved
naughty disgusted condemned difficult plain weary breakable adorable weary fancy
jealous uptight modern long shiny vivacious naughty mysterious long uptight
average grotesque fair impossible worrisome blushing repulsive black zany shy
better relieved disturbed beautiful hurt splendid creepy difficult smoggy arrogant
encouraging fantastic excited gorgeous filthy outrageous smoggy frantic clear ugly
gleaming shiny difficult lively thoughtless average angry stupid helpless amused
crazy silly unusual worried witty glorious stupid filthy famous combative
BinaryNumber_0000100 BinaryNumber_0110000 BinaryNumber_0001101 BinaryNumber_0000000 BinaryNumber_0011101 BinaryNumber_0001100 BinaryNumber_1100001 BinaryNumber_1011101 BinaryNumber_0110001 BinaryNumber_1100010
BinaryNumber_0011001 BinaryNumber_0010011 BinaryNumber_1010000 BinaryNumber_0101000 BinaryNumber_0011100 BinaryNumber_1000001 BinaryNumber_0010101 BinaryNumber_1000001 BinaryNumber_0111101 BinaryNumber_0110111
BinaryNumber_0010111 BinaryNumber_0101111 BinaryNumber_1010001 BinaryNumber_1001011 BinaryNumber_0010100 BinaryNumber_0101011 BinaryNumber_1001010 BinaryNumber_0000010 BinaryNumber_0000101 BinaryNumber_1010101
BinaryNumber_1001000 BinaryNumber_1001010 BinaryNumber_0011011 BinaryNumber_0111011 BinaryNumber_0111111 BinaryNumber_0001001 BinaryNumber_1001010 BinaryNumber_0111011 BinaryNumber_0010110 BinaryNumber_0000010
BinaryNumber_0100000 BinaryNumber_0111110 BinaryNumber_0000011 BinaryNumber_1011110 BinaryNumber_0011000 BinaryNumber_0000000 BinaryNumber_0011010 BinaryNumber_0100010 BinaryNumber_1001011 BinaryNumber_0110110
BinaryNumber_1000010 BinaryNumber_0000100 BinaryNumber_0000011 BinaryNumber_1001111 BinaryNumber_0110101 BinaryNumber_0111111 BinaryNumber_1001011 BinaryNumber_1011110 BinaryNumber_0010000 BinaryNumber_0110010
BinaryNumber_1010010 BinaryNumber_0010010 BinaryNumber_1000011 BinaryNumber_0101111 BinaryNumber_1010111 BinaryNumber_1011111 BinaryNumber_0110001 BinaryNumber_1100000 BinaryNumber_0010100 BinaryNumber_1010000
BinaryNumber_0111000 BinaryNumber_0101010 BinaryNumber_0111101 BinaryNumber_1010110 BinaryNumber_0010110 BinaryNumber_1010010 BinaryNumber_1011100 BinaryNumber_0000000 BinaryNumber_0001011 BinaryNumber_0110001
BinaryNumber_0010111 BinaryNumber_1100000 BinaryNumber_0000011 BinaryNumber_1000110 BinaryNumber_1010001 BinaryNumber_0011001 BinaryNumber_0110010 BinaryNumber_0011110 BinaryNumber_1010101 BinaryNumber_1001100
BinaryNumber_1100010 BinaryNumber_1000011 BinaryNumber_0111111 BinaryNumber_0010000 BinaryNumber_1010100 BinaryNumber_1010101 BinaryNumber_0100000 BinaryNumber_0101101 BinaryNumber_0000111 BinaryNumber_0110101
BinaryNumber_0111000 BinaryNumber_0000101 BinaryNumber_1000001 BinaryNumber_1000010 BinaryNumber_1010010 BinaryNumber_0100010 BinaryNumber_0010010 BinaryNumber_1100010 BinaryNumber_1000000 BinaryNumber_1011010
Loganberry Mango Elderberry Soursop Salak Sapote Sapote Plantain Sapodilla Acerola
Boysenberry Honeydew Ackee Sapote Pineapple Watermelon Lulo Huckleberry Peach Blackcurrant
Prune Ackee Mulberry Plumcot Plantain Nance Currant Watermelon Satsuma Tangerine
Acerola Sapodilla Tayberry Loganberry Plantain Mango Raisin Strawberry Pineberry Huckleberry
Cashew Blackberry Watermelon Melon Sapote Blackberry Clementine Pomelo Cloudberry Boysenberry
Acerola Currant Cantaloupe Lulo Prune Yuzu Watermelon Yuzu Bilberry Honeydew
Lulo Peach Mango Strawberry Orange Lulo Lime Grape Raspberry Lychee
Tamarillo Salak Pawpaw Fig Salmonberry Apple Watermelon Nectarine Peach Pomelo
Strawberry Fig Sapote Marionberry Blueberry Jujube Kumquat Jujube Kumquat Peach
Loganberry Salak Satsuma Guava Pomegranate Ackee Elderberry Lychee Cherimoya Plumcot
Blueberry Araza Soursop Watermelon Pineberry Mandarine Pineapple Plantain Raspberry Mango
