Orange PaleTurquoise MediumAquamarine NavajoWhite Chartreuse MediumBlue WhiteSmoke GreenYellow MidnightBlue Azure
DarkSlateGray LightSeaGreen Seashell Seashell LightGoldenrodYellow Green AntiqueWhite PowderBlue Snow BlueViolet
Peru Wheat LightSkyBlue LightSteelBlue LightSlateBlue PowderBlue CadetBlue SpringGreen RoyalBlue Green
GreenYellow ForestGreen MediumSeaGreen Cyan LimeGreen DarkOliveGreen DimGray DarkGreen Snow Crimson
PaleTurquoise VioletRed DeepPink DarkGray PeachPuff Gray LimeGreen VioletRed Goldenrod Orange
LightSkyBlue HotPink GhostWhite LightCyan Plum Purple Black RosyBrown LightSalmon MistyRose
Turquoise Cornsilk LightYellow Linen DarkOrchid Brown PapayaWhip DarkSeaGreen DodgerBlue Chartreuse
MediumSeaGreen Pink MediumBlue LightCoral Orchid Aquamarine DarkBlue MediumPurple Wheat Linen
PaleGreen WhiteSmoke Wheat LemonChiffon SteelBlue Linen DeepSkyBlue DarkFuchsia SlateGray LemonChiffon
DarkSlateGray SaddleBrown LightSalmon Yellow Blue Silver Tomato OrangeRed DarkKhaki Firebrick
FloralWhite OldLace LimeGreen DimGray Lavender MintCream LightCyan LightGoldenrod DarkOrchid Ivory
vegetable sushi eat pasta chicken meal sushi victuals restaurant victuals
cooking animal fruit fruits vegetables beef plant restaurant nutrient nutrient fruit
milk fruit seafood pasta cooking nutrition meal victuals pasta pasta
sushi victuals drinks animal seafood cheese beef eat restaurant cheese
provender beef edible sushi victuals victuals edible vegetable plant drinks
soup nourishment meals chicken milk fruit pasta eat animal nutrition
provender fruit cereal pasta nutrition eat cooking nutrient meat fruit
rice eat edible milk meat victuals beef nutrient meals vegetable
pasta sushi meat fruit meals eat cheese chicken animal restaurant
nourishment seafood nourishment beef rice eat fruit nutrient milk cereal
milk eat soup chicken meals meat meat meat rice milk
inquisitive agreeable defiant thankful cheerful enthusiastic prickly enthusiastic average successful
repulsive handsome helpless bored busy dark impossible enthusiastic impossible kind
smiling gorgeous perfect puzzled cheerful cloudy wrong wicked hurt clean
beautiful eager wandering joyous outrageous courageous funny plain annoying ashamed
ill unusual bewildered amused wicked disturbed attractive powerful fair sleepy
