Cherimoya Tamarind Ackee Tamarillo Akebi Redcurrant Grapefruit Jujube Elderberry Gooseberry
Pomelo Melon Cherry Salmonberry Elderberry Akebi Cantaloupe Loquat Passionfruit Sapodilla
Nance Jackfruit Papaya Grape Melon Clementine Currant Date Salmonberry Rambutan 
Pomelo Cherry Blueberry Quince Apple Cherry Akebi Soursop Persimmon Kumquat
Blackcurrant Cantaloupe Persimmon Apricot Feijoa Tangelo Mangosteen Strawberry Orange Cranberry
Kumquat Cempedak Ximenia Avocado Jujube Banana Watermelon Huckleberry Araza Damson
Soursop Cherimoya Pomegranate Peach Nance Strawberry Acerola Mangosteen Plantain Clementine
Blackberry Durian Boysenberry Pomegranate Kiwano Plantain Fig Pineapple Satsuma Nance
Tamarillo Date Breadfruit Date Plumcot Watermelon Satsuma Avocado Mangosteen Apple
Persimmon Cempedak Lychee Coconut Raspberry Cantaloupe Tangelo Longan Tamarind Raspberry
Pomegranate Grapefruit Mulberry Guava Cempedak Apricot Canistel Ximenia Pomegranate Plantain
BinaryNumber_1000001 BinaryNumber_0001111 BinaryNumber_1000100 BinaryNumber_1100001 BinaryNumber_0111110 BinaryNumber_0011110 BinaryNumber_1100011 BinaryNumber_1000111 BinaryNumber_0010111 BinaryNumber_1011100
BinaryNumber_0110000 BinaryNumber_1000000 BinaryNumber_0100010 BinaryNumber_0111010 BinaryNumber_0111100 BinaryNumber_0100000 BinaryNumber_1010010 BinaryNumber_0000010 BinaryNumber_0111100 BinaryNumber_1011110
BinaryNumber_0001110 BinaryNumber_0101111 BinaryNumber_1000101 BinaryNumber_1000001 BinaryNumber_1001000 BinaryNumber_0001011 BinaryNumber_0110010 BinaryNumber_1001011 BinaryNumber_0110001 BinaryNumber_0101010
BinaryNumber_1011001 BinaryNumber_0100011 BinaryNumber_1001111 BinaryNumber_1010010 BinaryNumber_1010110 BinaryNumber_0111111 BinaryNumber_0001101 BinaryNumber_0111010 BinaryNumber_0000001 BinaryNumber_0100111
BinaryNumber_1010101 BinaryNumber_1010010 BinaryNumber_0000111 BinaryNumber_0000001 BinaryNumber_1010111 BinaryNumber_0011111 BinaryNumber_1001000 BinaryNumber_0001001 BinaryNumber_1000101 BinaryNumber_1011111
BinaryNumber_1001000 BinaryNumber_0111011 BinaryNumber_0111110 BinaryNumber_0101100 BinaryNumber_0111010 BinaryNumber_0100010 BinaryNumber_0111100 BinaryNumber_0011001 BinaryNumber_0001000 BinaryNumber_0001011
