Abiu Pomegranate Raspberry Salak Jambul Açaí Redcurrant Pomelo Loquat Boysenberry
Lulo Tamarillo Apricot Marionberry Jostaberry Tamarind Abiu Plumcot Cantaloupe Nance
Plum Plum Pear Kiwano Soursop Tamarillo Peach Plum Pineapple Tangerine
Rambutan  Cloudberry Cranberry Tamarillo Kiwano Papaya Gooseberry Cherry Cantaloupe Papaya
Ximenia Jambul Tangelo Feijoa Blackberry Bilberry Grapefruit Grape Grapefruit Mandarine
Satsuma Sapote Kiwano Abiu Jackfruit Honeyberry Rambutan  Bilberry Damson Marionberry
Rambutan  Fig Rambutan  Lychee Pear Papaya Currant Boysenberry Plum Loganberry
Persimmon Papaya Kiwifruit Mandarine Pomegranate Loquat Salmonberry Plum Banana Tangelo
Lemon Apple Pear Plantain Tamarillo Loganberry Satsuma Tangerine Mangosteen Blackcurrant
Peach Quince Canistel Tamarillo Apricot Soursop Elderberry Tamarillo Mulberry Pear
Tayberry Nectarine Pomelo Soursop Redcurrant Tamarind Sapote Passionfruit Blueberry Jujube
beef beef fruits vegetables animal meal restaurant edible beef cereal sushi
meal milk animal victuals sushi eat edible meat nutrition beef
meals provender meals nutrient edible chicken sushi sushi plant fruits vegetables
rice edible edible edible drinks nutrient fruits vegetables fruits vegetables vegetable milk
pasta fruits vegetables restaurant nourishment animal nutrition cereal seafood provender cheese
soup pasta animal animal sushi victuals restaurant fruit meal beef
cereal rice cereal cheese meals fruit nutrition rice meal nutrition
edible vegetable milk chicken pasta animal soup cheese soup victuals
nutrition cooking pasta pasta vegetable nutrient meat beef edible eat
soup provender plant nutrition soup meat meat pasta fruits vegetables pasta
nourishment pasta meal fruits vegetables chicken victuals nutrition drinks meat victuals
sparkling dull important eager successful odd condemned plain bright careful
old-fashioned curious sore thoughtful brainy hurt brainy funny drab confused
embarrassed gorgeous elegant good tense beautiful bored cooperative embarrassed better
mushy creepy awful wide-eyed hurt angry lovely friendly courageous wicked
different friendly glamorous zealous modern shy delightful handsome spotless stupid
defiant repulsive tasty famous dizzy charming brainy helpful horrible courageous
expensive clear dizzy wicked jolly bad alive hungry dark important
alive long delightful evil disgusted amused sore misty fierce arrogant
annoying strange jealous homely aggressive obedient comfortable filthy energetic unusual
muddy successful hilarious cruel combative friendly attractive doubtful exuberant ugly
lively important awful friendly jittery blue-eyed alive pleasant brainy mysterious
BinaryNumber_0110001 BinaryNumber_1001011 BinaryNumber_0010001 BinaryNumber_1000110 BinaryNumber_0100000 BinaryNumber_0111101 BinaryNumber_1000101 BinaryNumber_1001101 BinaryNumber_0011011 BinaryNumber_0100010
