PaleVioletRed Ivory Black LightSteelBlue MediumTurquoise Sienna PeachPuff LightSlateBlue Gray RosyBrown
AntiqueWhite Maroon MediumOrchid MediumSpringGreen DarkGreen Aquamarine Sienna MediumSlateBlue Burlywood Bisque
FloralWhite PaleVioletRed Purple MediumAquamarine Snow Moccasin Silver SandyBrown Red Goldenrod
RoyalBlue Lime OldLace Cyan Blue LightGoldenrodYellow AliceBlue LightSeaGreen CornflowerBlue PaleGreen
LimeGreen OliveDrab LightSteelBlue Blue SaddleBrown Aquamarine Thistle OliveDrab Fuchsia OldLace
Plum DarkBlue Maroon MediumTurquoise MediumBlue Salmon Blue Red Orchid Violet
Azure PaleVioletRed SandyBrown Goldenrod Yellow White FloralWhite BlanchedAlmond RosyBrown GreenYellow
DarkTurquoise LimeGreen BlanchedAlmond MediumAquamarine Peru MediumPurple OrangeRed DarkOliveGreen Blue CadetBlue
GhostWhite Violet FloralWhite LawnGreen Feldspar Peru SkyBlue MediumSlateBlue Lavender DarkOliveGreen
DarkBlue DarkGray Blue LightGray Silver GhostWhite WhiteSmoke Feldspar IndianRed DarkGray
DarkViolet DarkFuchsia FloralWhite Seashell CornflowerBlue DarkSlateGray RosyBrown MediumOrchid LightGreen Violet
temperature__74c temperature__70c temperature__14c temperature__71c temperature__17c temperature__65c temperature__12c temperature__2c temperature__24c temperature__31c
temperature__14c temperature__92c temperature__74c temperature__64c temperature__5c temperature__70c temperature__16c temperature__70c temperature__85c temperature__5c
temperature__52c temperature__120c temperature__138c temperature__51c temperature__64c temperature__86c temperature__41c temperature__126c temperature__112c temperature__47c
temperature__30c temperature__85c temperature__145c temperature__7c temperature__93c temperature__26c temperature__49c temperature__36c temperature__95c temperature__56c
temperature__50c temperature__34c temperature__108c temperature__138c temperature__30c temperature__88c temperature__144c temperature__116c temperature__36c temperature__24c
temperature__34c temperature__70c temperature__64c temperature__120c temperature__147c temperature__100c temperature__47c temperature__111c temperature__64c temperature__40c
temperature__140c temperature__46c temperature__131c temperature__26c temperature__33c temperature__145c temperature__12c temperature__84c temperature__95c temperature__30c
temperature__86c temperature__8c temperature__118c temperature__123c temperature__100c temperature__111c temperature__130c temperature__106c temperature__14c temperature__71c
temperature__3c temperature__100c temperature__145c temperature__54c temperature__14c temperature__98c temperature__119c temperature__90c temperature__71c temperature__131c
temperature__64c temperature__31c temperature__140c temperature__108c temperature__79c temperature__109c temperature__120c temperature__85c temperature__61c temperature__4c
temperature__123c temperature__47c temperature__49c temperature__131c temperature__142c temperature__126c temperature__58c temperature__27c temperature__95c temperature__111c
