GreenYellow Seashell DarkSlateBlue DarkGreen DeepSkyBlue LightSeaGreen LightGreen LawnGreen Purple Lavender
LightGreen DarkViolet CornflowerBlue LightSeaGreen LightGoldenrodYellow MediumPurple Burlywood WhiteSmoke Salmon SteelBlue
SlateGray Tomato Snow LightGreen Purple MediumOrchid LemonChiffon WhiteSmoke LavenderBlush MintCream
Brown Pink Honeydew MistyRose ForestGreen Maroon DodgerBlue CornflowerBlue LightSlateGray Crimson
Bisque Teal Cyan AntiqueWhite DarkBlue Snow SandyBrown Red PeachPuff LightBlue
PowderBlue LightSalmon PeachPuff WhiteSmoke Lime Fuchsia DarkGray PaleVioletRed SkyBlue Honeydew
DodgerBlue Firebrick CornflowerBlue LightSteelBlue CadetBlue Honeydew Chocolate LightPink SkyBlue LightCyan
LimeGreen DarkSlateGray MediumPurple Tomato LightGray Fuchsia Teal Orchid LightGreen DarkFuchsia
Thistle Violet SpringGreen Brown MediumTurquoise DarkGray DeepSkyBlue Gray LightSteelBlue RosyBrown
LightBlue OliveDrab MidnightBlue PaleVioletRed ForestGreen SandyBrown LightSlateBlue Burlywood Olive FloralWhite
IndianRed HotPink Linen Beige RoyalBlue Wheat Sienna LightCoral WhiteSmoke Olive
meat beef meals cooking chicken provender meals cheese rice pasta
nutrition plant victuals cheese soup eat pasta milk beef meal
soup eat vegetable vegetable fruits vegetables cereal chicken nourishment fruits vegetables restaurant
restaurant milk meals beef vegetable cheese cooking victuals meat fruit
fruits vegetables chicken nutrition plant vegetable pasta provender rice chicken soup
meal fruits vegetables drinks drinks cheese restaurant restaurant meat chicken milk
fruits vegetables restaurant plant cereal milk drinks cereal cooking chicken provender
nutrient meals nourishment edible nourishment meal animal nourishment chicken eat
vegetable nutrient fruits vegetables pasta drinks rice beef cheese nutrition rice
edible victuals cooking seafood meals soup animal nutrient rice fruits vegetables
seafood nourishment nutrient nutrient fruit provender provender nutrition fruit provender
Raspberry Damson Blackberry Acerola Feijoa Mandarine Satsuma Lychee Persimmon Canistel
Mango Grapefruit Marionberry Nance Lychee Redcurrant Cranberry Cloudberry Tayberry Lime
Blackcurrant Breadfruit Feijoa Boysenberry Abiu Fig Orange Salmonberry Nance Plantain
Huckleberry Tamarind Raisin Lulo Redcurrant Boysenberry Cloudberry Redcurrant Satsuma Kiwano
