bored sleepy cute friendly fragile defiant foolish enthusiastic worrisome glamorous
fierce frail clean terrible enthusiastic embarrassed light cheerful mysterious better
stormy filthy stupid long wrong old-fashioned envious glorious sleepy panicky
quaint defiant nutty outstanding smoggy lazy healthy troubled exuberant itchy
clumsy light obnoxious creepy frail fantastic jolly breakable careful clever
blue-eyed wide-eyed busy handsome calm plain good thoughtful cautious successful
expensive wild magnificent worried mysterious enchanting innocent fancy obedient alive
colorful frightened frantic strange envious long spotless cooperative gentle weary
thoughtless shy light healthy distinct jolly inquisitive uninterested nice careful
wrong breakable talented gleaming inquisitive silly enchanting doubtful itchy cute
clean prickly disgusted thoughtful determined plain agreeable happy important anxious
nutrition cheese sushi eat nutrition meals meal drinks restaurant animal
pasta cheese milk meals cheese victuals victuals nourishment drinks meals
nutrient restaurant restaurant provender nutrition soup seafood seafood nutrient fruit
seafood eat vegetable fruits vegetables cereal animal fruit vegetable fruits vegetables rice
drinks restaurant pasta fruit sushi restaurant pasta plant fruits vegetables sushi
eat meals soup edible soup victuals victuals pasta nourishment edible
nutrient meals meat nourishment seafood beef victuals fruits vegetables nutrition fruits vegetables
provender nutrient provender cheese animal chicken victuals eat meals beef
vegetable cereal victuals cereal beef nutrition cheese beef eat seafood
animal fruits vegetables seafood seafood eat restaurant meal milk cheese meal
meat vegetable meals nourishment cooking provender sushi fruit restaurant meal
temperature__141c temperature__122c temperature__87c temperature__24c temperature__86c temperature__36c temperature__31c temperature__93c temperature__78c temperature__144c
temperature__137c temperature__14c temperature__41c temperature__92c temperature__40c temperature__111c temperature__26c temperature__2c temperature__36c temperature__46c
temperature__27c temperature__65c temperature__98c temperature__140c temperature__53c temperature__70c temperature__8c temperature__92c temperature__123c temperature__2c
temperature__100c temperature__28c temperature__148c temperature__85c temperature__64c temperature__0c temperature__95c temperature__132c temperature__85c temperature__88c
temperature__126c temperature__22c temperature__42c temperature__17c temperature__4c temperature__92c temperature__11c temperature__124c temperature__59c temperature__137c
temperature__86c temperature__51c temperature__124c temperature__146c temperature__92c temperature__12c temperature__77c temperature__123c temperature__69c temperature__16c
temperature__142c temperature__98c temperature__56c temperature__78c temperature__17c temperature__53c temperature__4c temperature__124c temperature__3c temperature__10c
temperature__65c temperature__56c temperature__141c temperature__10c temperature__22c temperature__4c temperature__137c temperature__35c temperature__124c temperature__26c
temperature__120c temperature__47c temperature__39c temperature__58c temperature__21c temperature__12c temperature__7c temperature__95c temperature__36c temperature__145c
