Orange LightSalmon RosyBrown WhiteSmoke Azure SlateBlue DarkTurquoise PaleGreen CornflowerBlue LightGoldenrod
DarkSalmon Gainsboro BlanchedAlmond MistyRose LightSeaGreen Olive Moccasin MediumOrchid MediumOrchid OldLace
MintCream LightPink GhostWhite LimeGreen LightSalmon LightCoral RoyalBlue Fuchsia Lime LightSalmon
MidnightBlue PowderBlue VioletRed LightGreen NavajoWhite Navy Tan Turquoise Thistle Red
MediumPurple Fuchsia DarkSeaGreen LightSlateGray Coral DarkSeaGreen Beige DarkViolet Silver Coral
White Bisque MediumSpringGreen MediumPurple SlateGray Indigo BlueViolet HotPink GreenYellow Honeydew
LightCoral Snow Fuchsia ForestGreen LightCyan Coral DarkGreen PapayaWhip LightGray PowderBlue
MediumSeaGreen Gold MediumOrchid DarkSalmon PaleVioletRed PaleGoldenrod Orange Cyan DarkGray Azure
Chartreuse VioletRed LightSlateBlue LightGray PowderBlue Violet LightGreen DarkSalmon DarkOrchid PaleVioletRed
LightSkyBlue Beige VioletRed SteelBlue DarkViolet Gray RoyalBlue PowderBlue Goldenrod Moccasin
DimGray AntiqueWhite AntiqueWhite LemonChiffon MediumVioletRed MistyRose DeepPink DarkViolet MediumBlue Navy
temperature__82c temperature__30c temperature__70c temperature__88c temperature__34c temperature__111c temperature__63c temperature__145c temperature__17c temperature__68c
temperature__123c temperature__3c temperature__132c temperature__109c temperature__59c temperature__17c temperature__111c temperature__47c temperature__85c temperature__34c
temperature__138c temperature__30c temperature__59c temperature__51c temperature__100c temperature__34c temperature__44c temperature__39c temperature__130c temperature__147c
temperature__112c temperature__120c temperature__91c temperature__140c temperature__3c temperature__147c temperature__119c temperature__42c temperature__23c temperature__69c
temperature__139c temperature__86c temperature__73c temperature__52c temperature__61c temperature__73c temperature__31c temperature__14c temperature__4c temperature__147c
temperature__34c temperature__79c temperature__51c temperature__147c temperature__2c temperature__35c temperature__142c temperature__64c temperature__23c temperature__41c
temperature__109c temperature__63c temperature__93c temperature__52c temperature__124c temperature__108c temperature__65c temperature__53c temperature__52c temperature__65c
temperature__39c temperature__87c temperature__129c temperature__46c temperature__136c temperature__73c temperature__71c temperature__2c temperature__111c temperature__129c
temperature__44c temperature__53c temperature__69c temperature__118c temperature__73c temperature__70c temperature__74c temperature__95c temperature__98c temperature__21c
temperature__41c temperature__28c temperature__6c temperature__100c temperature__148c temperature__105c temperature__116c temperature__108c temperature__44c temperature__63c
temperature__109c temperature__0c temperature__139c temperature__141c temperature__105c temperature__41c temperature__138c temperature__87c temperature__11c temperature__119c
Grapefruit Kiwano Cloudberry Tayberry Apricot Acerola Pawpaw Kumquat Mangosteen Kiwifruit
Jujube Pear Jostaberry Blueberry Damson Quince Clementine Loquat Raspberry Melon
Cloudberry Durian Fig Mulberry Boysenberry Pineapple Mandarine Kumquat Satsuma Acerola
Blackberry Cashew Tangerine Cherimoya Plum Breadfruit Cherimoya Cloudberry Soursop Sapodilla
Yuzu Longan Jostaberry Honeydew Cloudberry Tangelo Strawberry Cherry Araza Lemon
Cloudberry Gooseberry Avocado Ackee Jackfruit Tamarind Blueberry Pineberry Plum Cloudberry
Pomegranate Plantain Marionberry Gooseberry Bilberry Ackee Lime Gooseberry Longan Cantaloupe
Canistel Redcurrant Banana Tangelo Pawpaw Grape Kumquat Grape Huckleberry Avocado
Jostaberry Apricot Longan Rambutan  Sapote Fig Lulo Kumquat Ackee Pineberry
Guava Prune Lychee Tangerine Watermelon Feijoa Damson Mangosteen Mango Pomelo
Strawberry Kiwifruit Melon Apple Acerola Lychee Peach Longan Plum Raisin
skill bouldering team athletic lark combat sportsmanship referee judo athletic
