LightSlateGray VioletRed LemonChiffon CornflowerBlue DarkBlue CadetBlue Feldspar Bisque Chartreuse Khaki
Honeydew Fuchsia Olive MediumBlue CornflowerBlue DarkSeaGreen Bisque Cornsilk GhostWhite Chocolate
DarkViolet PaleVioletRed PaleGoldenrod SteelBlue Orchid LightSkyBlue LightSeaGreen PapayaWhip PaleTurquoise Azure
Wheat MediumTurquoise Brown Khaki MediumSpringGreen DarkBlue Green Tan MediumAquamarine LemonChiffon
MediumAquamarine Olive DarkSlateBlue Peru DimGray LawnGreen Sienna Lime DarkSlateGray Beige
PapayaWhip MidnightBlue LightSalmon FloralWhite DarkTurquoise LightPink SkyBlue Silver Cyan SlateGray
GhostWhite LightGoldenrodYellow Beige LavenderBlush CornflowerBlue Chocolate LightPink LightBlue Moccasin GhostWhite
Indigo RoyalBlue LavenderBlush Moccasin LimeGreen MediumPurple Violet DarkSlateBlue LightYellow CadetBlue
LawnGreen DarkGoldenrod WhiteSmoke Azure MistyRose DarkSeaGreen Linen SteelBlue LightBlue DarkOrange
DeepPink DarkFuchsia Bisque LightPink MediumTurquoise Aquamarine RosyBrown RoyalBlue WhiteSmoke DarkGray
GhostWhite DarkOrchid MediumVioletRed MediumSeaGreen DarkSlateBlue Indigo MediumVioletRed DarkViolet CornflowerBlue Yellow
sparkling smiling brainy angry tender condemned wandering lovely sparkling lovely
bad nervous homeless vast impossible homely brave inexpensive tired horrible
thoughtless super hurt witty misty clever adventurous nasty glamorous bored
average cruel joyous inquisitive breakable anxious foolish jittery plain puzzled
ill delightful cloudy old-fashioned frail long proud angry grieving vivacious
dangerous vast bloody bewildered nice sore careful uninterested agreeable cooperative
modern hurt worrisome gleaming mysterious real thoughtful fantastic nervous famous
jittery inexpensive unsightly uninterested curious encouraging fine uptight mushy zany
selfish nice frightened dead disgusted cloudy thankful tense terrible happy
comfortable joyous adorable filthy grotesque colorful obnoxious proud nasty determined
faithful tough bored thoughtful important cloudy brainy gifted hurt bright
