Plum Crimson PowderBlue Tan NavajoWhite Lime Bisque LightSkyBlue DarkGray WhiteSmoke
MediumSeaGreen FloralWhite Bisque Navy Brown DarkFuchsia DarkGreen VioletRed LimeGreen MediumTurquoise
LightYellow LightSlateBlue DarkViolet DarkBlue MediumSeaGreen Wheat SpringGreen Aquamarine Olive MediumSeaGreen
MediumPurple DarkRed NavajoWhite Purple DodgerBlue DarkKhaki DarkOrchid Crimson PowderBlue DarkGoldenrod
GhostWhite Ivory Green Gainsboro LightGoldenrod Beige LightPink Moccasin Goldenrod DarkGreen
Bisque PaleGreen Gray PapayaWhip Tan HotPink PaleTurquoise WhiteSmoke Thistle RoyalBlue
GreenYellow Seashell SkyBlue LightSlateGray PaleVioletRed Thistle LightSteelBlue MediumAquamarine OrangeRed MediumOrchid
DarkGoldenrod SkyBlue Violet LightGoldenrodYellow MediumOrchid Goldenrod Aquamarine FloralWhite Gray DarkSalmon
Honeydew Snow Gray White SandyBrown NavajoWhite Coral Moccasin Moccasin Cyan
MidnightBlue MintCream Gainsboro GreenYellow LavenderBlush DarkSeaGreen FloralWhite Cyan DarkOrchid DarkSalmon
Purple DodgerBlue Navy Pink Violet Maroon CornflowerBlue SandyBrown LightSlateBlue LemonChiffon
BinaryNumber_0011100 BinaryNumber_0011100 BinaryNumber_1000011 BinaryNumber_1011001 BinaryNumber_1000110 BinaryNumber_0011011 BinaryNumber_0001000 BinaryNumber_0100110 BinaryNumber_1100000 BinaryNumber_0100010
BinaryNumber_0000111 BinaryNumber_0010010 BinaryNumber_1010010 BinaryNumber_0001011 BinaryNumber_0101110 BinaryNumber_1001110 BinaryNumber_0101000 BinaryNumber_0001100 BinaryNumber_1011010 BinaryNumber_1100011
BinaryNumber_1010110 BinaryNumber_0010100 BinaryNumber_1000010 BinaryNumber_0000011 BinaryNumber_0010001 BinaryNumber_1001100 BinaryNumber_1011011 BinaryNumber_1010110 BinaryNumber_0000101 BinaryNumber_1010110
BinaryNumber_0100001 BinaryNumber_1001011 BinaryNumber_0100101 BinaryNumber_1001111 BinaryNumber_0111110 BinaryNumber_0101011 BinaryNumber_0111000 BinaryNumber_0111011 BinaryNumber_1010000 BinaryNumber_0111100
