Lemon Huckleberry Canistel Honeydew Salmonberry Fig Blackberry Kiwifruit Watermelon Strawberry
Avocado Guava Araza Abiu Jackfruit Boysenberry Damson Satsuma Nance Akebi
Feijoa Longan Raisin Grape Raspberry Cherimoya Grapefruit Grapefruit Jackfruit Currant
Pawpaw Redcurrant Rambutan  Pineberry Ximenia Ackee Salmonberry Soursop Araza Boysenberry
Cempedak Pomelo Loquat Passionfruit Mulberry Elderberry Satsuma Gooseberry Lime Boysenberry
Fig Cherry Bilberry Strawberry Blackcurrant Feijoa Kiwano Pomegranate Kiwifruit Blueberry
Kumquat Breadfruit Yuzu Lime Cantaloupe Prune Avocado Guava Raisin Cempedak
Blackberry Apricot Rambutan  Mango Grapefruit Blueberry Soursop Mangosteen Currant Mango
Lulo Grape Cantaloupe Mango Avocado Cranberry Mandarine Longan Yuzu Passionfruit
Blackcurrant Mulberry Currant Açaí Mandarine Açaí Honeyberry Pineapple Salmonberry Lime
Papaya Cherry Mulberry Strawberry Tamarillo Cashew Abiu Rambutan  Persimmon Akebi
BinaryNumber_1000111 BinaryNumber_0011011 BinaryNumber_1000101 BinaryNumber_0101001 BinaryNumber_0000001 BinaryNumber_0111101 BinaryNumber_0110110 BinaryNumber_1010101 BinaryNumber_0100101 BinaryNumber_0000101
BinaryNumber_0101011 BinaryNumber_1000101 BinaryNumber_0110010 BinaryNumber_1011101 BinaryNumber_1100000 BinaryNumber_0001101 BinaryNumber_1010011 BinaryNumber_1010100 BinaryNumber_0100010 BinaryNumber_0011100
BinaryNumber_0010110 BinaryNumber_0000000 BinaryNumber_0110111 BinaryNumber_0111110 BinaryNumber_0011011 BinaryNumber_0000110 BinaryNumber_1100011 BinaryNumber_1000110 BinaryNumber_0111001 BinaryNumber_0010000
BinaryNumber_0000110 BinaryNumber_1000000 BinaryNumber_0110110 BinaryNumber_1011110 BinaryNumber_1100010 BinaryNumber_0100110 BinaryNumber_0101010 BinaryNumber_0110100 BinaryNumber_0000111 BinaryNumber_0000110
BinaryNumber_1100010 BinaryNumber_0100011 BinaryNumber_1000111 BinaryNumber_0001100 BinaryNumber_1100000 BinaryNumber_0011010 BinaryNumber_1100010 BinaryNumber_1001010 BinaryNumber_1001110 BinaryNumber_0101011
BinaryNumber_0000010 BinaryNumber_0111111 BinaryNumber_0101111 BinaryNumber_0101110 BinaryNumber_0111000 BinaryNumber_0000100 BinaryNumber_0000101 BinaryNumber_0011101 BinaryNumber_1010000 BinaryNumber_0111000
BinaryNumber_0110001 BinaryNumber_0010101 BinaryNumber_1001001 BinaryNumber_1010011 BinaryNumber_0101011 BinaryNumber_0100000 BinaryNumber_1010000 BinaryNumber_1000010 BinaryNumber_0101101 BinaryNumber_1000111
BinaryNumber_0100101 BinaryNumber_0100100 BinaryNumber_0001010 BinaryNumber_0100001 BinaryNumber_1100010 BinaryNumber_1000100 BinaryNumber_1001100 BinaryNumber_1000101 BinaryNumber_0001000 BinaryNumber_0100101
BinaryNumber_1011111 BinaryNumber_0111001 BinaryNumber_0101111 BinaryNumber_0110110 BinaryNumber_1000110 BinaryNumber_0001000 BinaryNumber_1010110 BinaryNumber_0111111 BinaryNumber_0001111 BinaryNumber_0101001
BinaryNumber_0110011 BinaryNumber_0000011 BinaryNumber_0101010 BinaryNumber_0011100 BinaryNumber_1010100 BinaryNumber_0011101 BinaryNumber_0011110 BinaryNumber_1011000 BinaryNumber_0100010 BinaryNumber_1000000
BinaryNumber_0000111 BinaryNumber_0110001 BinaryNumber_1010000 BinaryNumber_0011110 BinaryNumber_0010111 BinaryNumber_0101000 BinaryNumber_1000111 BinaryNumber_0010000 BinaryNumber_1001100 BinaryNumber_0110101
seafood soup sushi nutrient eat milk sushi seafood chicken plant
eat nutrient edible meals animal nourishment plant nourishment fruit milk
beef soup eat animal nutrient eat animal edible rice meal
cheese eat fruit cereal meal eat fruits vegetables animal plant seafood
chicken cereal nutrient cereal eat sushi drinks cereal vegetable provender
sushi meals plant pasta cheese drinks milk cooking rice edible
drinks seafood fruit cooking sushi vegetable meals meal milk rice
soup fruit milk nutrient meal meals meal cheese edible chicken
pasta sushi fruits vegetables edible provender milk victuals plant animal provender
milk nutrient fruits vegetables chicken fruits vegetables eat beef rice eat nutrition
