Watermelon Bilberry Blackberry Jambul Fig Clementine Lychee Raspberry Mangosteen Tamarillo
Abiu Satsuma Cloudberry Cantaloupe Watermelon Persimmon Blackberry Ximenia Redcurrant Plumcot
Peach Papaya Tangerine Clementine Mangosteen Raspberry Gooseberry Ackee Grapefruit Ximenia
Kumquat Loquat Cranberry Apple Lime Cherimoya Tayberry Nectarine Satsuma Coconut
Durian Ximenia Avocado Jujube Mango Longan Tangerine Honeyberry Longan Peach
Raisin Satsuma Date Tamarind Redcurrant Yuzu Kiwifruit Boysenberry Akebi Mango
Cherry Raisin Akebi Passionfruit Acerola Breadfruit Kumquat Mango Cashew Grape
Avocado Acerola Honeyberry Soursop Grape Prune Apricot Cashew Pomelo Mangosteen
Plantain Cashew Yuzu Currant Redcurrant Pomelo Ackee Kumquat Pineapple Plumcot
Papaya Tayberry Soursop Tamarillo Blueberry Prune Passionfruit Pomelo Cloudberry Plum
Mulberry Loganberry Currant Longan Kiwifruit Grapefruit Blackcurrant Plum Cempedak Raspberry
LightSeaGreen Honeydew PaleTurquoise Chocolate LightSlateGray Yellow LimeGreen Tomato Teal FloralWhite
DarkRed Navy DarkTurquoise DarkBlue OliveDrab LemonChiffon DimGray LightSlateBlue MintCream DarkViolet
SandyBrown OliveDrab MidnightBlue DarkSlateGray DarkSeaGreen Khaki CadetBlue NavajoWhite DarkCyan SandyBrown
Red DarkOliveGreen Yellow DarkOliveGreen Cornsilk DarkOrange LavenderBlush SeaGreen MintCream DarkSlateGray
DarkSlateBlue GreenYellow MidnightBlue Orchid Olive AntiqueWhite PapayaWhip Seashell MediumPurple Honeydew
Gray Bisque Olive Seashell PaleVioletRed WhiteSmoke Crimson Crimson MediumVioletRed Honeydew
LightSlateGray LightSlateGray Fuchsia Snow DeepPink CornflowerBlue Burlywood MediumAquamarine Cornsilk DarkGray
Pink PaleTurquoise MediumBlue Firebrick RoyalBlue PaleGoldenrod SpringGreen DarkFuchsia LemonChiffon Bisque
DarkFuchsia LightSkyBlue Lime DarkRed BlueViolet PeachPuff Moccasin LightGray Seashell SaddleBrown
RosyBrown DeepPink SkyBlue DarkGoldenrod Orange Moccasin Cyan Black LawnGreen LightSlateGray
SeaGreen PaleGreen LightSalmon SlateBlue Purple PowderBlue VioletRed FloralWhite Plum Yellow
BinaryNumber_0001001 BinaryNumber_0111101 BinaryNumber_1001101 BinaryNumber_1010110 BinaryNumber_0100011 BinaryNumber_1100010 BinaryNumber_1100000 BinaryNumber_1001001 BinaryNumber_0000011 BinaryNumber_0111110
BinaryNumber_1001001 BinaryNumber_1011111 BinaryNumber_1100001 BinaryNumber_0111111 BinaryNumber_0100011 BinaryNumber_0011011 BinaryNumber_1001000 BinaryNumber_0001100 BinaryNumber_0010000 BinaryNumber_1000101
BinaryNumber_1010011 BinaryNumber_0011010 BinaryNumber_0010110 BinaryNumber_1000110 BinaryNumber_0011010 BinaryNumber_1001000 BinaryNumber_0100101 BinaryNumber_1010000 BinaryNumber_0111011 BinaryNumber_0000101
BinaryNumber_0001010 BinaryNumber_1011100 BinaryNumber_0011110 BinaryNumber_0111111 BinaryNumber_0110011 BinaryNumber_1011011 BinaryNumber_0110110 BinaryNumber_0001110 BinaryNumber_1000010 BinaryNumber_1011111
BinaryNumber_1100001 BinaryNumber_0111101 BinaryNumber_1100010 BinaryNumber_0111011 BinaryNumber_1000001 BinaryNumber_1000100 BinaryNumber_0110000 BinaryNumber_0001000 BinaryNumber_0100111 BinaryNumber_0010110
BinaryNumber_0000111 BinaryNumber_0101101 BinaryNumber_1010001 BinaryNumber_1011101 BinaryNumber_0000110 BinaryNumber_0001001 BinaryNumber_1100011 BinaryNumber_0110001 BinaryNumber_1001101 BinaryNumber_1010000
