spotless relieved shiny stormy grotesque happy tame poised expensive worrisome
modern outrageous unusual rich careful terrible itchy grumpy splendid lazy
average putrid drab inquisitive tasty cautious nice brainy evil handsome
breakable depressed nice hurt encouraging helpful motionless worried disturbed famous
wicked vast nervous bad bright attractive elated important fierce wild
mushy envious blue unsightly bloody expensive pleasant repulsive thankful beautiful
fair fantastic mushy nervous distinct fine helpless elegant modern shy
delightful ashamed bad glamorous hilarious lonely zany jealous concerned sore
handsome inquisitive thoughtful homeless excited horrible scary combative repulsive adventurous
pleasant clear adventurous cruel impossible helpless tired combative poor relieved
graceful precious zany exuberant brainy modern delightful fragile successful dark
BinaryNumber_0011100 BinaryNumber_0011000 BinaryNumber_0011000 BinaryNumber_1001000 BinaryNumber_0101101 BinaryNumber_0110011 BinaryNumber_0111000 BinaryNumber_1011111 BinaryNumber_0011011 BinaryNumber_0101000
BinaryNumber_1001010 BinaryNumber_1000010 BinaryNumber_1000010 BinaryNumber_0111100 BinaryNumber_0001010 BinaryNumber_0010111 BinaryNumber_1011110 BinaryNumber_0000111 BinaryNumber_0011110 BinaryNumber_0111100
BinaryNumber_1000000 BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_0001110 BinaryNumber_0110001 BinaryNumber_0110011 BinaryNumber_0000101 BinaryNumber_0001111 BinaryNumber_1011110 BinaryNumber_1010001
BinaryNumber_0110110 BinaryNumber_0101110 BinaryNumber_0110000 BinaryNumber_0110000 BinaryNumber_0110101 BinaryNumber_0010110 BinaryNumber_0000100 BinaryNumber_0101000 BinaryNumber_0010101 BinaryNumber_1100001
BinaryNumber_1001101 BinaryNumber_0110011 BinaryNumber_0111001 BinaryNumber_0011011 BinaryNumber_1000101 BinaryNumber_0111000 BinaryNumber_0011010 BinaryNumber_0000101 BinaryNumber_0101010 BinaryNumber_1010010
BinaryNumber_1100011 BinaryNumber_0011011 BinaryNumber_1000010 BinaryNumber_1001011 BinaryNumber_1001001 BinaryNumber_0010010 BinaryNumber_0010101 BinaryNumber_0101001 BinaryNumber_0000010 BinaryNumber_0100010
BinaryNumber_0100101 BinaryNumber_1100001 BinaryNumber_0110011 BinaryNumber_1000100 BinaryNumber_1001110 BinaryNumber_0100011 BinaryNumber_1000101 BinaryNumber_0010101 BinaryNumber_1011011 BinaryNumber_1000001
BinaryNumber_0011011 BinaryNumber_0111110 BinaryNumber_1001101 BinaryNumber_0011111 BinaryNumber_1000110 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_1001010 BinaryNumber_0011001 BinaryNumber_0001001
BinaryNumber_0010001 BinaryNumber_0010011 BinaryNumber_0001011 BinaryNumber_0010000 BinaryNumber_0001000 BinaryNumber_0011011 BinaryNumber_0110110 BinaryNumber_0011101 BinaryNumber_0000110 BinaryNumber_1011100
BinaryNumber_0110101 BinaryNumber_0011001 BinaryNumber_0101110 BinaryNumber_1000011 BinaryNumber_1100001 BinaryNumber_0101110 BinaryNumber_1011100 BinaryNumber_0011100 BinaryNumber_0111100 BinaryNumber_0111110
