innocent tough enchanting bloody spotless expensive powerful motionless glorious awful
dizzy wicked smiling tame sore evil perfect shiny defiant thoughtless
disgusted hungry worried pleasant open disgusted courageous ugly repulsive wild
gifted cute pleasant panicky nice uninterested grumpy brave wild tough
tasty fair bewildered awful blue-eyed tasty brainy worried pleasant concerned
hurt lucky exuberant lonely good outstanding shy repulsive vivacious different
hilarious rich tasty lovely hungry homeless homeless ill sleepy upset
victorious cheerful happy splendid ugliest fierce hungry thoughtful annoyed ugly
kind uptight easy lively super combative easy angry thoughtless grumpy
jealous friendly ill charming bloody defiant selfish magnificent outstanding graceful
alert inquisitive clear dark angry super bored tired unusual blushing
SpringGreen DarkSlateBlue Thistle SteelBlue DarkBlue Violet DarkSalmon MediumOrchid PaleGreen OldLace
SkyBlue Violet NavajoWhite LightCyan HotPink Linen DarkOrange AntiqueWhite MediumSpringGreen DarkSeaGreen
DarkBlue Gray RosyBrown DimGray MediumTurquoise Chartreuse Olive Coral Aquamarine MediumSpringGreen
SkyBlue LightCyan Peru Chocolate Seashell Pink Wheat Linen Black Yellow
Maroon Azure LightCoral Firebrick LavenderBlush DimGray SkyBlue SlateBlue Brown MediumVioletRed
DeepSkyBlue SeaGreen Gold PaleGoldenrod Tan Navy SlateGray DarkOliveGreen Indigo LightYellow
Bisque GreenYellow WhiteSmoke VioletRed Black DarkTurquoise Yellow White LightSlateBlue Feldspar
Fuchsia BlueViolet LightSkyBlue DarkViolet Lavender LightSteelBlue RoyalBlue LimeGreen Red Bisque
WhiteSmoke SpringGreen Orchid LightBlue Ivory LightCoral LightBlue Snow DimGray MediumSlateBlue
SlateBlue PaleTurquoise DarkBlue Olive DarkRed Orange Yellow Pink GreenYellow Firebrick
Gainsboro DarkSeaGreen BlueViolet Seashell Snow Fuchsia Firebrick LavenderBlush FloralWhite SkyBlue
BinaryNumber_0100110 BinaryNumber_1010010 BinaryNumber_0110110 BinaryNumber_1000101 BinaryNumber_1011110 BinaryNumber_0000001 BinaryNumber_0000110 BinaryNumber_0010010 BinaryNumber_1011000 BinaryNumber_0101110
BinaryNumber_1100010 BinaryNumber_0111001 BinaryNumber_1000100 BinaryNumber_0001000 BinaryNumber_0101100 BinaryNumber_0001001 BinaryNumber_1001110 BinaryNumber_0110010 BinaryNumber_0011011 BinaryNumber_1001111
BinaryNumber_0110011 BinaryNumber_1001111 BinaryNumber_0100100 BinaryNumber_1010010 BinaryNumber_0000001 BinaryNumber_0010111 BinaryNumber_0010010 BinaryNumber_0111011 BinaryNumber_0111110 BinaryNumber_1010111
BinaryNumber_1000111 BinaryNumber_1000110 BinaryNumber_0010110 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0010101 BinaryNumber_1010000 BinaryNumber_1001100 BinaryNumber_0001000 BinaryNumber_1001000
BinaryNumber_0001011 BinaryNumber_0110111 BinaryNumber_1001110 BinaryNumber_0011001 BinaryNumber_0001001 BinaryNumber_1010100 BinaryNumber_0111100 BinaryNumber_0010001 BinaryNumber_0110011 BinaryNumber_0100111
BinaryNumber_0011011 BinaryNumber_0010110 BinaryNumber_0100110 BinaryNumber_0111010 BinaryNumber_0101011 BinaryNumber_0101110 BinaryNumber_1000010 BinaryNumber_1000011 BinaryNumber_0101111 BinaryNumber_0110000
BinaryNumber_0011101 BinaryNumber_0010111 BinaryNumber_0011000 BinaryNumber_0101110 BinaryNumber_0110110 BinaryNumber_0010010 BinaryNumber_0010101 BinaryNumber_0001011 BinaryNumber_0111110 BinaryNumber_0100001
BinaryNumber_1000010 BinaryNumber_1011101 BinaryNumber_0000011 BinaryNumber_1001011 BinaryNumber_0101010 BinaryNumber_0000001 BinaryNumber_1000000 BinaryNumber_0011011 BinaryNumber_0110101 BinaryNumber_1100010
BinaryNumber_0011000 BinaryNumber_0001100 BinaryNumber_1011110 BinaryNumber_0100111 BinaryNumber_1011110 BinaryNumber_1100010 BinaryNumber_0001001 BinaryNumber_1010101 BinaryNumber_0010000 BinaryNumber_0000100
BinaryNumber_0011000 BinaryNumber_0110001 BinaryNumber_1001010 BinaryNumber_0010111 BinaryNumber_0000111 BinaryNumber_1100001 BinaryNumber_0111010 BinaryNumber_0100010 BinaryNumber_0001110 BinaryNumber_0111001
