LightSalmon MistyRose IndianRed LimeGreen MediumSpringGreen Honeydew DodgerBlue LightSeaGreen Indigo Cornsilk
DarkCyan CadetBlue GreenYellow SlateBlue MediumVioletRed LawnGreen MintCream Lime HotPink VioletRed
DodgerBlue PaleVioletRed LightSkyBlue DarkSlateBlue ForestGreen MediumVioletRed DarkGoldenrod Peru FloralWhite SlateGray
DarkSlateGray Chartreuse DarkGoldenrod Salmon DarkSalmon Khaki DarkSeaGreen NavajoWhite LightSalmon NavajoWhite
DarkViolet DimGray Crimson DarkOrchid LimeGreen PaleTurquoise ForestGreen PaleVioletRed MistyRose LightCyan
Ivory CornflowerBlue DarkSeaGreen DarkRed Beige PaleTurquoise Feldspar MediumPurple Silver Thistle
CadetBlue PowderBlue Violet Khaki DarkKhaki Sienna Violet Wheat PaleGoldenrod NavajoWhite
Cornsilk LightGreen Linen DarkOrange IndianRed PaleGoldenrod LightSeaGreen Maroon PaleGreen SpringGreen
Navy Seashell LightBlue DarkBlue MistyRose SkyBlue SlateBlue OrangeRed Gold LightSteelBlue
Moccasin PaleTurquoise MediumBlue DarkTurquoise Coral MediumAquamarine DarkSeaGreen MediumSlateBlue DeepSkyBlue VioletRed
LightPink Khaki PaleVioletRed Black MediumSeaGreen Indigo Orchid DarkSlateBlue LavenderBlush Silver
Clitoris Eye Penis Larynx Largeintestine Teeth skeleton Innerear Lungs Cerebellum
Retina Mouth skeleton Tongue Joints Innerear Uterus Tongue Capillaries Urethra
Tongue Cerebrum Outerear Ossicles Esophagus Esophagus Iris Muscle Ear Placenta
Penis Rectum Cerebellum Ureter Smallintestine Larynx Retina Bladder Rectum Lymphaticvessel
Vulva Eye Capillaries Bronchi Lungs Thymus Outerear Smallintestine Lungs Midbrain
Outerear Pons Ileum Trachea skeleton Cerebrum Placenta Interstitium Cranialnerves Ureter
Arteries Placenta Tongue Earlobe Scrotum Thalamus Tongue Pharynx Tendons Esophagus
Cerebellum Ossicles Tastebuds Duodenum Ureter Earlobe Pharynx Interstitium Hypothalamus Tongue
Innerear Ear Jejunum Bronchi Placenta Midbrain Vagina Ciliarybody Tonsils Cornea
Stomach Vulva Vulva Hypothalamus Jejunum Penis Tonsils Thymus Cornea Trachea
Midbrain Pons Liver Fallopiantubes Kidneys Earlobe Pons Cornea Ciliarybody Spleen
BinaryNumber_1000011 BinaryNumber_0001100 BinaryNumber_0011100 BinaryNumber_1011110 BinaryNumber_1000000 BinaryNumber_0110000 BinaryNumber_0011011 BinaryNumber_0111011 BinaryNumber_0001100 BinaryNumber_0100111
BinaryNumber_0110111 BinaryNumber_1001000 BinaryNumber_0100100 BinaryNumber_0010011 BinaryNumber_0001001 BinaryNumber_0010000 BinaryNumber_1011101 BinaryNumber_0100000 BinaryNumber_0110010 BinaryNumber_1000111
BinaryNumber_0101001 BinaryNumber_0111001 BinaryNumber_0011000 BinaryNumber_0000011 BinaryNumber_1010111 BinaryNumber_0001100 BinaryNumber_0101111 BinaryNumber_0001001 BinaryNumber_0111011 BinaryNumber_0110000
