Apple Coconut Akebi Satsuma Jambul Tayberry Watermelon Longan Pear Grape
Tayberry Kiwifruit Raisin Currant Mandarine Coconut Tamarillo Plumcot Orange Raspberry
Currant Plantain Soursop Cempedak Tamarind Kumquat Raspberry Strawberry Plantain Tamarillo
Apricot Marionberry Araza Strawberry Huckleberry Lemon Cranberry Plumcot Kiwano Lime
Jujube Nectarine Loquat Jostaberry Yuzu Tangelo Plumcot Rambutan  Blackcurrant Jackfruit
Sapote Longan Tayberry Jostaberry Grape Persimmon Grape Damson Pomelo Blackberry
Lulo Canistel Plantain Cherry Watermelon Longan Peach Papaya Fig Raisin
Raisin Grape Pomelo Cempedak Araza Jambul Coconut Melon Plumcot Breadfruit
Rambutan  Plumcot Abiu Prune Raisin Grape Feijoa Pear Araza Nectarine
Jambul Cloudberry Jostaberry Strawberry Breadfruit Apricot Clementine Akebi Canistel Tangelo
Lemon Soursop Huckleberry Huckleberry Honeyberry Mango Soursop Yuzu Raspberry Longan
BinaryNumber_1001111 BinaryNumber_1001011 BinaryNumber_0001110 BinaryNumber_0010110 BinaryNumber_1011100 BinaryNumber_1000011 BinaryNumber_0010011 BinaryNumber_0000110 BinaryNumber_1010101 BinaryNumber_0101101
BinaryNumber_0101100 BinaryNumber_1001000 BinaryNumber_0101100 BinaryNumber_0100110 BinaryNumber_0110001 BinaryNumber_1010100 BinaryNumber_1011000 BinaryNumber_1010001 BinaryNumber_0111100 BinaryNumber_0110011
BinaryNumber_0000011 BinaryNumber_0101010 BinaryNumber_0010011 BinaryNumber_0000110 BinaryNumber_1010100 BinaryNumber_1000110 BinaryNumber_0011101 BinaryNumber_1011100 BinaryNumber_1010000 BinaryNumber_1000100
BinaryNumber_0000111 BinaryNumber_0001000 BinaryNumber_0110000 BinaryNumber_0010000 BinaryNumber_1000101 BinaryNumber_1001000 BinaryNumber_1100010 BinaryNumber_0010010 BinaryNumber_1100001 BinaryNumber_0011000
BinaryNumber_0011111 BinaryNumber_0011000 BinaryNumber_1001111 BinaryNumber_1001010 BinaryNumber_0011110 BinaryNumber_0010111 BinaryNumber_1100001 BinaryNumber_0010000 BinaryNumber_1011011 BinaryNumber_0111000
BinaryNumber_1001001 BinaryNumber_0101110 BinaryNumber_1001110 BinaryNumber_1001011 BinaryNumber_0110101 BinaryNumber_0000110 BinaryNumber_0100101 BinaryNumber_0011100 BinaryNumber_0000011 BinaryNumber_0110101
BinaryNumber_0000011 BinaryNumber_1000101 BinaryNumber_1001101 BinaryNumber_1100000 BinaryNumber_0110111 BinaryNumber_0000010 BinaryNumber_0000110 BinaryNumber_0110110 BinaryNumber_1000000 BinaryNumber_1010111
