Sienna LightGreen Teal DimGray Burlywood Crimson AliceBlue DodgerBlue Seashell Peru
Firebrick DodgerBlue LightGoldenrod Maroon SandyBrown LightSeaGreen Seashell OrangeRed Linen LightGoldenrodYellow
LightCoral LavenderBlush DarkKhaki WhiteSmoke Cornsilk Brown Ivory Linen Green Burlywood
Crimson Crimson PowderBlue DarkRed Gainsboro DarkKhaki DarkViolet GhostWhite Honeydew LemonChiffon
DarkSlateBlue OliveDrab SkyBlue BlueViolet LightSalmon DarkGoldenrod LavenderBlush DarkSeaGreen Indigo PeachPuff
Orchid Fuchsia MediumBlue DarkTurquoise DeepPink DarkSalmon Brown DarkKhaki LightGoldenrodYellow Gray
LimeGreen MediumSpringGreen DodgerBlue MediumAquamarine Maroon Salmon OrangeRed DarkTurquoise GhostWhite Tomato
DarkTurquoise DarkOrchid DarkSlateGray CornflowerBlue Tan Thistle Blue MediumSpringGreen SpringGreen Silver
DarkViolet GreenYellow LimeGreen OliveDrab LightSlateGray DarkOrchid DeepSkyBlue DarkSalmon BlueViolet MediumSeaGreen
Lime Moccasin MidnightBlue Yellow Goldenrod DarkGreen Blue NavajoWhite LemonChiffon DarkGreen
Chartreuse Snow Feldspar Navy FloralWhite DarkOliveGreen PapayaWhip MediumPurple LightSteelBlue Lavender
temperature__33c temperature__36c temperature__91c temperature__2c temperature__84c temperature__65c temperature__50c temperature__64c temperature__68c temperature__144c
temperature__109c temperature__49c temperature__54c temperature__148c temperature__138c temperature__108c temperature__139c temperature__129c temperature__14c temperature__123c
temperature__145c temperature__140c temperature__34c temperature__59c temperature__12c temperature__16c temperature__39c temperature__68c temperature__33c temperature__126c
temperature__106c temperature__6c temperature__40c temperature__120c temperature__52c temperature__28c temperature__0c temperature__17c temperature__108c temperature__2c
temperature__109c temperature__106c temperature__10c temperature__22c temperature__95c temperature__86c temperature__64c temperature__64c temperature__68c temperature__118c
temperature__108c temperature__22c temperature__36c temperature__21c temperature__124c temperature__91c temperature__56c temperature__4c temperature__93c temperature__59c
temperature__86c temperature__90c temperature__138c temperature__34c temperature__118c temperature__52c temperature__49c temperature__105c temperature__87c temperature__61c
temperature__6c temperature__141c temperature__88c temperature__147c temperature__12c temperature__0c temperature__95c temperature__56c temperature__49c temperature__148c
temperature__8c temperature__51c temperature__12c temperature__6c temperature__14c temperature__100c temperature__92c temperature__46c temperature__138c temperature__36c
