talented splendid nice itchy brave energetic fancy better ugly bad
envious exuberant zealous dark adventurous perfect victorious worrisome breakable cautious
cautious breakable glamorous glorious jealous annoyed frantic calm fair tense
plain awful worried thankful breakable impossible ill open lively confused
doubtful nervous thoughtless tired prickly shy curious obnoxious disturbed wide-eyed
filthy nutty tender envious fierce dead scary unusual frail vivacious
super distinct precious eager fantastic old-fashioned kind wide-eyed frightened thoughtful
homely mushy filthy precious terrible upset encouraging clumsy wandering cloudy
mushy dangerous annoying determined obnoxious cute tender encouraging jealous energetic
witty grotesque black handsome silly important faithful prickly nutty ugly
cheerful cooperative mysterious tender lovely poor smoggy helpful shiny gifted
AliceBlue OldLace Coral Aquamarine DarkSlateBlue Gold DarkSlateBlue Violet VioletRed FloralWhite
MediumPurple DarkRed FloralWhite DarkKhaki SandyBrown LimeGreen PaleTurquoise Turquoise MediumSpringGreen MintCream
VioletRed DimGray LightSalmon NavajoWhite SlateBlue SlateBlue LightSkyBlue BlanchedAlmond Firebrick Chocolate
LightCyan Cornsilk RosyBrown DarkGray DarkBlue DarkSeaGreen Plum CornflowerBlue Lavender DarkKhaki
DarkRed SteelBlue HotPink MediumAquamarine DarkCyan Khaki LightSkyBlue Thistle DarkTurquoise LightCoral
Turquoise CadetBlue DarkBlue Tomato LightSlateBlue LavenderBlush MidnightBlue Crimson Plum SaddleBrown
Firebrick Blue DeepSkyBlue DimGray DarkGreen Chocolate DarkOliveGreen PaleGreen Salmon DarkSlateGray
Red Indigo CadetBlue DeepSkyBlue LightSeaGreen DarkOrange BlueViolet Green CornflowerBlue SlateBlue
SeaGreen DarkOrchid Lime LightGreen MidnightBlue Orange Tomato RoyalBlue Chartreuse Crimson
DarkOrange ForestGreen DeepSkyBlue GhostWhite Sienna LightGoldenrod OldLace LimeGreen Firebrick Snow
Indigo PapayaWhip GreenYellow HotPink Crimson MediumOrchid DarkOrange Burlywood Chartreuse Brown
war gangs offence criminality incarceration felony hijack offense blackmail prostitution
felony cybercrime mutilation arsons blackmail poverty victim accident war punitive
mystery forensic revenge gangsterism gangster racism forensic lift conspiracy slayings
country missing homelessness spy legislature prostitution shootings shoplift tort skyjack
revenge gangster dark terrorism cop genocide dark drama statutory brutality
murder homicide kill murder detective gangs skyjack drugs forensic vandalism
thrillers hijack homelessness incarceration offense offense homicide war smuggle poison
spy slayings skyjack incarceration guilt slay smuggle gangsterism spy vandalism
brutality abuse poverty prostitution jurisdiction gang heist evidence hijack mafia
gangs prison prostitution assault safety shoplift prison transgression cop psychological
thriller criminal statutory punishment vandalism mob misdemeanor corruption murder misdemeanor
blues prelude roulade tone intonation sfx gospel merch karaoke triple-tongue
