Purple LightCyan DarkViolet DarkCyan BlueViolet DarkOliveGreen DarkBlue Beige DarkRed Tomato
Pink SeaGreen DarkOrchid FloralWhite Cornsilk Thistle DarkSalmon Silver Salmon Yellow
MediumSeaGreen PowderBlue RoyalBlue LimeGreen MediumOrchid PowderBlue PaleTurquoise Gainsboro Black LightGoldenrod
Ivory ForestGreen DarkGreen MediumSeaGreen PowderBlue Violet Azure Green Honeydew Gold
GreenYellow DarkTurquoise SlateGray PowderBlue Pink MediumSpringGreen Red LavenderBlush DarkSeaGreen LightSlateBlue
Olive VioletRed DodgerBlue MediumSeaGreen Cyan Red DarkOliveGreen Chocolate DarkCyan LightYellow
Turquoise Brown LightSalmon LimeGreen Orange SlateGray SteelBlue FloralWhite LightSeaGreen PeachPuff
BlanchedAlmond PaleGreen Chartreuse LightSeaGreen LightCoral PaleGoldenrod Azure Goldenrod Cyan MediumVioletRed
Indigo Cyan Chartreuse Burlywood OrangeRed Seashell PaleGreen Brown IndianRed Feldspar
DarkSlateBlue NavajoWhite Khaki Coral Ivory OliveDrab LightSlateGray MediumSlateBlue Green LightGray
Orchid ForestGreen Cyan AntiqueWhite Silver LightSteelBlue Silver OldLace Linen Gold
BinaryNumber_0100011 BinaryNumber_0111111 BinaryNumber_0100110 BinaryNumber_0001110 BinaryNumber_1000110 BinaryNumber_0110000 BinaryNumber_0110010 BinaryNumber_0101011 BinaryNumber_0110101 BinaryNumber_0010010
BinaryNumber_1011111 BinaryNumber_1000100 BinaryNumber_0110110 BinaryNumber_0010010 BinaryNumber_1000001 BinaryNumber_1010111 BinaryNumber_0100111 BinaryNumber_0110100 BinaryNumber_1100010 BinaryNumber_0011001
BinaryNumber_1000110 BinaryNumber_0101101 BinaryNumber_1000111 BinaryNumber_1011000 BinaryNumber_0001001 BinaryNumber_0011011 BinaryNumber_0000111 BinaryNumber_0110111 BinaryNumber_1011011 BinaryNumber_1100001
BinaryNumber_1010000 BinaryNumber_1000110 BinaryNumber_1001010 BinaryNumber_0100100 BinaryNumber_0101011 BinaryNumber_0001001 BinaryNumber_1011111 BinaryNumber_0111001 BinaryNumber_0011001 BinaryNumber_0100011
BinaryNumber_1000010 BinaryNumber_0110011 BinaryNumber_0110111 BinaryNumber_1001111 BinaryNumber_0101011 BinaryNumber_0010100 BinaryNumber_1011001 BinaryNumber_0001101 BinaryNumber_1001001 BinaryNumber_0100011
BinaryNumber_0010011 BinaryNumber_0001001 BinaryNumber_1011001 BinaryNumber_1000000 BinaryNumber_1001100 BinaryNumber_0011100 BinaryNumber_0010011 BinaryNumber_0101011 BinaryNumber_1100000 BinaryNumber_0010000
